"price","change","match_qtty","side","time","total_vol"
8720,0,800,"sd","09:15:05",800
8740,20,100,"bu","09:17:43",900
8740,20,400,"bu","09:19:18",1300
8760,40,600,"bu","09:22:47",1900
8760,40,200,"sd","09:22:57",2100
8760,40,3100,"bu","09:25:43",5200
8780,60,1000,"bu","09:26:37",6200
8790,70,1000,"bu","09:27:10",7200
8790,70,1000,"bu","09:28:49",8200
8760,40,5800,"sd","09:38:30",14000
8780,60,200,"sd","09:38:54",14200
8780,60,300,"bu","09:39:15",14500
8770,50,500,"sd","09:41:56",15000
8760,40,1800,"bu","09:42:11",16800
8770,50,400,"sd","09:46:44",17200
8770,50,2000,"sd","09:47:07",19200
8770,50,1000,"bu","09:49:36",20200
8770,50,100,"bu","09:50:17",20300
8770,50,500,"bu","09:52:47",20800
8770,50,5600,"sd","09:54:06",26400
8770,50,5000,"bu","09:54:22",31400
8770,50,11200,"sd","10:01:13",42600
8770,50,100,"sd","10:01:14",42700
8780,60,5000,"bu","10:01:22",47700
8760,40,5000,"sd","10:04:28",52700
8770,50,100,"sd","10:04:47",52800
8770,50,400,"bu","10:05:32",53200
8770,50,5000,"bu","10:07:00",58200
8770,50,100,"bu","10:07:43",58300
8770,50,400,"sd","10:08:25",58700
8770,50,500,"sd","10:09:41",59200
8780,60,100,"bu","10:09:51",59300
8780,60,1000,"bu","10:12:10",60300
8770,50,100,"sd","10:12:57",60400
8770,50,1200,"bu","10:13:25",61600
8760,40,5500,"sd","10:15:33",67100
8760,40,200,"sd","10:16:02",67300
8760,40,4600,"sd","10:16:30",71900
8760,40,3400,"sd","10:16:49",75300
8760,40,1600,"sd","10:17:19",76900
8770,50,1000,"sd","10:18:17",77900
8770,50,400,"bu","10:18:18",78300
8780,60,3700,"bu","10:19:21",82000
8780,60,300,"bu","10:19:43",82300
8780,60,6000,"sd","10:23:10",88300
8780,60,500,"sd","10:25:07",88800
8770,50,1000,"sd","10:30:19",89800
8770,50,3600,"bu","10:34:22",93400
8770,50,800,"sd","10:35:36",94200
8780,60,1000,"sd","10:35:53",95200
8780,60,600,"bu","10:37:49",95800
8780,60,2900,"sd","10:38:09",98700
8770,50,1200,"sd","10:39:32",99900
8770,50,100,"bu","10:41:27",100000
8770,50,2200,"bu","10:49:46",102200
8770,50,100,"sd","10:50:05",102300
8760,40,1500,"sd","10:51:37",103800
8770,50,800,"sd","10:54:17",104600
8760,40,1000,"sd","10:55:13",105600
8760,40,4200,"bu","10:55:27",109800
8750,30,500,"bu","10:55:53",110300
8750,30,4000,"sd","10:56:15",114300
8750,30,2900,"sd","10:57:26",117200
8740,20,11800,"sd","10:57:49",129000
8730,10,3800,"bu","10:58:05",132800
8730,10,1000,"sd","10:58:12",133800
8730,10,2500,"bu","10:58:39",136300
8730,10,2100,"sd","10:58:56",138400
8730,10,600,"sd","10:59:16",139000
8700,-20,30000,"bu","10:59:44",169000
8730,10,400,"bu","11:08:18",169400
8730,10,200,"sd","11:10:42",169600
8720,0,4000,"sd","11:11:11",173600
8720,0,4000,"sd","11:12:03",177600
8710,-10,5000,"sd","11:12:55",182600
8710,-10,3000,"sd","11:13:25",185600
8710,-10,100,"sd","11:13:33",185700
8710,-10,200,"bu","11:14:02",185900
8710,-10,100,"bu","11:14:23",186000
8710,-10,400,"sd","11:14:37",186400
8710,-10,100,"sd","11:15:50",186500
8700,-20,13100,"bu","11:19:54",199600
8700,-20,10000,"sd","11:20:59",209600
8700,-20,2500,"sd","11:21:55",212100
8700,-20,2500,"bu","11:22:23",214600
8730,10,100,"sd","11:24:38",214700
8700,-20,2300,"sd","11:27:48",217000
8710,-10,100,"sd","13:00:47",217100
8710,-10,5000,"sd","13:02:00",222100
8710,-10,100,"bu","13:04:52",222200
8710,-10,2400,"bu","13:08:25",224600
8710,-10,100,"bu","13:09:10",224700
8710,-10,1000,"bu","13:10:13",225700
8710,-10,1700,"bu","13:11:31",227400
8720,0,500,"bu","13:16:19",227900
8710,-10,1100,"sd","13:17:19",229000
8710,-10,500,"sd","13:17:21",229500
8720,0,900,"sd","13:18:02",230400
8720,0,1800,"sd","13:20:21",232200
8710,-10,1000,"bu","13:20:28",233200
8720,0,400,"sd","13:21:34",233600
8720,0,4300,"bu","13:27:31",237900
8720,0,1500,"bu","13:29:47",239400
8720,0,300,"bu","13:30:17",239700
8720,0,1200,"sd","13:33:51",240900
8730,10,100,"sd","13:34:39",241000
8720,0,6100,"bu","13:39:44",247100
8710,-10,3000,"sd","13:44:06",250100
8710,-10,300,"sd","13:44:28",250400
8710,-10,1000,"sd","13:46:56",251400
8710,-10,3200,"bu","13:49:16",254600
8710,-10,700,"bu","13:49:50",255300
8710,-10,1400,"bu","13:52:21",256700
8720,0,2700,"sd","13:55:04",259400
8730,10,5000,"sd","13:57:21",264400
8730,10,100,"sd","14:00:03",264500
8710,-10,11000,"sd","14:03:44",275500
8710,-10,100,"sd","14:04:19",275600
8730,10,5000,"sd","14:05:58",280600
8720,0,900,"sd","14:10:32",281500
8720,0,1000,"bu","14:13:02",282500
8720,0,8200,"sd","14:14:07",290700
8720,0,300,"sd","14:16:58",291000
8720,0,100,"sd","14:17:00",291100
8720,0,1100,"sd","14:19:43",292200
8720,0,2000,"bu","14:21:21",294200
8730,10,5600,"sd","14:22:10",299800
8730,10,3000,"sd","14:23:03",302800
8720,0,100,"sd","14:23:38",302900
8720,0,1000,"bu","14:24:54",303900
8730,10,2600,"sd","14:25:27",306500
8720,0,1700,"bu","14:25:55",308200
8720,0,600,"sd","14:27:53",308800
8730,10,7200,"sd","14:45:10",316000
