"price","change","match_qtty","side","time","total_vol"
35200,-800,2000,"bu","09:17:29",2000
35200,-800,1000,"sd","09:17:38",3000
35100,-900,3000,"bu","09:31:43",6000
35000,-1000,1000,"sd","09:33:03",7000
34700,-1300,1000,"bu","09:36:04",8000
34200,-1800,3000,"sd","09:37:06",11000
34000,-2000,4000,"bu","09:39:20",15000
33500,-2500,2000,"sd","09:42:34",17000
36000,0,21000,"sd","10:02:03",38000
35900,-100,240000,"bu","10:15:15",278000
35900,-100,10000,"sd","10:15:25",288000
36000,0,1000,"bu","10:16:32",289000
35200,-800,21000,"bu","10:39:17",310000
35000,-1000,660000,"sd","13:49:46",970000
35000,-1000,10000,"bu","13:49:55",980000
34900,-1100,999000,"sd","13:56:55",1979000
34900,-1100,1000,"sd","13:57:11",1980000
34900,-1100,810000,"bu","14:04:16",2790000
34900,-1100,5000,"sd","14:04:22",2795000
34900,-1100,10000,"bu","14:05:55",2805000
34900,-1100,1300000,"bu","14:08:01",4105000
35000,-1000,1000,"bu","14:08:02",4106000
34900,-1100,10000,"sd","14:12:31",4116000
35000,-1000,5000,"sd","14:45:11",4121000
