"price","change","match_qtty","side","time","total_vol"
26200,-100,3000,"sd","09:00:25",3000
26200,-100,1000,"bu","09:00:25",1000
26200,-100,2000,"bu","09:00:25",3000
26200,-100,6000,"bu","09:00:28",9000
26100,-200,5000,"sd","09:00:45",14000
26100,-200,2000,"sd","09:01:22",16000
26200,-100,10000,"sd","09:01:39",26000
26200,-100,1000,"bu","09:01:41",27000
26100,-200,1000,"sd","09:03:02",28000
26200,-100,1000,"bu","09:03:28",29000
26100,-200,22000,"sd","09:05:24",51000
26200,-100,1000,"sd","09:05:36",52000
26100,-200,25000,"bu","09:05:39",77000
26200,-100,1000,"sd","09:05:45",78000
26100,-200,4000,"bu","09:05:52",82000
26200,-100,1000,"sd","09:05:59",83000
26100,-200,5000,"bu","09:06:39",88000
26200,-100,1000,"bu","09:06:50",89000
26100,-200,2000,"bu","09:07:06",91000
26200,-100,1000,"sd","09:07:10",92000
26100,-200,30000,"bu","09:07:34",122000
26100,-200,3000,"bu","09:07:47",125000
26100,-200,6000,"sd","09:08:59",131000
26100,-200,3000,"bu","09:09:46",134000
26000,-300,7000,"bu","09:10:42",141000
26000,-300,1000,"bu","09:10:45",142000
26000,-300,8000,"sd","09:10:57",150000
26000,-300,2000,"sd","09:13:04",152000
26000,-300,13000,"bu","09:13:56",165000
26000,-300,1000,"sd","09:14:34",166000
26100,-200,6000,"sd","09:15:56",172000
26200,-100,1000,"sd","09:16:02",173000
26000,-300,1000,"sd","09:16:41",174000
26200,-100,1000,"bu","09:16:51",175000
26100,-200,5000,"sd","09:18:21",180000
26200,-100,1000,"sd","09:18:30",181000
26000,-300,20000,"sd","09:18:51",201000
26000,-300,7000,"sd","09:19:05",208000
26000,-300,5000,"sd","09:19:06",213000
26000,-300,2000,"bu","09:19:18",215000
26000,-300,5000,"bu","09:20:33",220000
26000,-300,7000,"sd","09:20:41",227000
26200,-100,1000,"bu","09:20:58",228000
26000,-300,3000,"bu","09:22:18",231000
26200,-100,1000,"sd","09:22:25",232000
26000,-300,1000,"sd","09:23:22",233000
26000,-300,3000,"bu","09:24:28",236000
26000,-300,2000,"sd","09:24:57",238000
26000,-300,2000,"bu","09:25:38",240000
26000,-300,2000,"sd","09:26:18",242000
26000,-300,5000,"sd","09:27:00",247000
26000,-300,7000,"bu","09:27:11",254000
26000,-300,13000,"sd","09:27:19",267000
26000,-300,1000,"sd","09:27:20",268000
26000,-300,5000,"sd","09:27:40",273000
26000,-300,8000,"sd","09:29:51",281000
26000,-300,1000,"bu","09:30:39",282000
26000,-300,1000,"bu","09:32:01",283000
26000,-300,20000,"sd","09:33:41",303000
26000,-300,1000,"sd","09:33:54",304000
26000,-300,10000,"sd","09:33:58",314000
25900,-400,1000,"sd","09:34:01",315000
26000,-300,10000,"bu","09:34:14",325000
26000,-300,3000,"bu","09:34:28",328000
26000,-300,1000,"sd","09:34:50",329000
26100,-200,1000,"sd","09:34:52",330000
26000,-300,20000,"bu","09:34:56",350000
26000,-300,6000,"bu","09:35:22",356000
26000,-300,20000,"sd","09:35:50",376000
26100,-200,20000,"bu","09:36:09",396000
26100,-200,1000,"bu","09:36:15",397000
26200,-100,1000,"bu","09:38:18",398000
26200,-100,50000,"bu","09:38:20",448000
26100,-200,3000,"bu","09:38:44",451000
26200,-100,1000,"bu","09:38:51",452000
26200,-100,1000,"bu","09:39:33",453000
26100,-200,5000,"bu","09:44:06",458000
26100,-200,44000,"sd","09:46:53",502000
26000,-300,1000,"bu","09:52:43",503000
26000,-300,5000,"bu","09:52:59",508000
26000,-300,10000,"bu","09:53:29",518000
26000,-300,1000,"sd","09:53:52",519000
26000,-300,1000,"sd","09:53:57",520000
26000,-300,1000,"sd","09:54:41",521000
26000,-300,2000,"bu","09:55:25",523000
26000,-300,5000,"sd","09:55:26",528000
26000,-300,2000,"bu","09:56:01",530000
26000,-300,25000,"bu","09:57:04",555000
26000,-300,1000,"bu","09:57:20",556000
26000,-300,13000,"bu","09:57:48",569000
26000,-300,14000,"sd","09:58:04",583000
26000,-300,1000,"sd","09:58:17",584000
26000,-300,4000,"sd","09:58:39",588000
26000,-300,2000,"bu","09:59:41",590000
26000,-300,11000,"sd","09:59:50",601000
26000,-300,1000,"bu","10:01:13",602000
26000,-300,31000,"bu","10:02:18",633000
26000,-300,4000,"sd","10:02:25",637000
26000,-300,3000,"bu","10:02:31",640000
26000,-300,2000,"sd","10:02:36",642000
26000,-300,15000,"sd","10:05:39",657000
26000,-300,7000,"bu","10:07:01",664000
26000,-300,5000,"bu","10:07:07",669000
26000,-300,15000,"sd","10:08:45",684000
26100,-200,1000,"bu","10:09:49",685000
26000,-300,12000,"bu","10:10:28",697000
26100,-200,1000,"bu","10:10:47",698000
26000,-300,2000,"bu","10:11:17",700000
26000,-300,1000,"bu","10:11:51",701000
26100,-200,1000,"sd","10:11:57",702000
26100,-200,1000,"bu","10:13:22",703000
26100,-200,2000,"bu","10:15:43",705000
26000,-300,1000,"sd","10:16:46",706000
26000,-300,20000,"bu","10:17:22",726000
26100,-200,1000,"sd","10:17:53",727000
26100,-200,2000,"sd","10:25:13",729000
26000,-300,5000,"bu","10:25:37",734000
