"price","change","match_qtty","side","time","total_vol"
13600,0,2000,"bu","09:00:25",2000
13600,0,2000,"sd","09:00:29",4000
13700,100,3000,"sd","09:01:31",7000
13700,100,3000,"bu","09:02:35",10000
13700,100,2000,"bu","09:04:09",12000
13700,100,1000,"sd","09:10:53",13000
13600,0,10000,"bu","09:12:19",23000
13600,0,6000,"bu","09:12:48",29000
13600,0,30000,"sd","09:13:24",59000
13600,0,50000,"bu","09:16:55",109000
13600,0,5000,"bu","09:17:40",114000
13600,0,1000,"bu","09:17:53",115000
13500,-100,49000,"bu","09:20:45",164000
13500,-100,10000,"bu","09:21:32",174000
13500,-100,1000,"bu","09:23:29",175000
13500,-100,5000,"sd","09:25:56",180000
13500,-100,13000,"sd","09:28:15",193000
13500,-100,20000,"sd","09:31:14",213000
13500,-100,13000,"bu","09:39:30",226000
13600,0,4000,"sd","09:39:49",230000
13600,0,137000,"sd","09:40:41",367000
13600,0,30000,"sd","09:44:56",397000
13700,100,30000,"sd","09:45:12",427000
13600,0,200000,"sd","09:46:58",627000
13700,100,49000,"bu","09:47:09",676000
13600,0,50000,"bu","09:50:20",726000
13600,0,10000,"sd","09:50:34",736000
13600,0,2000,"bu","09:50:59",738000
13600,0,50000,"bu","09:51:03",788000
13600,0,40000,"sd","09:51:37",828000
13600,0,50000,"bu","09:52:31",878000
13700,100,4000,"bu","09:53:20",882000
13700,100,10000,"sd","09:54:51",892000
13600,0,46000,"bu","09:56:28",938000
13600,0,10000,"sd","10:02:17",948000
13600,0,30000,"sd","10:03:58",978000
13600,0,50000,"bu","10:05:09",1028000
13500,-100,5000,"sd","10:11:24",1033000
13600,0,1000,"sd","10:13:27",1034000
13500,-100,2000,"sd","10:13:39",1036000
13500,-100,150000,"sd","10:14:04",1186000
13600,0,5000,"bu","10:17:52",1191000
13500,-100,6000,"bu","10:19:16",1197000
13500,-100,2000,"sd","10:23:34",1199000
13500,-100,200000,"bu","10:23:37",1399000
13500,-100,100000,"sd","10:24:39",1499000
13500,-100,38000,"bu","10:25:30",1537000
13500,-100,100000,"sd","10:25:33",1637000
13500,-100,50000,"sd","10:25:42",1687000
13500,-100,12000,"bu","10:26:10",1699000
13500,-100,29000,"sd","10:26:18",1728000
13500,-100,26000,"sd","10:26:20",1754000
13500,-100,1000,"bu","10:27:16",1755000
13500,-100,1000,"sd","10:27:23",1756000
13500,-100,2000,"bu","10:28:26",1758000
13500,-100,20000,"sd","10:29:43",1778000
13500,-100,2000,"bu","10:30:22",1780000
13500,-100,10000,"bu","10:32:37",1790000
13600,0,100000,"sd","10:32:39",1890000
13500,-100,10000,"bu","10:33:15",1900000
13600,0,3000,"bu","10:37:42",1903000
13500,-100,80000,"sd","10:38:03",1983000
13600,0,5000,"sd","10:38:44",1988000
13600,0,30000,"sd","10:42:06",2018000
13600,0,2000,"sd","10:42:13",2020000
