"price","change","match_qtty","side","time","total_vol"
17200,50,41200,"bu","09:15:11",41200
17200,50,2800,"bu","09:15:19",44000
17250,100,10200,"bu","09:15:19",54200
17200,50,200,"sd","09:16:00",54400
17200,50,3000,"bu","09:16:13",57400
17200,50,3100,"sd","09:17:07",60500
17200,50,10000,"bu","09:18:15",70500
17200,50,800,"bu","09:18:37",71300
17250,100,100,"sd","09:18:52",71400
17250,100,10000,"bu","09:19:02",81400
17250,100,2000,"bu","09:19:09",83400
17200,50,2800,"sd","09:19:15",86200
17250,100,200,"sd","09:19:16",86400
17250,100,10000,"bu","09:19:25",96400
17250,100,1400,"bu","09:19:29",97800
17300,150,100,"sd","09:19:37",97900
17250,100,2100,"sd","09:20:02",100000
17250,100,100,"bu","09:20:14",100100
17300,150,15500,"sd","09:20:32",115600
17250,100,700,"sd","09:20:33",117400
17250,100,1200,"bu","09:20:38",118600
17250,100,100,"sd","09:20:51",118700
17200,50,2100,"sd","09:21:03",120800
17250,100,1400,"bu","09:21:09",122200
17250,100,1000,"sd","09:21:13",123200
17250,100,600,"sd","09:21:14",123800
17300,150,5100,"bu","09:21:25",128900
17300,150,1500,"sd","09:21:35",132900
17300,150,4400,"bu","09:21:37",137300
17300,150,100,"sd","09:21:39",137500
17300,150,400,"sd","09:21:48",137900
17300,150,400,"sd","09:21:52",138300
17300,150,800,"bu","09:21:55",139300
17300,150,7200,"bu","09:21:56",146500
17350,200,100,"sd","09:22:03",146600
17350,200,17400,"bu","09:22:18",164000
17400,250,7000,"sd","09:22:23",171000
17400,250,13900,"sd","09:22:23",184900
17450,300,1000,"sd","09:22:31",185900
17400,250,10000,"bu","09:22:33",195900
17450,300,100,"bu","09:22:34",196000
17450,300,2000,"bu","09:22:41",198000
17450,300,3000,"bu","09:22:43",201000
17500,350,100,"bu","09:22:50",201100
17500,350,600,"sd","09:22:55",201700
17500,350,500,"bu","09:23:02",202200
17500,350,1100,"bu","09:23:03",203300
17450,300,3000,"bu","09:23:09",206300
17450,300,500,"bu","09:23:13",206800
17500,350,12000,"sd","09:23:20",218800
17450,300,2000,"sd","09:23:21",220800
17450,300,5000,"sd","09:23:24",225800
17450,300,2000,"sd","09:23:28",227800
17450,300,600,"bu","09:23:30",228400
17500,350,20000,"sd","09:23:32",248400
17500,350,200,"bu","09:23:35",248600
17450,300,900,"sd","09:23:38",249500
17450,300,3100,"bu","09:23:39",252600
17500,350,200,"bu","09:23:45",252800
17450,300,1800,"sd","09:24:00",254600
17450,300,1400,"sd","09:24:07",256000
17500,350,18800,"sd","09:24:10",274800
17500,350,1200,"sd","09:24:11",276000
17500,350,300,"sd","09:24:18",276300
17450,300,4000,"bu","09:24:21",280300
17500,350,100,"bu","09:24:39",280400
17500,350,1000,"bu","09:24:41",281400
17500,350,4500,"bu","09:24:50",285900
17500,350,500,"bu","09:24:55",286900
17500,350,6000,"bu","09:25:00",292900
17550,400,3500,"sd","09:25:00",296400
17550,400,2500,"bu","09:25:00",298900
17550,400,1400,"sd","09:25:04",300300
17550,400,2000,"bu","09:25:11",302300
17550,400,1500,"sd","09:25:13",303800
17600,450,38400,"sd","09:25:14",342200
17550,400,4000,"sd","09:25:17",346200
17600,450,800,"sd","09:25:21",347000
17650,500,3000,"sd","09:25:21",350000
17600,450,700,"bu","09:25:23",350700
17600,450,2000,"bu","09:25:30",352700
17600,450,1000,"sd","09:25:31",353700
17600,450,10000,"bu","09:25:34",363700
17600,450,100,"bu","09:25:39",363800
17600,450,5000,"bu","09:25:41",368800
17600,450,200,"bu","09:25:42",369000
17600,450,1000,"sd","09:25:43",370000
17600,450,10000,"bu","09:25:44",380000
17650,500,100,"sd","09:25:46",380100
17600,450,5000,"bu","09:25:53",385100
17600,450,7000,"bu","09:25:56",392100
17650,500,500,"sd","09:25:58",392600
17650,500,1900,"sd","09:25:59",394500
17600,450,5000,"sd","09:26:01",399500
17650,500,1100,"sd","09:26:02",400600
17650,500,300,"sd","09:26:05",400900
17650,500,4500,"bu","09:26:07",405400
17650,500,500,"sd","09:26:10",406700
17700,550,1000,"bu","09:26:13",407700
17700,550,900,"bu","09:26:15",408600
17700,550,17300,"sd","09:26:20",425900
17750,600,2000,"sd","09:26:22",427900
17750,600,1000,"bu","09:26:25",428900
17750,600,10000,"bu","09:26:30",438900
17750,600,100,"sd","09:26:31",439000
17700,550,6000,"bu","09:26:39",445000
17700,550,1100,"bu","09:26:54",446100
17700,550,9900,"sd","09:26:55",456000
17700,550,3000,"bu","09:26:57",459000
17700,550,5000,"sd","09:27:01",464000
17700,550,500,"sd","09:27:06",464500
17700,550,1500,"sd","09:27:12",466000
17700,550,9900,"sd","09:27:22",475900
17700,550,2000,"sd","09:27:25",477900
17650,500,5000,"bu","09:27:28",482900
17650,500,300,"bu","09:27:30",483200
17650,500,1000,"sd","09:27:32",484200
17650,500,6000,"sd","09:27:35",490200
17650,500,1700,"bu","09:27:37",491900
17650,500,3200,"bu","09:27:40",495100
17650,500,5000,"sd","09:27:43",500100
17650,500,2000,"sd","09:27:46",502100
17650,500,1000,"sd","09:27:51",503100
17650,500,5000,"bu","09:27:55",508100
17700,550,200,"bu","09:27:58",508300
17650,500,2400,"bu","09:27:58",510700
17650,500,300,"bu","09:27:59",511000
17700,550,14400,"sd","09:28:12",525400
17700,550,200,"bu","09:28:13",525600
17650,500,6000,"sd","09:28:15",531600
17700,550,5000,"bu","09:28:17",536600
17700,550,100,"bu","09:28:28",536700
17700,550,6000,"bu","09:28:37",542700
17700,550,6400,"sd","09:28:39",549100
17700,550,900,"bu","09:28:42",550000
17700,550,200,"sd","09:28:43",550200
17700,550,1000,"bu","09:28:45",551200
17700,550,3000,"bu","09:28:46",554200
17700,550,4600,"sd","09:28:49",558800
17700,550,4000,"bu","09:28:55",562800
17750,600,15000,"sd","09:28:57",577800
17700,550,2000,"bu","09:28:59",579800
17750,600,18000,"bu","09:29:01",597800
17750,600,5000,"sd","09:29:02",602800
17750,600,10000,"sd","09:29:07",612800
17750,600,600,"sd","09:29:19",613400
17800,650,1500,"sd","09:29:21",615900
17750,600,4800,"bu","09:29:25",620900
17750,600,2000,"bu","09:29:30",622900
17750,600,800,"sd","09:29:34",623700
17750,600,500,"sd","09:29:36",624200
17750,600,1000,"bu","09:29:39",625200
17800,650,200,"bu","09:29:46",625400
17750,600,5000,"bu","09:29:49",630400
17750,600,1000,"sd","09:29:52",631400
17750,600,100,"bu","09:29:53",631500
17750,600,4900,"bu","09:29:59",636400
17750,600,6000,"bu","09:30:03",642400
17750,600,3000,"bu","09:30:16",645400
17750,600,1000,"sd","09:30:23",646400
17750,600,5000,"bu","09:30:24",651400
17750,600,100,"bu","09:30:29",651500
17750,600,5000,"bu","09:30:32",656500
17750,600,2800,"bu","09:30:33",659300
17750,600,5100,"sd","09:30:35",664400
17750,600,7100,"bu","09:30:47",671500
17800,650,5000,"sd","09:30:48",676500
17800,650,600,"sd","09:31:00",677100
17800,650,52400,"bu","09:31:04",729500
17850,700,1800,"bu","09:31:14",731300
17850,700,8100,"sd","09:31:19",739400
17800,650,10000,"bu","09:31:20",749400
17850,700,1000,"bu","09:31:27",750400
17800,650,1700,"sd","09:31:29",752100
17800,650,200,"bu","09:31:33",752300
17850,700,1000,"sd","09:31:36",753300
17850,700,3300,"sd","09:31:41",756600
17900,750,500,"bu","09:31:48",757100
17900,750,1300,"bu","09:31:52",758400
17850,700,500,"sd","09:31:57",758900
17900,750,200,"sd","09:31:59",759100
17900,750,400,"sd","09:32:03",759500
17850,700,10000,"sd","09:32:05",769500
17850,700,300,"sd","09:32:22",769800
17850,700,2400,"sd","09:32:38",772200
17900,750,1000,"bu","09:32:42",773200
17900,750,500,"bu","09:32:50",773700
17900,750,300,"sd","09:32:57",774000
17850,700,1600,"bu","09:32:58",775600
17850,700,6000,"bu","09:32:59",781600
17900,750,8000,"bu","09:33:00",789600
17900,750,3000,"sd","09:33:03",792600
17850,700,7000,"bu","09:33:11",799600
17900,750,7000,"bu","09:33:12",806600
17900,750,300,"sd","09:33:22",806900
17900,750,5000,"sd","09:33:23",811900
17900,750,1000,"bu","09:33:25",812900
17850,700,10000,"bu","09:33:26",822900
17900,750,1000,"sd","09:33:28",823900
17900,750,2000,"sd","09:33:29",825900
17850,700,5000,"bu","09:33:30",830900
17900,750,67900,"bu","09:33:32",898800
17900,750,3000,"sd","09:33:33",901800
17900,750,600,"bu","09:33:36",902400
17950,800,1000,"sd","09:33:43",903400
17950,800,200,"bu","09:33:44",903600
18000,850,102000,"bu","09:33:50",1005600
18000,850,3000,"sd","09:33:54",1008700
18000,850,100,"bu","09:33:56",1008800
18050,900,3600,"sd","09:33:59",1012400
18100,950,800,"bu","09:34:04",1013200
18100,950,16600,"bu","09:34:06",1029800
18100,950,200,"bu","09:34:07",1030000
18150,1000,1500,"sd","09:34:11",1031500
18150,1000,100,"sd","09:34:13",1031600
18150,1000,500,"bu","09:34:16",1032100
18200,1050,5500,"sd","09:34:23",1037600
18200,1050,500,"bu","09:34:28",1038100
18200,1050,2200,"sd","09:34:31",1040300
18200,1050,5000,"sd","09:34:32",1045300
18200,1050,1000,"sd","09:34:33",1046300
18200,1050,1300,"sd","09:34:36",1047600
18200,1050,500,"bu","09:34:37",1048100
18200,1050,10000,"bu","09:34:40",1058100
18200,1050,2000,"bu","09:34:41",1060200
18200,1050,100,"bu","09:34:48",1070300
18200,1050,100,"bu","09:34:52",1075900
18200,1050,300,"sd","09:34:53",1076200
18250,1100,3000,"bu","09:34:54",1079200
18200,1050,100,"sd","09:34:55",1079300
18200,1050,5000,"sd","09:34:56",1084300
18250,1100,10000,"bu","09:35:00",1094300
18250,1100,31700,"sd","09:35:03",1126000
18250,1100,15000,"sd","09:35:03",1141000
18300,1150,3000,"bu","09:35:04",1144000
18300,1150,10000,"sd","09:35:08",1154000
18300,1150,30000,"bu","09:35:09",1184000
18300,1150,1000,"sd","09:35:11",1185000
18300,1150,5200,"bu","09:35:12",1190200
18300,1150,5300,"sd","09:35:15",1195800
18300,1150,5000,"bu","09:35:16",1200800
18300,1150,900,"sd","09:35:16",1201700
18350,1200,50000,"bu","09:35:18",1251700
18300,1150,7500,"sd","09:35:19",1259200
18300,1150,6500,"bu","09:35:20",1265700
18300,1150,500,"sd","09:35:21",1266200
18300,1150,200,"bu","09:35:27",1266400
18350,1200,10000,"bu","09:35:28",1276400
18350,1200,15200,"sd","09:35:29",1291600
18350,1200,4100,"bu","09:35:31",1295700
18350,1200,1700,"sd","09:35:31",1297400
18200,1050,35000,"sd","09:35:32",1332400
18350,1200,300,"sd","09:35:33",1332700
18350,1200,2000,"sd","09:35:34",1334700
18300,1150,1000,"sd","09:35:35",1335700
18300,1150,9000,"sd","09:35:36",1344700
18350,1200,10200,"sd","09:35:38",1354900
18350,1200,500,"bu","09:35:42",1355400
18350,1200,1500,"bu","09:35:48",1356900
18350,1200,50000,"bu","09:35:50",1406900
18350,1200,16000,"sd","09:35:53",1422900
18350,1200,1400,"bu","09:35:53",1408300
18350,1200,21500,"sd","09:35:54",1429800
18350,1200,2000,"bu","09:35:56",1431800
18350,1200,75000,"bu","09:35:57",1506800
18350,1200,9100,"sd","09:35:59",1518400
18350,1200,300,"sd","09:36:02",1518700
18350,1200,2000,"bu","09:36:06",1520700
18350,1200,100,"bu","09:36:08",1520800
18350,1200,68300,"bu","09:36:10",1589100
18350,1200,1000,"sd","09:36:11",1590100
18350,1200,9700,"sd","09:36:12",1599800
18350,1200,3000,"sd","09:36:13",1602800
18350,1200,2000,"sd","09:36:16",1604800
18350,1200,300,"bu","09:36:17",1605100
18350,1200,500,"bu","09:36:18",1605600
18350,1200,1500,"bu","09:36:20",1607100
18350,1200,5000,"bu","09:36:20",1612100
18350,1200,22500,"bu","09:36:21",1634600
18350,1200,1300,"sd","09:36:24",1639600
18350,1200,1000,"sd","09:36:26",1640600
18350,1200,1600,"sd","09:36:29",1642200
18350,1200,600,"sd","09:36:32",1642800
18350,1200,100,"sd","09:36:34",1642900
18350,1200,13000,"bu","09:36:38",1655900
18350,1200,500,"bu","09:36:38",1656400
18350,1200,3100,"sd","09:36:45",1659500
18350,1200,600,"sd","09:36:46",1660100
18350,1200,100,"bu","09:36:47",1660200
18350,1200,17600,"sd","09:36:49",1677800
18350,1200,2700,"sd","09:36:50",1680700
18350,1200,200,"sd","09:36:51",1680900
18350,1200,400,"bu","09:36:53",1681300
18350,1200,19300,"bu","09:36:53",1700600
18350,1200,10000,"sd","09:36:55",1710600
18350,1200,400,"bu","09:36:56",1711000
18350,1200,2000,"bu","09:36:57",1713000
18350,1200,1000,"bu","09:36:58",1714000
18350,1200,300,"sd","09:36:59",1714300
18350,1200,1800,"bu","09:37:03",1716100
18350,1200,1500,"sd","09:37:06",1717600
18350,1200,2000,"bu","09:37:12",1719600
18350,1200,100,"bu","09:37:13",1719700
18350,1200,2100,"sd","09:37:15",1721800
18350,1200,10000,"sd","09:37:17",1731800
18350,1200,100,"bu","09:37:19",1731900
18350,1200,10100,"bu","09:37:23",1742000
18350,1200,700,"sd","09:37:25",1742700
18350,1200,9900,"sd","09:37:28",1752600
18350,1200,100,"sd","09:37:29",1752700
18350,1200,2200,"sd","09:37:40",1754900
