"price","change","match_qtty","side","time","total_vol"
9900,0,2000,"sd","09:39:03",2000
9900,0,1000,"bu","09:40:13",3000
10000,100,1000,"sd","09:52:56",4000
10000,100,6000,"sd","10:07:47",10000
10000,100,1000,"sd","10:08:58",11000
9900,0,50000,"bu","10:39:46",61000
9900,0,129000,"sd","13:18:15",190000
9900,0,2000,"bu","14:07:37",192000
9900,0,2000,"bu","14:07:44",194000
9900,0,2000,"sd","14:07:49",196000
9900,0,2000,"sd","14:07:53",198000
9800,-100,150000,"bu","14:19:34",348000
9800,-100,20000,"sd","14:20:45",368000
9800,-100,15000,"sd","14:25:36",383000
