"price","change","match_qtty","side","time","total_vol"
5330,20,26300,"sd","09:15:16",26300
5350,40,3100,"bu","09:15:25",29400
5350,40,1900,"bu","09:15:27",31300
5340,30,100,"sd","09:15:40",31400
5390,80,1000,"bu","09:17:07",32400
5400,90,3700,"sd","09:17:31",36100
5450,140,10000,"bu","09:18:20",46100
5450,140,100,"bu","09:18:54",46200
5450,140,10000,"sd","09:18:55",56200
5450,140,100,"sd","09:19:04",56300
5450,140,9200,"bu","09:19:07",65500
5450,140,5700,"sd","09:19:22",71200
5460,150,20000,"sd","09:19:25",91200
5460,150,3000,"sd","09:19:38",94200
5460,150,500,"bu","09:19:44",94700
5460,150,3000,"bu","09:19:49",97700
5480,170,40000,"bu","09:19:52",137700
5480,170,7000,"sd","09:20:05",144700
5490,180,1400,"bu","09:20:30",146100
5480,170,100,"sd","09:20:36",146200
5490,180,200,"sd","09:20:37",146400
5480,170,100,"sd","09:20:56",146500
5490,180,3000,"bu","09:20:57",149500
5490,180,2000,"bu","09:20:59",151500
5490,180,2600,"sd","09:21:02",154100
5500,190,30000,"sd","09:21:13",184100
5500,190,2800,"bu","09:21:24",186900
5500,190,400,"sd","09:21:31",187300
5490,180,13600,"bu","09:21:32",200900
5490,180,200,"bu","09:21:43",201100
5500,190,30400,"bu","09:21:48",231500
5500,190,5000,"bu","09:21:56",236500
5500,190,24800,"sd","09:22:04",261300
5490,180,300,"bu","09:22:32",261600
5490,180,500,"sd","09:22:44",262100
5490,180,1900,"bu","09:22:47",264000
5500,190,6900,"sd","09:22:47",270900
5490,180,1900,"bu","09:22:54",272800
5490,180,1000,"bu","09:22:55",273800
5500,190,10500,"sd","09:22:59",284300
5500,190,10000,"bu","09:23:03",294300
5500,190,14200,"sd","09:23:08",308500
5500,190,600,"bu","09:23:26",309100
5530,220,10000,"sd","09:23:48",319100
5530,220,2500,"bu","09:23:49",321600
5530,220,10100,"bu","09:24:05",331700
5530,220,100,"bu","09:24:21",331800
5520,210,1000,"bu","09:24:27",332800
5520,210,800,"bu","09:24:39",333600
5530,220,20000,"sd","09:24:54",353600
5520,210,8700,"bu","09:24:55",362300
5500,190,2000,"sd","09:25:06",364300
5500,190,3500,"sd","09:25:28",367800
5500,190,7100,"bu","09:25:47",374900
5500,190,1000,"bu","09:25:49",375900
5500,190,2000,"sd","09:25:54",377900
5500,190,100,"bu","09:25:57",378000
5480,170,6000,"bu","09:26:10",384000
5480,170,10000,"sd","09:26:13",394000
5480,170,14000,"sd","09:26:23",408000
5480,170,8300,"bu","09:26:43",416300
5500,190,3300,"bu","09:26:57",419600
5490,180,1100,"bu","09:27:14",420700
5490,180,5600,"sd","09:27:46",426300
5490,180,300,"bu","09:28:12",426600
5490,180,1000,"sd","09:28:15",427600
5490,180,3000,"sd","09:28:18",430600
5490,180,1000,"bu","09:28:32",431600
5480,170,1500,"sd","09:28:48",433100
5490,180,200,"bu","09:29:05",433300
5480,170,600,"bu","09:29:11",433900
5480,170,200,"sd","09:29:20",434100
5460,150,5000,"sd","09:29:26",439100
5460,150,200,"sd","09:30:12",439300
5460,150,500,"bu","09:30:14",439800
5460,150,9300,"bu","09:30:15",449100
5460,150,100,"sd","09:30:35",449200
5460,150,300,"sd","09:30:37",449500
5460,150,4600,"bu","09:30:44",454100
5460,150,5000,"sd","09:30:46",459100
5460,150,1000,"sd","09:31:03",460100
5460,150,1000,"sd","09:31:32",461100
5460,150,1000,"bu","09:31:51",462100
5460,150,100,"sd","09:32:21",462200
5460,150,500,"sd","09:32:27",462700
5460,150,400,"bu","09:32:37",463100
5460,150,2500,"bu","09:32:51",465600
5460,150,6500,"bu","09:33:07",472100
5460,150,300,"sd","09:33:18",472400
5480,170,1000,"sd","09:33:23",473400
5480,170,5000,"bu","09:33:48",478400
5460,150,3000,"bu","09:33:52",481400
5470,160,100,"bu","09:34:01",481500
5470,160,1100,"sd","09:34:03",482600
5470,160,5000,"bu","09:34:20",487600
5470,160,1000,"sd","09:34:50",488600
5470,160,5000,"sd","09:35:05",493600
5470,160,1000,"bu","09:35:08",494600
5470,160,13800,"sd","09:35:14",508400
5460,150,2000,"bu","09:35:25",510400
5470,160,1000,"bu","09:35:34",511400
5460,150,4900,"sd","09:35:53",516300
5460,150,14300,"sd","09:35:54",530600
5450,140,3300,"sd","09:36:04",533900
5430,120,100,"sd","09:37:09",534000
5430,120,500,"sd","09:37:27",534500
5430,120,200,"bu","09:37:37",534700
5430,120,600,"sd","09:37:45",535300
5430,120,9600,"sd","09:37:52",544900
5430,120,100,"sd","09:38:06",545000
5410,100,1000,"sd","09:38:13",546000
5410,100,1000,"sd","09:38:18",547000
5410,100,6200,"bu","09:39:05",553200
5410,100,10000,"bu","09:39:23",563200
5410,100,1500,"bu","09:39:34",564700
5410,100,500,"sd","09:39:40",565200
5410,100,100,"sd","09:40:03",565300
5410,100,1000,"bu","09:40:04",566300
5410,100,500,"sd","09:40:16",566800
5400,90,25500,"bu","09:40:56",592300
5410,100,5000,"bu","09:41:02",597300
5410,100,15000,"sd","09:41:12",612300
5410,100,300,"bu","09:41:27",612600
5400,90,8600,"sd","09:41:43",621200
5400,90,1000,"bu","09:41:47",622200
5390,80,1700,"sd","09:41:53",623900
5400,90,3400,"bu","09:41:55",627300
5400,90,500,"bu","09:41:58",627800
5400,90,1100,"bu","09:42:19",628900
5400,90,1200,"bu","09:42:22",630100
5390,80,3000,"bu","09:42:55",633100
5400,90,10000,"bu","09:43:03",643100
5400,90,10000,"bu","09:43:08",653100
5390,80,1000,"sd","09:43:09",654100
5400,90,3000,"bu","09:43:15",657100
5390,80,300,"bu","09:44:01",657400
5390,80,3000,"bu","09:44:15",660400
5400,90,5000,"bu","09:44:23",665400
5400,90,17500,"bu","09:44:38",682900
5400,90,200,"bu","09:44:39",683100
5400,90,3300,"bu","09:44:57",686400
5400,90,500,"bu","09:45:21",686900
5390,80,4500,"sd","09:45:30",691400
5400,90,7700,"bu","09:45:44",699100
5400,90,3000,"sd","09:46:08",702100
5410,100,100,"bu","09:46:10",702200
5400,90,10000,"bu","09:46:18",712200
5400,90,8100,"sd","09:46:21",720300
5400,90,23900,"bu","09:47:42",744200
5400,90,6100,"sd","09:47:55",750300
5400,90,3900,"sd","09:48:25",754200
5400,90,1100,"bu","09:48:30",755300
5400,90,13600,"bu","09:48:47",768900
5410,100,500,"bu","09:49:09",769400
5400,90,5000,"bu","09:49:15",774400
5400,90,20000,"bu","09:49:16",794400
5400,90,7000,"sd","09:49:16",801400
5400,90,900,"sd","09:49:23",802300
5400,90,2100,"bu","09:49:28",804400
5400,90,7900,"sd","09:49:36",812300
5400,90,5000,"sd","09:49:50",817300
5400,90,1000,"sd","09:50:41",818300
5400,90,500,"sd","09:50:44",818800
5400,90,100,"bu","09:50:53",818900
5390,80,200,"bu","09:51:17",819100
5390,80,6200,"bu","09:51:59",825300
5400,90,53000,"bu","09:52:01",878300
5400,90,200,"sd","09:52:13",878500
5400,90,500,"sd","09:52:23",879000
5390,80,500,"sd","09:53:43",879500
5390,80,500,"bu","09:54:09",880000
5390,80,300,"sd","09:54:22",880300
5390,80,500,"sd","09:54:23",880800
5390,80,800,"bu","09:55:30",881600
5390,80,200,"bu","09:55:42",881800
5390,80,3100,"bu","09:56:31",884900
5380,70,300,"bu","09:57:07",885200
5380,70,4000,"bu","09:57:41",889200
5380,70,1300,"sd","09:57:55",890500
5360,50,7900,"bu","09:59:33",898400
5360,50,30000,"bu","09:59:44",928400
5350,40,5100,"sd","09:59:48",933500
5350,40,4000,"bu","10:00:15",937500
5350,40,2000,"sd","10:00:16",939500
5350,40,4500,"bu","10:01:05",944000
5350,40,3500,"bu","10:01:09",947500
5360,50,200,"bu","10:01:57",947700
5360,50,1900,"bu","10:02:07",949600
5360,50,2000,"sd","10:02:10",951600
5360,50,7700,"sd","10:02:41",959300
5370,60,200,"bu","10:04:16",959500
5370,60,300,"bu","10:04:21",959800
5370,60,1000,"sd","10:05:35",960800
5390,80,200,"bu","10:06:07",961000
5390,80,100,"bu","10:06:25",961100
5390,80,1300,"sd","10:07:11",962400
5390,80,300,"sd","10:08:12",962700
5380,70,5000,"sd","10:09:35",967700
5390,80,13400,"bu","10:09:36",981100
5400,90,500,"bu","10:09:45",981600
5400,90,1000,"sd","10:09:55",982600
5400,90,400,"sd","10:09:59",983000
5400,90,500,"sd","10:10:22",983500
5400,90,1000,"bu","10:10:39",984500
5400,90,500,"sd","10:10:51",985000
5400,90,1000,"sd","10:11:02",986000
5400,90,500,"bu","10:11:17",986500
5390,80,9800,"bu","10:12:20",996300
5390,80,2000,"sd","10:12:23",998300
5400,90,10000,"sd","10:12:27",1008300
5400,90,300,"sd","10:12:28",1008600
5390,80,6000,"sd","10:12:35",1014600
5390,80,200,"bu","10:12:37",1014800
5390,80,1000,"sd","10:12:59",1015800
5390,80,1200,"sd","10:13:26",1017000
5390,80,2000,"sd","10:13:33",1019000
5390,80,500,"bu","10:13:35",1019500
5390,80,1000,"sd","10:13:50",1020500
5390,80,6200,"sd","10:16:57",1026700
5390,80,4300,"sd","10:17:28",1031000
5380,70,2100,"sd","10:19:10",1033100
5370,60,1000,"sd","10:19:43",1034100
5370,60,500,"bu","10:19:56",1034600
5370,60,5800,"bu","10:20:12",1040400
5370,60,2000,"bu","10:22:09",1042400
5370,60,500,"bu","10:22:55",1042900
5360,50,11000,"sd","10:24:12",1053900
5370,60,700,"bu","10:24:57",1054600
5390,80,27900,"sd","10:25:09",1082500
5390,80,2100,"sd","10:25:40",1084600
5390,80,500,"sd","10:26:54",1085100
5390,80,200,"bu","10:28:40",1085300
5390,80,100,"bu","10:29:06",1085400
5370,60,9800,"sd","10:33:45",1095200
5370,60,1400,"sd","10:33:49",1096600
5380,70,2000,"bu","10:33:54",1098600
5380,70,500,"bu","10:34:10",1099100
5370,60,2200,"sd","10:34:19",1101300
5360,50,2000,"bu","10:34:44",1103300
5370,60,1000,"bu","10:35:15",1104300
5370,60,500,"bu","10:35:31",1104800
5360,50,5000,"bu","10:35:45",1109800
5370,60,300,"sd","10:35:50",1110100
5380,70,4600,"sd","10:36:58",1114700
5380,70,4600,"bu","10:37:00",1119300
5380,70,3800,"sd","10:37:10",1123100
5380,70,1600,"bu","10:37:30",1124700
5370,60,1500,"bu","10:38:32",1126200
