"price","change","match_qtty","side","time","total_vol"
11400,0,1000,"sd","09:00:26",1000
11400,0,1000,"sd","09:01:11",2000
11400,0,2000,"sd","09:16:08",4000
11400,0,1000,"sd","09:18:18",5000
11300,-100,50000,"bu","09:27:53",55000
11300,-100,68000,"sd","09:35:05",123000
11300,-100,60000,"bu","09:45:40",183000
11400,0,50000,"bu","09:50:22",233000
11400,0,2000,"sd","09:50:47",235000
11400,0,5000,"bu","09:51:58",240000
11400,0,43000,"sd","09:52:23",283000
11400,0,21000,"sd","09:59:30",304000
11400,0,80000,"bu","10:01:46",384000
11400,0,10000,"bu","10:05:30",394000
11400,0,8000,"bu","10:05:55",402000
11400,0,55000,"bu","10:06:27",457000
11400,0,20000,"bu","10:07:37",477000
11400,0,25000,"sd","10:14:05",502000
11400,0,25000,"bu","10:18:12",527000
11400,0,5000,"sd","10:20:00",532000
11400,0,1000,"sd","10:34:44",533000
11400,0,31000,"bu","10:35:00",564000
11400,0,1000,"bu","10:39:52",565000
11400,0,1000,"sd","10:47:41",566000
11400,0,1000,"sd","10:47:53",567000
11400,0,20000,"bu","10:49:45",587000
11300,-100,15000,"bu","11:02:51",602000
11300,-100,1000,"bu","11:10:59",603000
11300,-100,100000,"bu","11:12:08",703000
11300,-100,56000,"bu","11:12:35",759000
11300,-100,59000,"bu","11:12:39",818000
11300,-100,10000,"sd","11:13:29",828000
11300,-100,7000,"sd","11:14:00",835000
11300,-100,20000,"bu","11:14:03",855000
11300,-100,1000,"sd","11:14:10",856000
11300,-100,2000,"bu","11:14:19",858000
11300,-100,1000,"bu","11:14:29",859000
11300,-100,6000,"bu","11:19:50",865000
11300,-100,20000,"sd","11:27:12",885000
11300,-100,18000,"bu","13:00:12",903000
11300,-100,10000,"bu","13:02:01",913000
11300,-100,1000,"bu","13:02:27",914000
11300,-100,41000,"sd","13:03:21",955000
11300,-100,60000,"sd","13:04:56",1015000
11300,-100,3000,"bu","13:10:47",1018000
11300,-100,20000,"sd","13:12:19",1038000
11200,-200,20000,"sd","13:22:23",1058000
11200,-200,50000,"sd","13:22:31",1108000
11300,-100,13000,"bu","13:22:37",1121000
11300,-100,37000,"bu","13:23:26",1158000
11200,-200,140000,"bu","13:24:01",1298000
11200,-200,10000,"bu","13:25:20",1308000
11200,-200,40000,"bu","13:25:24",1348000
11200,-200,3000,"bu","13:27:08",1351000
11200,-200,13000,"bu","13:28:46",1364000
11200,-200,13000,"bu","13:31:20",1377000
11200,-200,100000,"bu","13:32:06",1477000
11200,-200,40000,"bu","13:34:50",1517000
11200,-200,5000,"bu","13:35:37",1522000
11200,-200,7000,"bu","13:36:38",1529000
11200,-200,1000,"bu","13:36:51",1530000
11200,-200,1000,"bu","13:36:59",1531000
11100,-300,100000,"sd","13:37:46",1631000
11100,-300,45000,"bu","13:39:14",1676000
11300,-100,1000,"sd","13:42:51",1677000
11300,-100,1000,"bu","13:43:39",1678000
11200,-200,40000,"sd","13:44:30",1718000
11200,-200,3000,"bu","13:44:55",1721000
11200,-200,7000,"bu","13:45:03",1728000
11200,-200,13000,"sd","13:45:05",1741000
11200,-200,7000,"bu","13:45:14",1748000
11200,-200,3000,"bu","13:45:35",1751000
11200,-200,1000,"sd","13:45:48",1752000
11200,-200,1000,"bu","13:46:00",1753000
11200,-200,15000,"sd","13:46:21",1768000
11200,-200,1000,"sd","13:47:07",1769000
11200,-200,1000,"bu","13:47:41",1770000
11200,-200,1000,"sd","13:47:50",1771000
11200,-200,10000,"bu","13:48:00",1781000
11200,-200,47000,"sd","13:48:45",1828000
11300,-100,20000,"sd","14:04:48",1848000
11300,-100,1000,"bu","14:10:01",1849000
11200,-200,10000,"sd","14:15:04",1859000
11200,-200,50000,"sd","14:15:52",1909000
11200,-200,63000,"sd","14:16:14",1972000
11200,-200,7000,"sd","14:16:24",1979000
11200,-200,51000,"bu","14:16:29",2030000
11200,-200,30000,"sd","14:16:39",2060000
11200,-200,7000,"sd","14:16:53",2067000
11200,-200,6000,"bu","14:17:22",2073000
11200,-200,10000,"bu","14:17:49",2083000
11200,-200,10000,"bu","14:18:00",2093000
11200,-200,10000,"bu","14:19:08",2103000
11200,-200,15000,"sd","14:19:39",2118000
11200,-200,5000,"bu","14:20:25",2123000
11200,-200,1000,"bu","14:20:30",2124000
11200,-200,5000,"bu","14:20:34",2129000
11200,-200,3000,"sd","14:23:24",2132000
11100,-300,10000,"bu","14:24:39",2142000
11100,-300,3000,"sd","14:25:59",2145000
11200,-200,20000,"sd","14:26:11",2165000
11200,-200,100000,"sd","14:27:29",2265000
11200,-200,6000,"sd","14:28:21",2271000
11200,-200,1000,"sd","14:29:15",2272000
11200,-200,5000,"bu","14:29:45",2277000
11200,-200,20000,"bu","14:29:56",2297000
11300,-100,50000,"bu","14:33:10",2347000
11200,-200,100000,"sd","14:36:14",2447000
11200,-200,144000,"bu","14:39:35",2591000
11200,-200,5000,"bu","14:42:30",2596000
11200,-200,20000,"sd","14:43:08",2616000
11200,-200,5000,"bu","14:44:24",2621000
11200,-200,1000,"sd","14:44:45",2622000
11200,-200,5000,"sd","14:45:13",2627000
11200,-200,6000,"sd","14:45:25",2633000
11300,-100,1000,"sd","14:59:16",2634000
11300,-100,14000,"bu","14:59:41",2648000
