"price","change","match_qtty","side","time","total_vol"
9000,-100,5000,"bu","09:32:01",5000
9000,-100,5000,"sd","09:34:05",10000
9000,-100,5000,"bu","09:36:58",15000
9000,-100,35000,"bu","10:20:32",50000
9000,-100,55000,"bu","10:26:30",105000
9000,-100,1000,"bu","10:45:30",106000
9000,-100,1000,"bu","10:48:34",107000
8900,-200,1000,"sd","10:49:55",108000
9000,-100,15000,"sd","10:51:15",123000
9000,-100,8000,"bu","10:53:33",131000
9000,-100,3000,"bu","10:54:29",134000
9000,-100,1000,"sd","10:57:52",135000
9000,-100,4000,"bu","10:58:19",139000
9000,-100,2000,"bu","13:24:15",141000
9000,-100,5000,"bu","13:34:05",146000
9000,-100,5000,"sd","13:34:26",151000
9000,-100,1000,"sd","13:41:40",152000
8900,-200,30000,"sd","14:16:29",182000
9000,-100,1000,"bu","14:28:40",183000
9000,-100,1000,"bu","14:28:46",184000
