"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:4396",15600,99300,9416500,"14:45:00",15450,"unknown",150,1,"U","LeTable"
"hose:4396",15600,300,9317200,"14:29:55",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,200,9316900,"14:29:55",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,300,9316700,"14:29:50",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,400,9316400,"14:29:48",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,300,9316000,"14:29:48",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,500,9315700,"14:29:44",15450,"sd",150,1,"U","LeTable"
"hose:4396",15650,800,9315200,"14:29:44",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15650,500,9314400,"14:29:44",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15650,1000,9313900,"14:29:44",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15650,1000,9312900,"14:29:44",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15650,1000,9311900,"14:29:44",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15650,2000,9310900,"14:29:44",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15650,4300,9308900,"14:29:44",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15600,100,9304600,"14:29:44",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,500,9304500,"14:29:44",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,1000,9304000,"14:29:41",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,2600,9303000,"14:29:36",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,1000,9300400,"14:29:36",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,2500,9299400,"14:29:36",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,200,9296900,"14:29:36",15450,"sd",150,1,"U","LeTable"
"hose:4396",15600,700,9296700,"14:29:36",15450,"sd",150,1,"U","LeTable"
"hose:4396",15650,1000,9296000,"14:29:33",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15650,700,9295000,"14:29:33",15450,"bu",200,1.3,"U","LeTable"
"hose:4396",15650,100,9294300,"14:29:33",15450,"bu",200,1.3,"U","LeTable"
