"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:2577",4190,2500,63500,"14:45:00",4220,"sd",-30,-0.7,"D","LeTable"
"hose:2577",4250,100,61000,"14:14:44",4220,"bu",30,0.7,"U","LeTable"
"hose:2577",4200,5000,60900,"14:13:52",4220,"bu",-20,-0.5,"D","LeTable"
"hose:2577",4200,5000,55900,"14:12:26",4220,"bu",-20,-0.5,"D","LeTable"
"hose:2577",4200,5000,50900,"14:11:16",4220,"bu",-20,-0.5,"D","LeTable"
"hose:2577",4180,300,45900,"14:09:56",4220,"sd",-40,-0.9,"D","LeTable"
"hose:2577",4180,200,45600,"13:55:18",4220,"sd",-40,-0.9,"D","LeTable"
"hose:2577",4190,100,45400,"13:50:53",4220,"sd",-30,-0.7,"D","LeTable"
"hose:2577",4190,200,45300,"13:50:53",4220,"sd",-30,-0.7,"D","LeTable"
"hose:2577",4260,200,45100,"13:43:09",4220,"bu",40,0.9,"U","LeTable"
"hose:2577",4200,1500,44900,"13:43:09",4220,"bu",-20,-0.5,"D","LeTable"
"hose:2577",4200,100,43400,"13:43:09",4220,"bu",-20,-0.5,"D","LeTable"
"hose:2577",4200,900,43300,"13:41:44",4220,"bu",-20,-0.5,"D","LeTable"
"hose:2577",4200,25000,42400,"13:40:49",4220,"bu",-20,-0.5,"D","LeTable"
"hose:2577",4200,300,17400,"13:39:30",4220,"sd",-20,-0.5,"D","LeTable"
"hose:2577",4200,100,17100,"13:39:30",4220,"sd",-20,-0.5,"D","LeTable"
"hose:2577",4200,100,17000,"13:39:30",4220,"sd",-20,-0.5,"D","LeTable"
"hose:2577",4200,500,16900,"13:39:30",4220,"sd",-20,-0.5,"D","LeTable"
"hose:2577",4200,300,16400,"13:39:30",4220,"sd",-20,-0.5,"D","LeTable"
"hose:2577",4200,500,16100,"13:39:30",4220,"sd",-20,-0.5,"D","LeTable"
"hose:2577",4200,700,15600,"13:39:30",4220,"sd",-20,-0.5,"D","LeTable"
"hose:2577",4210,200,14900,"13:34:45",4220,"sd",-10,-0.2,"D","LeTable"
"hose:2577",4220,1200,14700,"13:11:59",4220,"unknown",0,0,"R","LeTable"
"hose:2577",4220,100,13500,"13:11:59",4220,"unknown",0,0,"R","LeTable"
"hose:2577",4220,700,13400,"13:11:59",4220,"unknown",0,0,"R","LeTable"
"hose:2577",4220,3500,12700,"13:11:59",4220,"unknown",0,0,"R","LeTable"
"hose:2577",4230,100,9200,"13:11:59",4220,"unknown",10,0.2,"U","LeTable"
"hose:2577",4200,1300,9100,"13:11:59",4220,"sd",-20,-0.5,"D","LeTable"
"hose:2577",4220,100,7800,"13:11:59",4220,"sd",0,0,"R","LeTable"
"hose:2577",4220,1000,7700,"13:00:14",4220,"sd",0,0,"R","LeTable"
"hose:2577",4290,100,6700,"11:29:40",4220,"bu",70,1.7,"U","LeTable"
"hose:2577",4230,500,6600,"11:27:41",4220,"bu",10,0.2,"U","LeTable"
"hose:2577",4230,200,6100,"11:23:39",4220,"bu",10,0.2,"U","LeTable"
"hose:2577",4220,300,5900,"11:22:05",4220,"sd",0,0,"R","LeTable"
"hose:2577",4220,1400,5600,"11:19:28",4220,"sd",0,0,"R","LeTable"
"hose:2577",4220,1000,4200,"11:17:47",4220,"sd",0,0,"R","LeTable"
"hose:2577",4230,100,3200,"11:10:23",4220,"bu",10,0.2,"U","LeTable"
"hose:2577",4230,1000,3100,"11:10:23",4220,"unknown",10,0.2,"U","LeTable"
"hose:2577",4230,100,2100,"10:31:49",4220,"sd",10,0.2,"U","LeTable"
"hose:2577",4290,100,2000,"10:18:28",4220,"bu",70,1.7,"U","LeTable"
"hose:2577",4230,100,1900,"10:14:14",4220,"sd",10,0.2,"U","LeTable"
"hose:2577",4230,500,1800,"10:14:14",4220,"sd",10,0.2,"U","LeTable"
"hose:2577",4230,500,1300,"10:14:14",4220,"sd",10,0.2,"U","LeTable"
"hose:2577",4320,200,800,"09:42:56",4220,"bu",100,2.4,"U","LeTable"
"hose:2577",4310,100,600,"09:42:56",4220,"bu",90,2.1,"U","LeTable"
"hose:2577",4220,400,500,"09:39:37",4220,"sd",0,0,"R","LeTable"
"hose:2577",4330,100,100,"09:17:15",4220,"bu",110,2.6,"U","LeTable"
