"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:3494",8280,7100,791700,"14:45:02",8280,"unknown",0,0,"R","LeTable"
"hose:3494",8240,8800,784600,"14:29:29",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8240,100,775800,"14:29:29",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8240,1000,775700,"14:29:29",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8240,100,774700,"14:29:29",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8240,900,774600,"14:29:13",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8240,4100,773700,"14:29:13",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8240,2500,769600,"14:28:55",8280,"bu",-40,-0.5,"D","LeTable"
"hose:3494",8240,3400,767100,"14:28:55",8280,"bu",-40,-0.5,"D","LeTable"
"hose:3494",8240,500,763700,"14:28:45",8280,"bu",-40,-0.5,"D","LeTable"
"hose:3494",8240,1000,763200,"14:28:41",8280,"bu",-40,-0.5,"D","LeTable"
"hose:3494",8230,1900,762200,"14:28:26",8280,"bu",-50,-0.6,"D","LeTable"
"hose:3494",8230,200,760300,"14:28:16",8280,"bu",-50,-0.6,"D","LeTable"
"hose:3494",8230,200,760100,"14:28:06",8280,"sd",-50,-0.6,"D","LeTable"
"hose:3494",8230,1000,759900,"14:28:06",8280,"sd",-50,-0.6,"D","LeTable"
"hose:3494",8230,300,758900,"14:28:06",8280,"sd",-50,-0.6,"D","LeTable"
"hose:3494",8240,100,758600,"14:27:58",8280,"bu",-40,-0.5,"D","LeTable"
"hose:3494",8240,2000,758500,"14:27:58",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8240,1000,756500,"14:27:47",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8240,1000,755500,"14:27:47",8280,"sd",-40,-0.5,"D","LeTable"
"hose:3494",8250,500,754500,"14:27:23",8280,"bu",-30,-0.4,"D","LeTable"
"hose:3494",8250,2000,754000,"14:27:07",8280,"bu",-30,-0.4,"D","LeTable"
"hose:3494",8250,100,752000,"14:26:46",8280,"unknown",-30,-0.4,"D","LeTable"
"hose:3494",8250,5000,751900,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,100,746900,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,1000,746800,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,1200,745800,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,600,744600,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,1000,744000,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,300,743000,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,300,742700,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,1300,742400,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,500,741100,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,100,740600,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,1000,740500,"14:26:46",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,1700,739500,"14:25:35",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,200,737800,"14:25:35",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,100,737600,"14:25:05",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8270,100,737500,"14:25:02",8280,"bu",-10,-0.1,"D","LeTable"
"hose:3494",8270,1000,737400,"14:25:02",8280,"bu",-10,-0.1,"D","LeTable"
"hose:3494",8250,100,736400,"14:24:57",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8250,100,736300,"14:24:57",8280,"sd",-30,-0.4,"D","LeTable"
"hose:3494",8270,2000,736200,"14:24:25",8280,"sd",-10,-0.1,"D","LeTable"
"hose:3494",8260,200,734200,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,1600,734000,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,1500,732400,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,2000,730900,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,200,728900,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,100,728700,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,1000,728600,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,1000,727600,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,400,726600,"14:23:24",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,600,726200,"14:22:12",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8260,700,725600,"14:22:12",8280,"sd",-20,-0.2,"D","LeTable"
"hose:3494",8270,100,724900,"14:21:11",8280,"sd",-10,-0.1,"D","LeTable"
"hose:3494",8270,1000,724800,"14:21:11",8280,"sd",-10,-0.1,"D","LeTable"
"hose:3494",8280,500,723800,"14:20:34",8280,"bu",0,0,"R","LeTable"
"hose:3494",8280,11200,723300,"14:19:07",8280,"sd",0,0,"R","LeTable"
"hose:3494",8280,8800,712100,"14:19:01",8280,"sd",0,0,"R","LeTable"
"hose:3494",8280,4400,703300,"14:19:01",8280,"sd",0,0,"R","LeTable"
"hose:3494",8280,2700,698900,"14:19:01",8280,"sd",0,0,"R","LeTable"
"hose:3494",8280,4100,696200,"14:19:01",8280,"sd",0,0,"R","LeTable"
"hose:3494",8280,16400,692100,"14:18:30",8280,"sd",0,0,"R","LeTable"
"hose:3494",8280,1300,675700,"14:18:30",8280,"sd",0,0,"R","LeTable"
"hose:3494",8280,1500,674400,"14:18:30",8280,"sd",0,0,"R","LeTable"
"hose:3494",8280,1600,672900,"14:18:30",8280,"sd",0,0,"R","LeTable"
