"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:436",25000,1665500,9803400,"14:44:59",24450,"unknown",550,2.2,"U","LeTable"
"hose:436",24900,100,8137900,"14:29:57",24450,"sd",450,1.8,"U","LeTable"
"hose:436",25000,1700,8137800,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,300,8136100,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,200,8135800,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,500,8135600,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,8135100,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,8135000,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,8134900,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,8134800,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,8134700,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,400,8134600,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,6000,8134200,"14:29:56",24450,"bu",550,2.2,"U","LeTable"
"hose:436",24950,2000,8128200,"14:29:56",24450,"bu",500,2,"U","LeTable"
"hose:436",24950,10000,8126200,"14:29:56",24450,"bu",500,2,"U","LeTable"
"hose:436",24950,300,8116200,"14:29:56",24450,"bu",500,2,"U","LeTable"
"hose:436",24950,100,8115900,"14:29:56",24450,"bu",500,2,"U","LeTable"
"hose:436",24900,1000,8115800,"14:29:56",24450,"sd",450,1.8,"U","LeTable"
"hose:436",24900,300,8114800,"14:29:51",24450,"sd",450,1.8,"U","LeTable"
"hose:436",24900,300,8114500,"14:29:51",24450,"sd",450,1.8,"U","LeTable"
"hose:436",24900,200,8114200,"14:29:49",24450,"sd",450,1.8,"U","LeTable"
"hose:436",24900,200,8114000,"14:29:48",24450,"sd",450,1.8,"U","LeTable"
"hose:436",25000,4000,8113800,"14:29:48",24450,"bu",550,2.2,"U","LeTable"
"hose:436",24950,400,8109800,"14:29:45",24450,"sd",500,2,"U","LeTable"
"hose:436",24950,100,8109400,"14:29:42",24450,"sd",500,2,"U","LeTable"
"hose:436",24900,500,8109300,"14:29:40",24450,"sd",450,1.8,"U","LeTable"
"hose:436",24900,500,8108800,"14:29:39",24450,"bu",450,1.8,"U","LeTable"
"hose:436",25000,10000,8108300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,1000,8098300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,1000,8097300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,26100,8096300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,1500,8070200,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,8068700,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,11000,8068600,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,500,8057600,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,8057100,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,200,8057000,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,12300,8056800,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,1600,8044500,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,2000,8042900,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,1500,8040900,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,8039400,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,500,8039300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,7500,8038800,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,1200,8031300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,3500,8030100,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,900,8026600,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,3800,8025700,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,1600,8021900,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,2100,8020300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,1000,8018200,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,300,8017200,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,500,8016900,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,65400,8016400,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,3100,7951000,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,10000,7947900,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,100,7937900,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,13000,7937800,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,2000,7924800,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,500,7922800,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,57000,7922300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",25000,10200,7865300,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",24950,10500,7855100,"14:29:38",24450,"bu",500,2,"U","LeTable"
"hose:436",24900,2000,7844600,"14:29:38",24450,"bu",450,1.8,"U","LeTable"
"hose:436",25000,5000,7842600,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",24950,100,7837600,"14:29:38",24450,"bu",500,2,"U","LeTable"
"hose:436",25000,100,7837500,"14:29:38",24450,"bu",550,2.2,"U","LeTable"
"hose:436",24900,200,7837400,"14:29:38",24450,"bu",450,1.8,"U","LeTable"
"hose:436",24950,200,7837200,"14:29:38",24450,"bu",500,2,"U","LeTable"
"hose:436",24950,1200,7837000,"14:29:38",24450,"bu",500,2,"U","LeTable"
