"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:656",55900,802200,5612500,"14:45:01",52300,"unknown",3600,6.9,"C","LeTable"
"hose:656",55200,1000,4810300,"14:29:56",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,2100,4809300,"14:29:53",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55100,3000,4807200,"14:29:53",52300,"sd",2800,5.4,"U","LeTable"
"hose:656",55200,1000,4804200,"14:29:49",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,4900,4803200,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,100,4798300,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,100,4798200,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,200,4798100,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,200,4797900,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,200,4797700,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,2000,4797500,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,500,4795500,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,500,4795000,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,100,4794500,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,5000,4794400,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,500,4789400,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,100,4788900,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,700,4788800,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,1600,4788100,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,3300,4786500,"14:29:47",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,1700,4783200,"14:29:46",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,300,4781500,"14:29:46",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,100,4781200,"14:29:45",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,200,4781100,"14:29:45",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,1500,4780900,"14:29:44",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,1700,4779400,"14:29:41",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,300,4777700,"14:29:41",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,1100,4777400,"14:29:35",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55200,100,4776300,"14:29:35",52300,"bu",2900,5.5,"U","LeTable"
"hose:656",55100,200,4776200,"14:29:30",52300,"sd",2800,5.4,"U","LeTable"
"hose:656",55100,100,4776000,"14:29:29",52300,"sd",2800,5.4,"U","LeTable"
"hose:656",55100,500,4775900,"14:29:26",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,200,4775400,"14:29:26",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,500,4775200,"14:29:26",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,1000,4774700,"14:29:26",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,500,4773700,"14:29:26",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,100,4773200,"14:29:24",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55000,1000,4773100,"14:29:22",52300,"sd",2700,5.2,"U","LeTable"
"hose:656",55000,700,4772100,"14:29:19",52300,"sd",2700,5.2,"U","LeTable"
"hose:656",55000,100,4771400,"14:29:19",52300,"sd",2700,5.2,"U","LeTable"
"hose:656",55000,200,4771300,"14:29:19",52300,"sd",2700,5.2,"U","LeTable"
"hose:656",55100,400,4771100,"14:29:15",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,500,4770700,"14:29:15",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,100,4770200,"14:29:15",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,300,4770100,"14:29:15",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,100,4769800,"14:29:15",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,600,4769700,"14:29:15",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,100,4769100,"14:29:13",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55000,800,4769000,"14:29:06",52300,"sd",2700,5.2,"U","LeTable"
"hose:656",55000,200,4768200,"14:29:06",52300,"sd",2700,5.2,"U","LeTable"
"hose:656",55100,300,4768000,"14:28:59",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,2000,4767700,"14:28:59",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,1000,4765700,"14:28:59",52300,"bu",2800,5.4,"U","LeTable"
"hose:656",55100,100,4764700,"14:28:59",52300,"bu",2800,5.4,"U","LeTable"
