"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"upcom:77019",10100,100,786400,"14:56:52",10100,"bu",0,0,"R","LeTable"
"upcom:77019",10000,500,786300,"14:52:50",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,575200,785800,"14:45:13",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,900,785800,"14:45:14",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,400,784900,"14:44:48",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,2800,784500,"14:36:51",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10100,100,781700,"14:36:13",10100,"bu",0,0,"R","LeTable"
"upcom:77019",10000,200,781600,"14:27:12",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,7000,781400,"14:25:05",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,500,774400,"14:24:32",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,200,773900,"14:23:18",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,10000,773700,"14:22:45",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,763700,"14:21:34",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,762700,"14:21:18",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,1300,761700,"14:20:07",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,760400,"14:19:39",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,500,759400,"14:19:10",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,300,758900,"14:18:35",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,400,758600,"14:18:26",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,2000,758200,"14:17:31",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,15100,756200,"14:16:11",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,32300,741100,"14:15:41",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,10000,708800,"14:14:59",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,200,698800,"14:14:55",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,3000,698600,"14:14:50",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,695600,"14:13:36",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,500,694600,"14:12:30",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,694100,"14:11:44",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,20000,693100,"14:09:23",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,3500,673100,"14:08:22",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10100,10000,669600,"14:08:05",10100,"bu",0,0,"R","LeTable"
"upcom:77019",10100,100,659600,"14:07:00",10100,"bu",0,0,"R","LeTable"
"upcom:77019",10000,100,659500,"14:06:55",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,10000,659400,"14:05:07",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,8100,649400,"14:01:59",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,100,641300,"14:01:45",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,300,641200,"14:01:03",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10000,100,640900,"13:54:39",10100,"sd",-100,-1,"D","LeTable"
"upcom:77019",10100,1000,640800,"13:51:00",10100,"bu",0,0,"R","LeTable"
"upcom:77019",10100,100,639800,"13:45:20",10100,"bu",0,0,"R","LeTable"
"upcom:77019",10100,8000,639700,"13:44:21",10100,"bu",0,0,"R","LeTable"
"upcom:77019",10100,43000,631700,"13:39:45",10100,"bu",0,0,"R","LeTable"
"upcom:77019",10000,1000,588700,"13:39:27",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,10000,587700,"13:39:14",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,2000,577700,"13:38:26",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,5000,575700,"13:38:13",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,500,570700,"13:37:46",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,300,570200,"13:37:44",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,1500,569900,"13:37:43",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,2500,568400,"13:37:25",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,4000,565900,"13:37:09",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,20000,561900,"13:36:44",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,10000,541900,"13:36:19",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,500,531900,"13:35:36",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,10000,531400,"13:33:54",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,500,521400,"13:33:29",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,600,520900,"13:33:02",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,1100,520300,"13:32:20",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,519200,"13:31:58",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,518200,"13:31:13",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,900,517200,"13:31:05",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,516300,"13:30:55",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,100,515300,"13:30:43",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,3400,515200,"13:30:34",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,511800,"13:30:12",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,1000,510800,"13:29:36",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,100,509800,"13:29:17",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,100,509700,"13:28:37",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,100,509600,"13:28:34",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,3000,509500,"13:28:24",10100,"bu",-100,-1,"D","LeTable"
"upcom:77019",10000,1400,506500,"13:28:11",10100,"bu",-100,-1,"D","LeTable"
