"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"upcom:75019",36600,100,128500,"14:59:53",36600,"bu",0,0,"R","LeTable"
"upcom:75019",36500,1500,128400,"14:59:07",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,300,126900,"14:49:41",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36400,4900,126600,"14:32:37",36600,"sd",-200,-0.5,"D","LeTable"
"upcom:75019",36400,3000,121700,"14:27:40",36600,"sd",-200,-0.5,"D","LeTable"
"upcom:75019",36400,500,118700,"14:26:28",36600,"sd",-200,-0.5,"D","LeTable"
"upcom:75019",36500,2000,118200,"14:26:27",36600,"bu",-100,-0.3,"D","LeTable"
"upcom:75019",36400,2000,116200,"14:24:06",36600,"bu",-200,-0.5,"D","LeTable"
"upcom:75019",36400,3000,114200,"14:23:00",36600,"sd",-200,-0.5,"D","LeTable"
"upcom:75019",36400,7000,111200,"14:19:15",36600,"bu",-200,-0.5,"D","LeTable"
"upcom:75019",36400,300,104200,"14:19:01",36600,"sd",-200,-0.5,"D","LeTable"
"upcom:75019",36400,5000,103900,"14:18:59",36600,"sd",-200,-0.5,"D","LeTable"
"upcom:75019",36400,1000,98900,"14:18:39",36600,"sd",-200,-0.5,"D","LeTable"
"upcom:75019",36500,1400,97900,"14:17:27",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,10000,96500,"14:17:16",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,1500,86500,"14:13:45",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,13000,85000,"14:13:12",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,2000,72000,"14:10:29",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36600,100,70000,"14:10:15",36600,"bu",0,0,"R","LeTable"
"upcom:75019",36500,1400,69900,"14:02:43",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,2300,68500,"14:01:57",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,2000,66200,"13:56:14",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,5000,64200,"13:55:04",36600,"sd",-100,-0.3,"D","LeTable"
"upcom:75019",36500,3000,59200,"13:53:31",36600,"bu",-100,-0.3,"D","LeTable"
