"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:1604",3310,3100,461700,"14:45:00",3360,"unknown",-50,-1.5,"D","LeTable"
"hose:1604",3310,500,458600,"14:29:30",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,100,458100,"14:29:27",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,200,458000,"14:29:27",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,300,457800,"14:29:27",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,100,457500,"14:29:27",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3320,100,457400,"14:29:23",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3310,2000,457300,"14:26:45",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,1000,455300,"14:25:59",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3290,2000,454300,"14:22:38",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3280,1100,452300,"14:21:54",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3290,500,451200,"14:21:54",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3300,300,450700,"14:21:54",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3280,3100,450400,"14:16:17",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3290,100,447300,"14:16:17",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,100,447200,"14:16:17",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,4200,447100,"14:16:17",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,800,442900,"14:16:17",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,100,442100,"14:16:17",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,2400,442000,"14:16:17",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3300,5000,439600,"14:16:17",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,800,434600,"14:16:17",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,600,433800,"14:16:17",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,1000,433200,"14:16:17",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,400,432200,"14:16:17",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,300,431800,"14:16:17",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,431500,"14:16:17",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,2300,431300,"14:16:17",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3310,400,429000,"14:16:17",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,300,428600,"14:16:17",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,2000,428300,"14:15:46",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,200,426300,"14:14:56",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,1800,426100,"14:14:56",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3320,500,424300,"14:14:15",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,1000,423800,"14:08:03",3360,"sd",-40,-1.2,"D","LeTable"
"hose:1604",3310,200,422800,"14:07:46",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,100,422600,"14:07:46",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,1000,422500,"14:07:46",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3310,1700,421500,"14:07:46",3360,"sd",-50,-1.5,"D","LeTable"
"hose:1604",3320,100,419800,"14:03:34",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,1000,419700,"14:03:29",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,100,418700,"13:59:07",3360,"sd",-40,-1.2,"D","LeTable"
"hose:1604",3320,1000,418600,"13:59:07",3360,"sd",-40,-1.2,"D","LeTable"
"hose:1604",3320,300,417600,"13:59:07",3360,"sd",-40,-1.2,"D","LeTable"
"hose:1604",3330,500,417300,"13:59:07",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3330,500,416800,"13:58:46",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3330,400,416300,"13:58:46",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3330,600,415900,"13:57:28",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3330,400,415300,"13:57:28",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3340,300,414900,"13:55:45",3360,"bu",-20,-0.6,"D","LeTable"
"hose:1604",3330,1000,414600,"13:55:39",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3330,1800,413600,"13:54:44",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3330,2000,411800,"13:53:23",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3330,5800,409800,"13:47:57",3360,"sd",-30,-0.9,"D","LeTable"
"hose:1604",3330,8100,404000,"13:42:59",3360,"bu",-30,-0.9,"D","LeTable"
"hose:1604",3330,16900,395900,"13:42:59",3360,"bu",-30,-0.9,"D","LeTable"
"hose:1604",3320,4000,379000,"13:42:59",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,10000,375000,"13:42:54",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,1000,365000,"13:42:30",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,300,364000,"13:41:42",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,100,363700,"13:36:20",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,100,363600,"13:36:14",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3320,100,363500,"13:35:52",3360,"bu",-40,-1.2,"D","LeTable"
"hose:1604",3310,300,363400,"13:29:14",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3300,100,363100,"13:27:53",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,363000,"13:24:39",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,362800,"13:19:29",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,4600,362700,"13:18:28",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,1500,358100,"13:18:27",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,5000,356600,"13:17:15",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,351600,"13:17:09",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,2500,351400,"13:16:49",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,1000,348900,"13:15:13",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,1000,347900,"13:15:13",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,1600,346900,"13:08:40",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,345300,"13:08:18",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,345200,"13:08:12",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,345100,"13:07:31",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3290,400,344900,"13:03:55",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,2800,344500,"13:03:29",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,100,341700,"13:03:20",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,2000,341600,"13:02:41",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,100,339600,"13:02:41",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,300,339500,"13:02:41",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,700,339200,"13:01:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,500,338500,"13:01:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,600,338000,"13:01:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,1000,337400,"13:01:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,100,336400,"13:01:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,2000,336300,"13:01:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,300,334300,"13:01:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,400,334000,"13:01:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,600,333600,"13:00:13",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,200,333000,"13:00:13",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,5800,332800,"11:25:25",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,300,327000,"11:24:29",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,100,326700,"11:24:29",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,500,326600,"11:24:29",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,3800,326100,"11:24:29",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,300,322300,"11:24:29",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,4200,322000,"11:24:29",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3300,500,317800,"11:21:29",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,500,317300,"11:21:29",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3290,5800,316800,"11:08:31",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,3200,311000,"11:06:58",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3280,1800,307800,"11:06:34",3360,"bu",-80,-2.4,"D","LeTable"
"hose:1604",3280,100,306000,"11:06:12",3360,"bu",-80,-2.4,"D","LeTable"
"hose:1604",3280,100,305900,"11:05:28",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3280,500,305800,"11:05:28",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3280,500,305300,"11:05:28",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3280,2000,304800,"11:05:28",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3280,3000,302800,"11:05:19",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3280,200,299800,"11:05:19",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3280,100,299600,"11:05:19",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3280,100,299500,"11:04:15",3360,"sd",-80,-2.4,"D","LeTable"
"hose:1604",3290,100,299400,"11:03:43",3360,"bu",-70,-2.1,"D","LeTable"
"hose:1604",3290,500,299300,"11:03:05",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,100,298800,"11:03:05",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,1000,298700,"11:03:05",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,5000,297700,"11:02:53",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,2000,292700,"11:02:44",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,3000,290700,"11:02:44",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,2000,287700,"11:02:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,3000,285700,"11:02:34",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,2000,282700,"11:02:13",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,200,280700,"11:02:13",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,2800,280500,"11:02:13",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,2000,277700,"11:02:05",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3290,100,275700,"11:02:05",3360,"sd",-70,-2.1,"D","LeTable"
"hose:1604",3300,100,275600,"10:59:24",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,1000,275500,"10:58:37",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,274500,"10:58:19",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,1500,274300,"10:58:19",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,300,272800,"10:58:19",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,1000,272500,"10:58:19",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,300,271500,"10:58:19",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,271200,"10:58:19",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,400,271000,"10:58:19",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,300,270600,"10:57:34",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,2000,270300,"10:56:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,600,268300,"10:55:01",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,267700,"10:54:55",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,800,267600,"10:54:43",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,300,266800,"10:53:57",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,266500,"10:53:45",3360,"bu",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,266300,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,2000,266200,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,12500,264200,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,251700,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,251500,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,251400,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,1000,251300,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,300,250300,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,1700,250000,"10:53:15",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3310,800,248300,"10:53:08",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,1000,247500,"10:52:08",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,1200,246500,"10:52:02",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,800,245300,"10:52:02",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,1000,244500,"10:46:19",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,3000,243500,"10:46:04",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,2000,240500,"10:39:26",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3300,2000,238500,"10:37:29",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3310,1300,236500,"10:35:31",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,1900,235200,"10:35:01",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,8100,233300,"10:35:01",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3300,1300,225200,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,223900,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,223700,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,200,223500,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,2000,223300,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,221300,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,2000,221200,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,219200,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3300,100,219100,"10:34:35",3360,"sd",-60,-1.8,"D","LeTable"
"hose:1604",3310,100,219000,"10:32:23",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,1000,218900,"10:32:08",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,100,217900,"10:29:54",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,700,217800,"10:28:51",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,300,217100,"10:28:51",3360,"bu",-50,-1.5,"D","LeTable"
"hose:1604",3310,100,216800,"10:27:59",3360,"bu",-50,-1.5,"D","LeTable"
