"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:580",31400,443900,6951700,"14:44:59",31500,"unknown",-100,-0.3,"D","LeTable"
"hose:580",31300,800,6507800,"14:29:58",31500,"bu",-200,-0.6,"D","LeTable"
"hose:580",31300,1700,6507000,"14:29:57",31500,"bu",-200,-0.6,"D","LeTable"
"hose:580",31300,300,6505300,"14:29:57",31500,"bu",-200,-0.6,"D","LeTable"
"hose:580",31350,5900,6505000,"14:29:53",31500,"bu",-150,-0.5,"D","LeTable"
"hose:580",31300,200,6499100,"14:29:53",31500,"bu",-200,-0.6,"D","LeTable"
"hose:580",31300,1200,6498900,"14:29:53",31500,"bu",-200,-0.6,"D","LeTable"
"hose:580",31300,1000,6497700,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,2500,6496700,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,5000,6494200,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,100,6489200,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,200,6489100,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,2500,6488900,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,1500,6486400,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,500,6484900,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,500,6484400,"14:29:44",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,1000,6483900,"14:29:42",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,200,6482900,"14:29:41",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,500,6482700,"14:29:38",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,800,6482200,"14:29:37",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,100,6481400,"14:29:37",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,100,6481300,"14:29:37",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31300,500,6481200,"14:29:24",31500,"sd",-200,-0.6,"D","LeTable"
"hose:580",31350,100,6480700,"14:29:20",31500,"bu",-150,-0.5,"D","LeTable"
"hose:580",31300,2400,6480600,"14:29:16",31500,"sd",-200,-0.6,"D","LeTable"
