"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hnx:1201",13000,51100,574500,"14:45:01",13200,"bu",-200,-1.5,"D","LeTable"
"hnx:1201",12900,500,523400,"14:29:36",13200,"unknown",-300,-2.3,"D","LeTable"
"hnx:1201",12900,1000,522900,"14:29:26",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,1000,521900,"14:29:24",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,500,520900,"14:28:31",13200,"unknown",-300,-2.3,"D","LeTable"
"hnx:1201",12900,1000,520400,"14:28:13",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,800,519400,"14:27:50",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,518600,"14:27:40",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,518500,"14:26:54",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,900,518400,"14:25:37",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,4200,517500,"14:24:42",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,800,513300,"14:23:02",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,512500,"14:21:43",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,1000,512300,"14:21:36",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,300,511300,"14:19:43",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,511000,"14:19:41",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,300,510900,"14:19:28",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,510600,"14:19:22",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,300,510500,"14:19:00",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,510200,"14:17:48",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,510000,"14:17:18",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12800,5000,509800,"14:16:50",13200,"sd",-400,-3,"D","LeTable"
"hnx:1201",12900,300,504800,"14:16:26",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",13000,100,504500,"14:15:22",13200,"bu",-200,-1.5,"D","LeTable"
"hnx:1201",12900,200,504400,"14:14:10",13200,"unknown",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,504200,"14:13:27",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,300,504000,"14:12:27",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,503700,"14:12:26",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12800,400,503500,"14:11:30",13200,"sd",-400,-3,"D","LeTable"
"hnx:1201",12900,800,503100,"14:10:50",13200,"unknown",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,502300,"14:09:31",13200,"unknown",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,502200,"14:09:06",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,1000,502100,"14:09:05",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,501100,"14:08:10",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,500900,"14:07:58",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,500700,"14:07:28",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,500600,"14:07:16",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,1300,500500,"14:05:46",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,499200,"14:01:50",13200,"unknown",-300,-2.3,"D","LeTable"
"hnx:1201",12800,3300,499100,"13:59:03",13200,"sd",-400,-3,"D","LeTable"
"hnx:1201",12900,100,495800,"13:58:34",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,6400,495700,"13:58:23",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",13000,1000,489300,"13:58:22",13200,"bu",-200,-1.5,"D","LeTable"
"hnx:1201",13000,1700,488300,"13:58:21",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,1200,486600,"13:58:16",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,4000,485400,"13:58:08",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,500,481400,"13:57:20",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,300,480900,"13:57:19",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,600,480600,"13:57:13",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,1000,480000,"13:57:01",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,500,479000,"13:56:27",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,3000,478500,"13:56:26",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13100,1400,475500,"13:51:36",13200,"bu",-100,-0.8,"D","LeTable"
"hnx:1201",13100,400,474100,"13:50:42",13200,"bu",-100,-0.8,"D","LeTable"
"hnx:1201",13100,100,473700,"13:45:46",13200,"bu",-100,-0.8,"D","LeTable"
"hnx:1201",13000,100,473600,"13:45:28",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,500,473500,"13:45:07",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,2000,473000,"13:44:06",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,4500,471000,"13:43:57",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,100,466500,"13:42:56",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13100,200,466400,"13:42:26",13200,"unknown",-100,-0.8,"D","LeTable"
"hnx:1201",13100,2000,466200,"13:42:11",13200,"bu",-100,-0.8,"D","LeTable"
"hnx:1201",13000,3300,464200,"13:41:06",13200,"sd",-200,-1.5,"D","LeTable"
"hnx:1201",13000,400,460900,"13:40:32",13200,"bu",-200,-1.5,"D","LeTable"
"hnx:1201",13000,2000,460500,"13:39:57",13200,"bu",-200,-1.5,"D","LeTable"
"hnx:1201",12900,400,458500,"13:38:37",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,458100,"13:38:06",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,400,457900,"13:36:59",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,2000,457500,"13:36:35",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,200,455500,"13:36:29",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,455300,"13:36:07",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,1600,455200,"13:35:21",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,500,453600,"13:34:35",13200,"bu",-300,-2.3,"D","LeTable"
"hnx:1201",12900,400,453100,"13:33:44",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,100,452700,"13:32:47",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,300,452600,"13:31:56",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,1000,452300,"13:31:26",13200,"sd",-300,-2.3,"D","LeTable"
"hnx:1201",12900,3600,451300,"13:31:21",13200,"sd",-300,-2.3,"D","LeTable"
