"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hnx:79422",18000,49000,347100,"14:46:32",18000,"sd",0,0,"R","LeTable"
"hnx:79422",18000,5100,298100,"14:45:01",18000,"unknown",0,0,"R","LeTable"
"hnx:79422",18100,100,293000,"14:28:50",18000,"unknown",100,0.6,"U","LeTable"
"hnx:79422",18100,1000,292900,"14:27:38",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,200,291900,"14:22:45",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,500,291700,"14:17:15",18000,"unknown",100,0.6,"U","LeTable"
"hnx:79422",18100,200,291200,"14:16:29",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,1000,291000,"14:14:15",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,300,290000,"14:11:12",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,600,289700,"14:10:58",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,400,289100,"14:08:50",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,300,288700,"14:07:30",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,3000,288400,"14:01:51",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,5900,285400,"14:01:30",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,16900,279500,"14:01:17",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,20000,262600,"14:01:08",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,900,242600,"14:00:57",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,100,241700,"13:56:32",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18100,600,241600,"13:53:25",18000,"unknown",100,0.6,"U","LeTable"
"hnx:79422",18000,600,241000,"13:53:09",18000,"sd",0,0,"R","LeTable"
"hnx:79422",18000,1000,240400,"13:48:19",18000,"sd",0,0,"R","LeTable"
"hnx:79422",18100,400,239400,"13:47:39",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18100,100,239000,"13:39:11",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18100,100,238900,"13:39:05",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18000,100,238800,"13:39:03",18000,"sd",0,0,"R","LeTable"
"hnx:79422",18100,100,238700,"13:38:14",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,1000,238600,"13:29:04",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,3900,237600,"13:27:51",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18100,500,233700,"11:08:28",18000,"unknown",100,0.6,"U","LeTable"
"hnx:79422",18100,100,233200,"11:07:16",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,2500,233100,"11:03:13",18000,"unknown",100,0.6,"U","LeTable"
"hnx:79422",18100,1200,230600,"10:59:14",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,1500,229400,"10:58:57",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,10000,227900,"10:57:48",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,55000,217900,"10:57:13",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,30000,162900,"10:56:51",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,1800,132900,"10:56:33",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,300,131100,"10:54:38",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18100,2000,130800,"10:54:11",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,5000,128800,"10:50:32",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,1000,123800,"10:49:48",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,2000,122800,"10:47:50",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,700,120800,"10:23:16",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,5000,120100,"10:19:35",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,400,115100,"09:28:43",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,2000,114700,"09:25:56",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18100,300,112700,"09:24:05",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18000,1000,112400,"09:23:23",18000,"sd",0,0,"R","LeTable"
"hnx:79422",18100,27300,111400,"09:23:17",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,20000,84100,"09:22:54",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,28000,64100,"09:22:43",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,30000,36100,"09:22:35",18000,"sd",100,0.6,"U","LeTable"
"hnx:79422",18100,3100,6100,"09:08:24",18000,"bu",100,0.6,"U","LeTable"
"hnx:79422",18000,3000,3000,"09:00:04",18000,"sd",0,0,"R","LeTable"
