"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hnx:7884",7500,40000,179100,"14:45:02",7600,"sd",-100,-1.3,"D","LeTable"
"hnx:7884",7500,700,139100,"14:45:01",7600,"sd",-100,-1.3,"D","LeTable"
"hnx:7884",7500,200,138400,"14:28:32",7600,"sd",-100,-1.3,"D","LeTable"
"hnx:7884",7500,300,138200,"14:21:21",7600,"sd",-100,-1.3,"D","LeTable"
"hnx:7884",7600,2000,137900,"14:20:36",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,135900,"14:16:44",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,2800,135800,"14:08:27",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,1000,133000,"14:08:12",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,2000,132000,"14:07:52",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,2000,130000,"14:07:18",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,700,128000,"14:04:36",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,100,127300,"14:03:50",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,600,127200,"14:01:59",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,126600,"14:01:45",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,126500,"14:00:48",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,1300,126400,"13:56:53",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,20000,125100,"13:54:20",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7500,4900,105100,"13:54:00",7600,"sd",-100,-1.3,"D","LeTable"
"hnx:7884",7500,200,100200,"13:53:21",7600,"sd",-100,-1.3,"D","LeTable"
"hnx:7884",7600,1000,100000,"13:46:13",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,200,99000,"13:46:09",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,300,98800,"13:38:30",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,98500,"13:38:17",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,200,98400,"13:31:10",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7500,100,98200,"13:31:07",7600,"sd",-100,-1.3,"D","LeTable"
"hnx:7884",7600,200,98100,"13:30:26",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,97900,"13:29:51",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7500,30000,97800,"13:22:55",7600,"sd",-100,-1.3,"D","LeTable"
"hnx:7884",7600,1000,67800,"13:21:02",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,66800,"13:10:04",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,300,66700,"13:02:01",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,1100,66400,"13:01:21",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,100,65300,"13:00:05",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,5600,65200,"13:00:04",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,1300,59600,"11:24:25",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,200,58300,"11:03:38",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,1000,58100,"10:54:34",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,10000,57100,"10:54:10",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,400,47100,"10:33:24",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,46700,"10:33:04",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,500,46600,"10:31:44",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,2000,46100,"10:31:20",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,2000,44100,"10:28:22",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,1200,42100,"10:25:03",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,100,40900,"10:24:48",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,600,40800,"10:24:11",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,40200,"10:13:33",7600,"unknown",0,0,"R","LeTable"
"hnx:7884",7600,500,40100,"10:13:09",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,100,39600,"10:13:03",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,1400,39500,"10:10:58",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,1000,38100,"10:02:43",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,200,37100,"10:01:30",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,100,36900,"09:59:02",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,1300,36800,"09:58:47",7600,"bu",0,0,"R","LeTable"
"hnx:7884",7600,30000,35500,"09:57:46",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,100,5500,"09:54:56",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,300,5400,"09:26:21",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,1000,5100,"09:19:22",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7600,2000,4100,"09:18:45",7600,"sd",0,0,"R","LeTable"
"hnx:7884",7700,100,2100,"09:17:43",7600,"bu",100,1.3,"U","LeTable"
"hnx:7884",7600,2000,2000,"09:03:11",7600,"sd",0,0,"R","LeTable"
