"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:59",36500,2400,43800,"14:45:02",36500,"unknown",0,0,"R","LeTable"
"hose:59",36500,900,41400,"14:26:08",36500,"sd",0,0,"R","LeTable"
"hose:59",36500,100,40500,"14:26:08",36500,"sd",0,0,"R","LeTable"
"hose:59",36600,300,40400,"14:25:45",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,200,40100,"14:25:17",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,1000,39900,"14:24:29",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,2000,38900,"14:23:25",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,100,36900,"14:22:43",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,200,36800,"14:22:34",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,100,36600,"14:20:19",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,500,36500,"14:20:19",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,100,36000,"14:20:18",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,100,35900,"14:15:23",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36450,200,35800,"14:12:46",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,35600,"14:12:46",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,35500,"14:12:46",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36500,100,35400,"14:08:20",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,100,35300,"14:04:44",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,200,35200,"14:04:44",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,100,35000,"13:41:44",36500,"sd",0,0,"R","LeTable"
"hose:59",36500,100,34900,"13:39:54",36500,"sd",0,0,"R","LeTable"
"hose:59",36500,200,34800,"13:37:30",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,100,34600,"13:35:02",36500,"sd",0,0,"R","LeTable"
"hose:59",36500,100,34500,"13:28:30",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,500,34400,"13:28:30",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,1500,33900,"13:28:30",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,800,32400,"13:28:30",36500,"bu",0,0,"R","LeTable"
"hose:59",36450,100,31600,"13:25:14",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,2000,31500,"13:25:14",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,1500,29500,"13:21:51",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,500,28000,"13:16:52",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,27500,"13:16:52",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,400,27400,"13:16:52",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,27000,"13:14:28",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,26900,"13:14:28",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,26800,"13:14:28",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,26700,"13:14:28",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,26600,"13:14:28",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,400,26500,"13:12:55",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,500,26100,"11:10:31",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36400,200,25600,"10:56:51",36500,"sd",-100,-0.3,"D","LeTable"
"hose:59",36450,300,25400,"10:52:27",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,1200,25100,"10:49:10",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36450,100,23900,"10:49:07",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36450,200,23800,"10:44:58",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36450,1000,23600,"10:44:27",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,1000,22600,"10:44:27",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,500,21600,"10:44:27",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,200,21100,"10:44:27",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36500,3000,20900,"10:43:52",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,100,17900,"10:43:19",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,2700,17800,"10:41:49",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,300,15100,"10:40:09",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,300,14800,"10:40:09",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,100,14500,"10:39:27",36500,"bu",0,0,"R","LeTable"
"hose:59",36450,800,14400,"10:29:35",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36450,100,13600,"10:29:24",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36450,100,13500,"10:28:34",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36450,2000,13400,"10:28:13",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36500,500,11400,"10:27:52",36500,"bu",0,0,"R","LeTable"
"hose:59",36450,200,10900,"10:26:49",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36450,100,10700,"10:26:16",36500,"bu",-50,-0.1,"D","LeTable"
"hose:59",36450,100,10600,"10:25:55",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,200,10500,"10:25:55",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,300,10300,"10:24:21",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,100,10000,"10:24:21",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,600,9900,"10:24:21",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36450,1000,9300,"10:24:21",36500,"sd",-50,-0.1,"D","LeTable"
"hose:59",36500,200,8300,"10:23:12",36500,"sd",0,0,"R","LeTable"
"hose:59",36500,500,8100,"10:19:51",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,1300,7600,"10:19:51",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,700,6300,"10:09:31",36500,"sd",0,0,"R","LeTable"
"hose:59",36500,300,5600,"10:09:13",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,100,5300,"10:08:08",36500,"sd",0,0,"R","LeTable"
"hose:59",36500,700,5200,"10:05:59",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,300,4500,"10:05:21",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,400,4200,"10:05:21",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,600,3800,"10:03:38",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,500,3200,"10:03:38",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,900,2700,"10:03:38",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,200,1800,"09:56:29",36500,"sd",0,0,"R","LeTable"
"hose:59",36500,400,1600,"09:56:29",36500,"sd",0,0,"R","LeTable"
"hose:59",36600,100,1200,"09:40:58",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,200,1100,"09:38:41",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36600,100,900,"09:37:42",36500,"bu",100,0.3,"U","LeTable"
"hose:59",36550,100,800,"09:35:34",36500,"bu",50,0.1,"U","LeTable"
"hose:59",36500,100,700,"09:28:50",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,300,600,"09:26:48",36500,"bu",0,0,"R","LeTable"
"hose:59",36500,300,300,"09:26:48",36500,"bu",0,0,"R","LeTable"
