"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:4402",92400,7000,228200,"14:44:59",91900,"unknown",500,0.5,"U","LeTable"
"hose:4402",92300,1000,221200,"14:29:56",91900,"bu",400,0.4,"U","LeTable"
"hose:4402",92300,30300,220200,"14:29:56",91900,"bu",400,0.4,"U","LeTable"
"hose:4402",92200,100,189900,"14:29:56",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,200,189800,"14:29:56",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92000,5000,189600,"14:28:30",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92200,200,184600,"14:28:20",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92200,5000,184400,"14:28:07",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92300,1000,179400,"14:27:41",91900,"bu",400,0.4,"U","LeTable"
"hose:4402",92300,400,178400,"14:27:40",91900,"sd",400,0.4,"U","LeTable"
"hose:4402",92300,300,178000,"14:27:40",91900,"sd",400,0.4,"U","LeTable"
"hose:4402",92300,100,177700,"14:27:32",91900,"sd",400,0.4,"U","LeTable"
"hose:4402",92400,500,177600,"14:27:32",91900,"bu",500,0.5,"U","LeTable"
"hose:4402",92400,500,177100,"14:27:19",91900,"bu",500,0.5,"U","LeTable"
"hose:4402",92400,500,176600,"14:27:10",91900,"bu",500,0.5,"U","LeTable"
"hose:4402",92400,200,176100,"14:27:07",91900,"bu",500,0.5,"U","LeTable"
"hose:4402",92300,200,175900,"14:26:26",91900,"bu",400,0.4,"U","LeTable"
"hose:4402",92300,500,175700,"14:26:26",91900,"bu",400,0.4,"U","LeTable"
"hose:4402",92300,100,175200,"14:26:26",91900,"bu",400,0.4,"U","LeTable"
"hose:4402",92300,100,175100,"14:26:26",91900,"bu",400,0.4,"U","LeTable"
"hose:4402",92200,100,175000,"14:26:12",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92200,500,174900,"14:25:44",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,1000,174400,"14:25:44",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,1000,173400,"14:25:44",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,100,172400,"14:25:44",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,100,172300,"14:25:44",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,2000,172200,"14:25:44",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92000,700,170200,"14:25:42",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92100,300,169500,"14:25:42",91900,"sd",200,0.2,"U","LeTable"
"hose:4402",92100,200,169200,"14:25:37",91900,"bu",200,0.2,"U","LeTable"
"hose:4402",92000,200,169000,"14:24:55",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,1000,168800,"14:24:55",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,167800,"14:24:55",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,800,167600,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,4000,166800,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,162800,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,162700,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,162600,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,1000,162100,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,161100,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,4500,160600,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,2000,156100,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,6500,154100,"14:24:39",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,147600,"14:24:20",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91800,200,147500,"14:24:20",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91900,200,147300,"14:24:07",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,147100,"14:24:07",91900,"bu",0,0,"R","LeTable"
"hose:4402",92000,300,147000,"14:24:06",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,146700,"14:23:52",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,146500,"14:23:38",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,146200,"14:23:24",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,145900,"14:23:10",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,145600,"14:22:55",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,145300,"14:22:41",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91900,300,145100,"14:22:27",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,300,144800,"14:22:13",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,300,144500,"14:21:59",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,144200,"14:18:40",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,144100,"14:18:00",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,144000,"14:17:13",91900,"bu",0,0,"R","LeTable"
"hose:4402",91700,100,143900,"14:17:06",91900,"sd",-200,-0.2,"D","LeTable"
"hose:4402",91700,1400,143800,"14:17:06",91900,"sd",-200,-0.2,"D","LeTable"
"hose:4402",91800,500,142400,"14:16:28",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91900,100,141900,"14:16:18",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,400,141800,"14:16:18",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,141400,"14:16:14",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,141300,"14:16:11",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,140800,"14:16:11",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,140300,"14:16:10",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,139800,"14:16:00",91900,"bu",0,0,"R","LeTable"
"hose:4402",91700,400,139700,"14:11:39",91900,"sd",-200,-0.2,"D","LeTable"
"hose:4402",91700,200,139300,"14:11:14",91900,"sd",-200,-0.2,"D","LeTable"
"hose:4402",91700,200,139100,"14:11:14",91900,"sd",-200,-0.2,"D","LeTable"
"hose:4402",91700,100,138900,"14:11:14",91900,"sd",-200,-0.2,"D","LeTable"
"hose:4402",91900,100,138800,"14:09:04",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,200,138700,"14:08:31",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,200,138500,"14:07:36",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,138300,"14:06:41",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1000,138200,"14:06:12",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,500,137200,"14:06:12",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,200,136700,"14:06:12",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,500,136500,"14:06:12",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,100,136000,"14:06:12",91900,"sd",0,0,"R","LeTable"
"hose:4402",92000,200,135900,"14:05:46",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,135700,"14:04:50",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,400,135500,"14:04:40",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,135100,"14:04:25",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,135000,"14:03:55",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,400,134800,"14:03:20",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,134400,"14:03:20",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,134300,"14:03:16",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,133800,"14:03:00",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,133500,"14:02:00",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91900,400,133000,"14:00:51",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,132600,"14:00:36",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,132100,"14:00:33",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,131600,"14:00:33",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1000,131100,"14:00:10",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,130100,"14:00:00",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1100,130000,"13:59:32",91900,"bu",0,0,"R","LeTable"
"hose:4402",91700,100,128900,"13:56:53",91900,"sd",-200,-0.2,"D","LeTable"
"hose:4402",91900,100,128800,"13:55:21",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,128700,"13:52:43",91900,"bu",0,0,"R","LeTable"
"hose:4402",91800,100,128200,"13:51:18",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91900,100,128100,"13:50:54",91900,"bu",0,0,"R","LeTable"
"hose:4402",91800,100,128000,"13:50:49",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91900,100,127900,"13:46:15",91900,"bu",0,0,"R","LeTable"
"hose:4402",92000,400,127800,"13:44:59",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91300,200,127400,"13:44:28",91900,"unknown",-600,-0.7,"D","LeTable"
"hose:4402",91300,500,127200,"13:44:28",91900,"unknown",-600,-0.7,"D","LeTable"
"hose:4402",91500,100,126700,"13:44:28",91900,"unknown",-400,-0.4,"D","LeTable"
"hose:4402",91500,100,126600,"13:44:28",91900,"sd",-400,-0.4,"D","LeTable"
"hose:4402",91500,300,126500,"13:44:28",91900,"sd",-400,-0.4,"D","LeTable"
"hose:4402",91600,700,126200,"13:44:28",91900,"sd",-300,-0.3,"D","LeTable"
"hose:4402",91800,500,125500,"13:44:28",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,100,125000,"13:44:28",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,300,124900,"13:44:28",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,300,124600,"13:44:28",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91900,500,124300,"13:44:28",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,100,123800,"13:44:28",91900,"sd",0,0,"R","LeTable"
"hose:4402",92000,100,123700,"13:41:46",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,123600,"13:40:58",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,123500,"13:40:58",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,123400,"13:40:58",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,123300,"13:40:58",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,1000,123200,"13:39:40",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,122200,"13:39:33",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,400,121700,"13:39:18",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,121300,"13:38:26",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,121200,"13:37:59",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,121100,"13:37:52",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,900,121000,"13:37:52",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,1000,120100,"13:37:52",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,119100,"13:37:52",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,118600,"13:37:46",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,118100,"13:37:41",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,117600,"13:37:38",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91900,500,117100,"13:36:47",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,900,116600,"13:36:47",91900,"sd",0,0,"R","LeTable"
"hose:4402",92000,100,115700,"13:36:18",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,115600,"13:36:18",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,115500,"13:36:18",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,115200,"13:35:53",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,114700,"13:34:38",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91900,100,114200,"13:34:29",91900,"sd",0,0,"R","LeTable"
"hose:4402",92000,500,114100,"13:32:59",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91800,700,113600,"13:32:19",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91800,1000,112900,"13:32:03",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91800,200,111900,"13:31:50",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,500,111700,"13:31:50",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,200,111200,"13:31:50",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91900,200,111000,"13:31:50",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,800,110800,"13:31:49",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,2400,110000,"13:31:34",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1000,107600,"13:31:34",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,106600,"13:31:34",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,106500,"13:29:50",91900,"bu",0,0,"R","LeTable"
"hose:4402",91800,100,106400,"13:29:39",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,200,106300,"13:28:53",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91900,800,106100,"13:28:11",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1000,105300,"13:28:11",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1000,104300,"13:28:11",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1200,103300,"13:28:11",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,102100,"13:28:08",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,102000,"13:27:23",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,101900,"13:24:44",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,101800,"13:24:00",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,101300,"13:23:39",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,101200,"13:23:36",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1000,101100,"13:22:52",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,1000,100100,"13:22:38",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1000,99100,"13:21:53",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,400,98100,"13:21:53",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,97700,"13:21:53",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1500,97600,"13:21:47",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,96100,"13:19:04",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,300,96000,"13:18:59",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,300,95700,"13:18:59",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,200,95400,"13:18:18",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,95200,"13:16:59",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,95100,"13:16:59",91900,"bu",0,0,"R","LeTable"
"hose:4402",91800,800,94600,"13:16:47",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91800,200,93800,"13:16:25",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,1800,93600,"13:16:03",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91800,200,91800,"13:15:26",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,100,91600,"13:15:26",91900,"sd",-100,-0.1,"D","LeTable"
"hose:4402",91800,300,91500,"13:14:49",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91800,100,91200,"13:14:41",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91800,600,91100,"13:14:33",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91800,100,90500,"13:12:42",91900,"bu",-100,-0.1,"D","LeTable"
"hose:4402",91500,200,90400,"13:10:20",91900,"sd",-400,-0.4,"D","LeTable"
"hose:4402",91900,100,90200,"13:10:01",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1700,90100,"13:09:59",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,88400,"13:07:39",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,200,88300,"13:06:43",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,100,88100,"13:06:43",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,100,88000,"13:06:27",91900,"sd",0,0,"R","LeTable"
"hose:4402",92000,100,87900,"13:05:40",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,87800,"13:04:10",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92000,100,87700,"13:03:45",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92000,100,87600,"13:02:57",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92000,100,87500,"13:02:57",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92000,100,87400,"13:02:57",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92000,100,87300,"13:01:51",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92000,100,87200,"13:01:51",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92300,200,87100,"13:01:16",91900,"bu",400,0.4,"U","LeTable"
"hose:4402",92200,100,86900,"13:01:16",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,200,86800,"13:01:16",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92000,100,86600,"13:01:15",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92000,200,86500,"13:00:40",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92200,500,86300,"13:00:24",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92200,700,85800,"13:00:24",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92200,100,85100,"13:00:24",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92200,200,85000,"13:00:09",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92200,200,84800,"13:00:06",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,100,84600,"13:00:06",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,100,84500,"13:00:06",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,100,84400,"13:00:06",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,100,84300,"13:00:04",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,500,84200,"13:00:04",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,500,83700,"13:00:04",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,400,83200,"13:00:00",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92200,100,82800,"11:29:18",91900,"sd",300,0.3,"U","LeTable"
"hose:4402",92500,200,82700,"11:26:45",91900,"bu",600,0.7,"U","LeTable"
"hose:4402",92200,300,82500,"11:26:45",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,100,82200,"11:26:45",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,200,82100,"11:26:45",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92200,400,81900,"11:26:45",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92000,300,81500,"11:26:02",91900,"sd",100,0.1,"U","LeTable"
"hose:4402",92200,100,81200,"11:26:00",91900,"bu",300,0.3,"U","LeTable"
"hose:4402",92000,100,81100,"11:25:26",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,81000,"11:25:26",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,80700,"11:25:26",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,400,80400,"11:25:26",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,80000,"11:25:26",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,1000,79900,"11:25:26",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,78900,"11:25:26",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,400,78800,"11:25:14",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,78400,"11:25:14",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,78200,"11:25:14",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,77900,"11:25:14",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,77800,"11:25:14",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,800,77600,"11:25:14",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,1000,76800,"11:22:35",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,700,75800,"11:22:02",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,75100,"11:21:55",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,75000,"11:20:35",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,74800,"11:19:44",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,200,74500,"11:19:44",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,500,74300,"11:19:44",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,1000,73800,"11:19:28",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,72800,"11:19:08",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,1000,72700,"11:18:58",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,71700,"11:18:00",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91900,200,71600,"11:16:44",91900,"sd",0,0,"R","LeTable"
"hose:4402",92000,500,71400,"11:16:44",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,70900,"11:12:49",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,100,70800,"11:12:16",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,70700,"11:11:35",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91900,300,70400,"11:10:11",91900,"sd",0,0,"R","LeTable"
"hose:4402",91900,700,70100,"11:10:11",91900,"sd",0,0,"R","LeTable"
"hose:4402",92000,100,69400,"11:09:47",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",92000,300,69300,"11:09:47",91900,"bu",100,0.1,"U","LeTable"
"hose:4402",91900,1200,69000,"11:08:59",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,67800,"11:08:59",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,67700,"11:08:25",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,300,67600,"11:08:00",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,67300,"11:06:55",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,200,67200,"11:06:11",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,67000,"11:06:11",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,66900,"11:05:24",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,400,66800,"11:04:24",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,66400,"11:03:50",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,100,66300,"11:03:04",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,500,66200,"11:03:04",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,200,65700,"11:03:04",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,300,65500,"11:02:36",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,800,65200,"11:02:02",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,1200,64400,"11:02:02",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,800,63200,"11:01:52",91900,"bu",0,0,"R","LeTable"
"hose:4402",91900,300,62400,"11:00:47",91900,"bu",0,0,"R","LeTable"
