"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"upcom:64616",5300,100,40600,"14:51:36",6200,"bu",-900,-14.5,"F","LeTable"
"upcom:64616",5300,100,40500,"14:50:11",6200,"bu",-900,-14.5,"F","LeTable"
"upcom:64616",5300,100,40400,"14:49:11",6200,"bu",-900,-14.5,"F","LeTable"
"upcom:64616",5300,100,40300,"14:48:22",6200,"sd",-900,-14.5,"F","LeTable"
"upcom:64616",5300,100,40200,"14:47:37",6200,"bu",-900,-14.5,"F","LeTable"
"upcom:64616",5500,400,40100,"14:46:06",6200,"bu",-700,-11.3,"D","LeTable"
"upcom:64616",5300,100,39700,"14:40:35",6200,"sd",-900,-14.5,"F","LeTable"
"upcom:64616",5300,700,39600,"14:38:51",6200,"sd",-900,-14.5,"F","LeTable"
"upcom:64616",5400,100,38900,"14:36:45",6200,"bu",-800,-12.9,"D","LeTable"
"upcom:64616",5400,100,38800,"14:35:54",6200,"unknown",-800,-12.9,"D","LeTable"
"upcom:64616",5300,100,38700,"14:13:42",6200,"unknown",-900,-14.5,"F","LeTable"
"upcom:64616",5300,600,38600,"14:06:31",6200,"bu",-900,-14.5,"F","LeTable"
"upcom:64616",5300,400,38000,"14:06:17",6200,"sd",-900,-14.5,"F","LeTable"
"upcom:64616",5300,4500,37600,"14:05:01",6200,"sd",-900,-14.5,"F","LeTable"
"upcom:64616",5300,100,33100,"14:03:21",6200,"unknown",-900,-14.5,"F","LeTable"
"upcom:64616",5300,400,33000,"14:01:56",6200,"bu",-900,-14.5,"F","LeTable"
"upcom:64616",5500,100,32600,"13:40:30",6200,"bu",-700,-11.3,"D","LeTable"
"upcom:64616",5500,300,32500,"13:40:21",6200,"bu",-700,-11.3,"D","LeTable"
"upcom:64616",5500,100,32200,"13:39:40",6200,"bu",-700,-11.3,"D","LeTable"
"upcom:64616",5400,100,32100,"13:39:30",6200,"bu",-800,-12.9,"D","LeTable"
"upcom:64616",5400,100,32000,"13:39:29",6200,"sd",-800,-12.9,"D","LeTable"
"upcom:64616",5400,500,31900,"13:39:16",6200,"bu",-800,-12.9,"D","LeTable"
"upcom:64616",5400,100,31400,"13:38:47",6200,"bu",-800,-12.9,"D","LeTable"
"upcom:64616",5500,600,31300,"13:36:46",6200,"bu",-700,-11.3,"D","LeTable"
"upcom:64616",5300,300,30700,"13:36:32",6200,"bu",-900,-14.5,"F","LeTable"
"upcom:64616",5300,100,30400,"13:35:43",6200,"bu",-900,-14.5,"F","LeTable"
