"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:629",107500,300,25100,"14:45:00",106100,"unknown",1400,1.3,"U","LeTable"
"hose:629",107400,100,24800,"14:25:24",106100,"sd",1300,1.2,"U","LeTable"
"hose:629",107400,100,24700,"14:22:02",106100,"bu",1300,1.2,"U","LeTable"
"hose:629",107300,100,24600,"14:21:49",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,100,24500,"14:21:49",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,100,24400,"14:21:43",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,100,24300,"14:21:43",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,400,24200,"14:21:43",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,100,23800,"14:21:43",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,300,23700,"14:21:43",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,500,23400,"14:21:27",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,100,22900,"14:21:27",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,400,22800,"14:21:27",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,100,22400,"14:17:31",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,500,22300,"14:13:19",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,2000,21800,"14:12:19",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,100,19800,"14:03:59",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,600,19700,"14:03:53",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107300,4000,19100,"14:03:37",106100,"sd",1200,1.1,"U","LeTable"
"hose:629",107400,100,15100,"14:02:06",106100,"sd",1300,1.2,"U","LeTable"
"hose:629",107400,100,15000,"14:01:45",106100,"sd",1300,1.2,"U","LeTable"
"hose:629",107400,100,14900,"14:01:34",106100,"sd",1300,1.2,"U","LeTable"
"hose:629",107400,100,14800,"14:01:17",106100,"sd",1300,1.2,"U","LeTable"
"hose:629",107400,600,14700,"14:01:17",106100,"sd",1300,1.2,"U","LeTable"
"hose:629",107400,100,14100,"14:01:06",106100,"sd",1300,1.2,"U","LeTable"
"hose:629",107400,100,14000,"14:00:24",106100,"bu",1300,1.2,"U","LeTable"
"hose:629",107400,100,13900,"13:59:22",106100,"sd",1300,1.2,"U","LeTable"
"hose:629",108000,100,13800,"13:28:38",106100,"bu",1900,1.8,"U","LeTable"
"hose:629",108000,300,13700,"13:22:11",106100,"bu",1900,1.8,"U","LeTable"
