"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:4321",11350,300,4600,"14:27:27",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,200,4300,"14:27:27",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,100,4100,"14:27:27",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,500,4000,"13:44:38",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,500,3500,"13:37:20",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,1000,3000,"13:36:44",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,200,2000,"13:21:27",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,500,1800,"13:14:52",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,300,1300,"13:14:52",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,100,1000,"13:14:52",11350,"sd",0,0,"R","LeTable"
"hose:4321",11350,100,900,"13:14:52",11350,"sd",0,0,"R","LeTable"
"hose:4321",11400,300,800,"13:00:02",11350,"unknown",50,0.4,"U","LeTable"
"hose:4321",11400,500,500,"10:00:21",11350,"sd",50,0.4,"U","LeTable"
