"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:3841",12500,200,2600,"13:44:49",12950,"bu",-450,-3.5,"D","LeTable"
"hose:3841",12500,200,2400,"13:44:29",12950,"sd",-450,-3.5,"D","LeTable"
"hose:3841",12500,100,2200,"13:44:29",12950,"sd",-450,-3.5,"D","LeTable"
"hose:3841",12500,200,2100,"13:44:29",12950,"sd",-450,-3.5,"D","LeTable"
"hose:3841",12500,200,1900,"13:10:48",12950,"sd",-450,-3.5,"D","LeTable"
"hose:3841",12500,100,1700,"13:00:19",12950,"sd",-450,-3.5,"D","LeTable"
"hose:3841",12500,600,1600,"13:00:19",12950,"sd",-450,-3.5,"D","LeTable"
"hose:3841",12500,200,1000,"10:07:22",12950,"bu",-450,-3.5,"D","LeTable"
"hose:3841",12500,100,800,"10:07:21",12950,"sd",-450,-3.5,"D","LeTable"
"hose:3841",12500,200,700,"10:07:21",12950,"sd",-450,-3.5,"D","LeTable"
"hose:3841",12950,500,500,"09:47:02",12950,"bu",0,0,"R","LeTable"
