"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:29",42500,74400,2741200,"14:45:01",42350,"unknown",150,0.4,"U","LeTable"
"hose:29",42550,500,2666800,"14:29:52",42350,"sd",200,0.5,"U","LeTable"
"hose:29",42550,5000,2666300,"14:29:51",42350,"sd",200,0.5,"U","LeTable"
"hose:29",42600,3000,2661300,"14:29:40",42350,"bu",250,0.6,"U","LeTable"
"hose:29",42600,200,2658300,"14:29:36",42350,"bu",250,0.6,"U","LeTable"
"hose:29",42600,200,2658100,"14:29:36",42350,"bu",250,0.6,"U","LeTable"
"hose:29",42600,500,2657900,"14:29:36",42350,"bu",250,0.6,"U","LeTable"
"hose:29",42600,100,2657400,"14:29:36",42350,"bu",250,0.6,"U","LeTable"
"hose:29",42550,1000,2657300,"14:29:29",42350,"sd",200,0.5,"U","LeTable"
"hose:29",42550,200,2656300,"14:29:22",42350,"sd",200,0.5,"U","LeTable"
"hose:29",42550,2000,2656100,"14:29:11",42350,"sd",200,0.5,"U","LeTable"
"hose:29",42550,400,2654100,"14:28:52",42350,"sd",200,0.5,"U","LeTable"
"hose:29",42550,2000,2653700,"14:28:50",42350,"bu",200,0.5,"U","LeTable"
"hose:29",42550,100,2651700,"14:28:50",42350,"bu",200,0.5,"U","LeTable"
"hose:29",42550,2400,2651600,"14:28:50",42350,"bu",200,0.5,"U","LeTable"
"hose:29",42550,100,2649200,"14:28:39",42350,"bu",200,0.5,"U","LeTable"
"hose:29",42550,500,2649100,"14:28:30",42350,"bu",200,0.5,"U","LeTable"
"hose:29",42500,100,2648600,"14:28:28",42350,"sd",150,0.4,"U","LeTable"
"hose:29",42500,4900,2648500,"14:28:28",42350,"sd",150,0.4,"U","LeTable"
"hose:29",42550,100,2643600,"14:28:03",42350,"bu",200,0.5,"U","LeTable"
"hose:29",42550,200,2643500,"14:28:03",42350,"bu",200,0.5,"U","LeTable"
"hose:29",42550,100,2643300,"14:28:03",42350,"bu",200,0.5,"U","LeTable"
"hose:29",42500,800,2643200,"14:28:00",42350,"sd",150,0.4,"U","LeTable"
"hose:29",42500,800,2642400,"14:28:00",42350,"sd",150,0.4,"U","LeTable"
"hose:29",42500,200,2641600,"14:27:55",42350,"sd",150,0.4,"U","LeTable"
"hose:29",42500,2000,2641400,"14:27:51",42350,"sd",150,0.4,"U","LeTable"
"hose:29",42500,100,2639400,"14:27:44",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,1300,2639300,"14:27:44",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,1000,2638000,"14:27:44",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,500,2637000,"14:27:44",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,300,2636500,"14:27:44",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,400,2636200,"14:27:44",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,100,2635800,"14:27:42",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,500,2635700,"14:27:42",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,1400,2635200,"14:27:42",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,600,2633800,"14:27:39",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,9400,2633200,"14:27:39",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,200,2623800,"14:26:59",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,400,2623600,"14:26:50",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,1800,2623200,"14:26:50",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,2200,2621400,"14:26:37",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,2200,2619200,"14:26:25",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42450,100,2617000,"14:26:22",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42500,100,2616900,"14:26:20",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,2200,2616800,"14:26:12",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,500,2614600,"14:25:53",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,500,2614100,"14:25:53",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,200,2613600,"14:25:40",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,2000,2613400,"14:25:40",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42450,500,2611400,"14:25:36",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,100,2610900,"14:25:17",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,400,2610800,"14:25:08",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,1100,2610400,"14:25:08",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,900,2609300,"14:24:53",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,1000,2608400,"14:24:53",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,100,2607400,"14:24:53",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,200,2607300,"14:24:52",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,2000,2607100,"14:24:42",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42400,600,2605100,"14:24:31",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,200,2604500,"14:24:31",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,200,2604300,"14:24:31",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,2000,2604100,"14:24:31",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42450,2000,2602100,"14:24:13",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,500,2600100,"14:24:11",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,400,2599600,"14:24:08",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42400,800,2599200,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,100,2598400,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,100,2598300,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,100,2598200,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,100,2598100,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,500,2598000,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,2800,2597500,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,200,2594700,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,100,2594500,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42400,200,2594400,"14:23:55",42350,"sd",50,0.1,"U","LeTable"
"hose:29",42450,100,2594200,"14:23:47",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,500,2594100,"14:23:47",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,500,2593600,"14:23:47",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,3700,2593100,"14:23:47",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42500,100,2589400,"14:23:39",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42450,100,2589300,"14:23:38",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42500,400,2589200,"14:23:37",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42450,500,2588800,"14:23:26",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42500,200,2588300,"14:23:06",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42500,100,2588100,"14:23:06",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42450,600,2588000,"14:23:04",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,100,2587400,"14:22:47",42350,"bu",100,0.2,"U","LeTable"
"hose:29",42450,500,2587300,"14:22:42",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,5000,2586800,"14:22:42",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,100,2581800,"14:22:42",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,100,2581700,"14:22:42",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,400,2581600,"14:22:42",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,500,2581200,"14:22:42",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,100,2580700,"14:22:42",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42450,4400,2580600,"14:22:42",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42500,300,2576200,"14:22:35",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42450,10000,2575900,"14:22:33",42350,"sd",100,0.2,"U","LeTable"
"hose:29",42500,300,2565900,"14:22:04",42350,"bu",150,0.4,"U","LeTable"
"hose:29",42450,100,2565600,"14:21:48",42350,"sd",100,0.2,"U","LeTable"
