"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:981",4540,24700,964500,"14:45:01",4550,"unknown",-10,-0.2,"D","LeTable"
"hose:981",4550,1000,939800,"14:29:20",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,300,938800,"14:29:20",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,500,938500,"14:29:07",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,1000,938000,"14:28:37",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,300,937000,"14:28:33",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,700,936700,"14:27:40",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1200,936000,"14:27:40",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1500,934800,"14:27:17",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,100,933300,"14:26:56",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,500,933200,"14:26:16",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,2000,932700,"14:25:32",4550,"bu",0,0,"R","LeTable"
"hose:981",4540,1000,930700,"14:24:25",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,1000,929700,"14:21:19",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4550,200,928700,"14:20:26",4550,"bu",0,0,"R","LeTable"
"hose:981",4540,40600,928500,"14:19:50",4550,"bu",-10,-0.2,"D","LeTable"
"hose:981",4540,2000,887900,"14:19:09",4550,"bu",-10,-0.2,"D","LeTable"
"hose:981",4540,5000,885900,"14:19:05",4550,"bu",-10,-0.2,"D","LeTable"
"hose:981",4540,2000,880900,"14:18:07",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,400,878900,"14:18:07",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,878500,"14:17:08",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,878400,"14:17:08",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,1200,878300,"14:17:08",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,1800,877100,"14:16:10",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,5000,875300,"14:16:10",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,3200,870300,"14:16:10",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,867100,"14:13:41",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,8600,867000,"14:12:29",4550,"bu",-10,-0.2,"D","LeTable"
"hose:981",4540,300,858400,"14:12:12",4550,"bu",-10,-0.2,"D","LeTable"
"hose:981",4530,100,858100,"14:11:58",4550,"sd",-20,-0.4,"D","LeTable"
"hose:981",4540,300,858000,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,400,857700,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,500,857300,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,1000,856800,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,855800,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,200,855700,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,855500,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,1500,855400,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,5000,853900,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,3500,848900,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,500,845400,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,5000,844900,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,500,839900,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,1300,839400,"14:11:58",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4550,200,838100,"14:09:56",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,3000,837900,"14:08:35",4550,"bu",0,0,"R","LeTable"
"hose:981",4540,1300,834900,"14:08:32",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,833600,"14:08:32",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,500,833500,"14:08:32",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,1800,833000,"14:08:32",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4550,1000,831200,"14:08:23",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,29800,830200,"14:06:19",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,100,800400,"14:06:19",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,100,800300,"14:06:19",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,200,800200,"14:04:12",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,100,800000,"14:03:44",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,100,799900,"14:01:42",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,400,799800,"14:01:42",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,1100,799400,"14:01:13",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,3900,798300,"14:01:13",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,1000,794400,"13:58:50",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,500,793400,"13:58:02",4550,"bu",0,0,"R","LeTable"
"hose:981",4540,200,792900,"13:57:56",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,792700,"13:57:21",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,792600,"13:57:21",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,200,792500,"13:57:21",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4550,100,792300,"13:57:11",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,500,792200,"13:56:17",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,500,791700,"13:56:09",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,200,791200,"13:54:58",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,200,791000,"13:54:00",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,200,790800,"13:54:00",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,900,790600,"13:54:00",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1100,789700,"13:53:17",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,1200,788600,"13:52:50",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1800,787400,"13:52:50",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,3000,785600,"13:52:27",4550,"sd",0,0,"R","LeTable"
"hose:981",4560,200,782600,"13:52:19",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4550,5200,782400,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,500,777200,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,20500,776700,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,500,756200,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,100,755700,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1000,755600,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,500,754600,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,100,754100,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1600,754000,"13:52:15",4550,"sd",0,0,"R","LeTable"
"hose:981",4560,200,752400,"13:49:01",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,400,752200,"13:48:42",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,400,751800,"13:48:42",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,3300,751400,"13:47:56",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,1300,748100,"13:46:01",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,2700,746800,"13:46:01",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,4000,744100,"13:45:41",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,1100,740100,"13:43:33",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,1400,739000,"13:43:20",4550,"sd",10,0.2,"U","LeTable"
"hose:981",4560,500,737600,"13:43:02",4550,"sd",10,0.2,"U","LeTable"
"hose:981",4560,2200,737100,"13:42:06",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,900,734900,"13:42:06",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,3000,734000,"13:40:26",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,700,731000,"13:38:30",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,400,730300,"13:38:08",4550,"sd",10,0.2,"U","LeTable"
"hose:981",4560,1900,729900,"13:35:03",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,300,728000,"13:35:03",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,9100,727700,"13:35:03",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,8300,718600,"13:35:03",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,100,710300,"13:32:30",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,100,710200,"13:31:29",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,100,710100,"13:30:55",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4550,1500,710000,"13:30:43",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1000,708500,"13:25:07",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,300,707500,"13:22:14",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,5700,707200,"13:22:08",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,300,701500,"13:22:08",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,2500,701200,"13:20:22",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,200,698700,"13:20:04",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,2000,698500,"13:20:04",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,100,696500,"13:20:04",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,200,696400,"13:20:04",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,3300,696200,"13:19:38",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1000,692900,"13:18:45",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,500,691900,"13:17:14",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,200,691400,"13:17:14",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,100,691200,"13:17:14",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1400,691100,"13:17:14",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,11700,689700,"13:16:02",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1700,678000,"13:13:52",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,100,676300,"13:08:34",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,2000,676200,"13:08:10",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,2000,674200,"13:07:49",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,2000,672200,"13:07:01",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1000,670200,"13:07:01",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1100,669200,"13:07:01",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,500,668100,"13:06:36",4550,"sd",0,0,"R","LeTable"
"hose:981",4560,1400,667600,"13:03:55",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,700,666200,"13:03:55",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4560,100,665500,"13:03:55",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4550,700,665400,"13:02:31",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,200,664700,"13:00:36",4550,"bu",0,0,"R","LeTable"
"hose:981",4550,100,664500,"13:00:15",4550,"bu",0,0,"R","LeTable"
"hose:981",4540,2000,664400,"13:00:04",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,1000,662400,"13:00:00",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,500,661400,"12:59:59",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,400,660900,"12:59:59",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,660500,"12:59:59",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,300,660400,"12:59:59",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4540,100,660100,"11:29:50",4550,"sd",-10,-0.2,"D","LeTable"
"hose:981",4550,100,660000,"11:29:50",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,400,659900,"11:27:30",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,1600,659500,"11:27:30",4550,"sd",0,0,"R","LeTable"
"hose:981",4560,300,657900,"11:26:22",4550,"bu",10,0.2,"U","LeTable"
"hose:981",4550,10400,657600,"11:23:46",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,500,647200,"11:23:46",4550,"sd",0,0,"R","LeTable"
"hose:981",4550,6000,646700,"11:23:46",4550,"sd",0,0,"R","LeTable"
