"price","change","match_qtty","side","time","total_vol"
12.1,0.2,10000,"","14:45:00",51400
12.1,0.2,100,"bu","14:26:05",41400
12.1,0.2,1000,"bu","14:25:39",41300
12.1,0.2,100,"bu","14:07:25",40300
12,0.1,200,"sd","13:55:14",40200
12,0.1,500,"sd","13:53:10",40000
12,0.1,1000,"sd","13:48:47",39500
12,0.1,1100,"sd","13:40:23",38500
12.05,0.15,16900,"sd","13:39:04",37400
12.05,0.15,200,"sd","13:16:06",20500
12.05,0.15,100,"sd","13:04:53",20300
12.05,0.15,200,"sd","13:00:00",20200
12.05,0.15,100,"sd","11:21:52",20000
12.1,0.2,100,"bu","11:20:46",19900
12.1,0.2,2000,"bu","11:09:52",19800
12.1,0.2,2400,"bu","11:06:32",17800
12.1,0.2,100,"bu","11:01:54",15400
12.1,0.2,1000,"bu","10:48:06",15300
12.1,0.2,500,"sd","10:37:35",14300
12.1,0.2,500,"bu","10:37:33",13800
12.1,0.2,100,"bu","10:28:13",13300
12.1,0.2,500,"bu","10:27:57",13200
12.1,0.2,1000,"bu","10:24:16",12700
12.1,0.2,2000,"bu","10:24:01",11700
12.05,0.15,500,"bu","10:19:42",9700
12.05,0.15,1000,"bu","10:04:41",9200
12.05,0.15,100,"bu","09:56:11",8200
12.05,0.15,200,"bu","09:55:51",8100
12.05,0.15,1200,"bu","09:53:44",7900
12,0.1,100,"bu","09:49:22",6700
12,0.1,100,"sd","09:42:51",6600
12,0.1,200,"sd","09:42:41",6500
12,0.1,5000,"sd","09:42:01",6300
12,0.1,100,"sd","09:39:14",1300
12,0.1,600,"bu","09:37:26",1200
12,0.1,300,"bu","09:36:12",600
11.95,0.05,200,"bu","09:35:06",300
11.95,0.05,100,"bu","09:30:28",100
