"price","change","match_qtty","side","time","total_vol"
8.59,0.05,51500,"","14:45:00",567600
8.57,0.03,500,"bu","14:29:19",516100
8.57,0.03,100,"bu","14:29:03",515600
8.56,0.02,1000,"sd","14:28:24",515500
8.56,0.02,500,"bu","14:27:31",514500
8.56,0.02,2000,"sd","14:27:00",514000
8.57,0.03,15000,"bu","14:25:07",512000
8.55,0.01,5000,"sd","14:23:35",497000
8.55,0.01,5700,"sd","14:23:11",492000
8.55,0.01,4000,"sd","14:22:50",486300
8.55,0.01,100,"sd","14:22:36",482300
8.55,0.01,500,"sd","14:19:24",482200
8.55,0.01,5000,"sd","14:16:04",481700
8.55,0.01,500,"sd","14:15:54",476700
8.55,0.01,3000,"sd","14:14:59",476200
8.55,0.01,1100,"sd","14:14:39",473200
8.55,0.01,800,"sd","14:12:20",472100
8.57,0.03,600,"sd","14:12:20",471300
8.57,0.03,300,"sd","14:11:47",470700
8.57,0.03,100,"sd","14:11:02",470400
8.58,0.04,100,"bu","14:10:51",470300
8.58,0.04,100,"bu","14:09:08",470200
8.58,0.04,200,"bu","14:08:30",470100
8.58,0.04,700,"bu","14:08:25",469900
8.58,0.04,600,"bu","14:08:21",469200
8.57,0.03,1800,"bu","14:08:20",468600
8.57,0.03,9000,"bu","14:08:15",466800
8.55,0.01,200,"sd","14:05:48",457800
8.55,0.01,1100,"sd","14:05:14",457600
8.56,0.02,100,"bu","14:05:11",456500
8.55,0.01,1000,"sd","14:04:05",456400
8.56,0.02,100,"bu","14:03:40",455400
8.56,0.02,500,"bu","14:03:35",455300
8.56,0.02,1700,"sd","14:03:34",454800
8.56,0.02,1100,"sd","14:02:52",453100
8.56,0.02,500,"bu","14:01:05",452000
8.56,0.02,5100,"bu","14:01:00",451500
8.56,0.02,500,"bu","14:00:55",446400
8.56,0.02,1800,"bu","14:00:50",445900
8.56,0.02,200,"bu","14:00:32",444100
8.56,0.02,100,"bu","13:59:50",443900
8.55,0.01,1000,"sd","13:59:30",443800
8.56,0.02,200,"bu","13:59:05",442800
8.56,0.02,200,"bu","13:57:40",442600
8.56,0.02,700,"bu","13:57:38",442400
8.55,0.01,2000,"sd","13:54:18",441700
8.55,0.01,100,"sd","13:52:47",439700
8.55,0.01,1000,"sd","13:52:14",439600
8.55,0.01,100,"sd","13:51:50",438600
8.56,0.02,100,"bu","13:50:15",438500
8.56,0.02,400,"bu","13:50:10",438400
8.56,0.02,1500,"bu","13:50:05",438000
8.56,0.02,5100,"bu","13:50:03",436500
8.56,0.02,100,"bu","13:49:26",431400
8.55,0.01,3000,"sd","13:48:05",431300
8.55,0.01,100,"sd","13:47:26",428300
8.56,0.02,100,"bu","13:46:53",428200
8.56,0.02,200,"bu","13:46:40",428100
8.56,0.02,800,"sd","13:46:39",427900
8.56,0.02,2500,"bu","13:45:41",427100
8.55,0.01,200,"sd","13:44:59",424600
8.55,0.01,200,"sd","13:44:57",424400
8.55,0.01,100,"sd","13:39:20",424200
8.55,0.01,2700,"bu","13:38:32",424100
8.55,0.01,300,"bu","13:38:10",421400
8.55,0.01,1000,"sd","13:38:07",421100
8.55,0.01,3000,"bu","13:36:32",420100
8.56,0.02,200,"bu","13:34:07",417100
8.54,0,500,"sd","13:33:22",416900
8.55,0.01,500,"sd","13:33:22",416400
8.54,0,5000,"sd","13:33:07",415900
8.54,0,5400,"sd","13:31:23",410900
8.55,0.01,1600,"sd","13:31:23",405500
8.56,0.02,100,"bu","13:30:20",403900
8.56,0.02,600,"bu","13:30:19",403800
8.56,0.02,100,"bu","13:28:31",403200
8.56,0.02,100,"bu","13:27:34",403100
8.56,0.02,100,"bu","13:27:19",403000
8.56,0.02,500,"bu","13:27:12",402900
8.56,0.02,300,"bu","13:26:59",402400
8.56,0.02,100,"bu","13:24:50",402100
8.56,0.02,400,"bu","13:24:45",402000
8.56,0.02,1500,"bu","13:24:40",401600
8.56,0.02,5100,"sd","13:24:36",400100
8.57,0.03,100,"bu","13:23:40",395000
8.57,0.03,400,"bu","13:23:35",394900
8.57,0.03,1500,"bu","13:23:30",394500
8.57,0.03,5000,"bu","13:23:27",393000
8.57,0.03,100,"bu","13:22:55",388000
8.57,0.03,500,"bu","13:22:50",387900
8.57,0.03,1800,"bu","13:22:46",387400
8.56,0.02,1900,"bu","13:19:47",385600
8.55,0.01,600,"sd","13:19:38",383700
8.56,0.02,200,"bu","13:19:35",383100
8.56,0.02,800,"bu","13:19:30",382900
8.56,0.02,2000,"bu","13:19:28",382100
8.56,0.02,700,"bu","13:19:25",380100
8.56,0.02,2500,"bu","13:19:21",379400
8.56,0.02,100,"bu","13:19:00",376900
8.56,0.02,500,"bu","13:18:55",376800
8.56,0.02,1900,"sd","13:18:54",376300
8.56,0.02,1500,"bu","13:18:42",374400
8.55,0.01,2000,"bu","13:18:13",372900
8.55,0.01,100,"bu","13:17:35",370900
8.55,0.01,600,"bu","13:17:30",370800
8.55,0.01,2300,"sd","13:17:29",370200
8.55,0.01,100,"bu","13:17:15",367900
8.55,0.01,8100,"sd","13:17:14",367800
8.55,0.01,800,"sd","13:16:39",359700
8.55,0.01,5000,"sd","13:16:02",358900
8.56,0.02,100,"sd","13:09:38",353900
8.58,0.04,200,"bu","13:07:35",353800
8.58,0.04,700,"bu","13:07:30",353600
8.58,0.04,2400,"bu","13:07:29",352900
8.56,0.02,600,"bu","13:07:10",350500
8.56,0.02,100,"sd","13:06:51",349900
8.56,0.02,500,"sd","13:06:25",349800
8.56,0.02,1900,"bu","13:06:16",349300
8.56,0.02,200,"bu","13:04:10",347400
8.56,0.02,900,"sd","13:04:08",347200
8.56,0.02,3100,"bu","13:03:30",346300
8.55,0.01,100,"sd","13:03:08",343200
8.56,0.02,100,"bu","13:01:25",343100
8.56,0.02,600,"bu","13:01:20",343000
8.56,0.02,2000,"sd","13:01:16",342400
8.56,0.02,3000,"sd","13:01:10",340400
8.58,0.04,100,"bu","13:00:10",337400
8.58,0.04,100,"bu","13:00:08",337300
8.58,0.04,300,"bu","13:00:06",337200
8.58,0.04,600,"sd","13:00:00",336900
8.58,0.04,700,"sd","13:00:00",336300
8.58,0.04,1000,"sd","11:29:48",335600
8.58,0.04,900,"bu","11:28:10",334600
8.58,0.04,9100,"sd","11:28:07",333700
8.59,0.05,200,"bu","11:26:14",324600
8.58,0.04,30500,"bu","11:25:16",324400
8.58,0.04,100,"bu","11:25:06",293900
8.58,0.04,500,"bu","11:25:04",293800
8.58,0.04,1800,"bu","11:24:56",293300
8.58,0.04,6000,"bu","11:24:50",291500
8.58,0.04,8800,"bu","11:24:49",285500
8.57,0.03,11200,"bu","11:24:49",276700
8.56,0.02,500,"bu","11:23:51",265500
8.56,0.02,15000,"bu","11:23:49",265000
8.55,0.01,100,"sd","11:23:05",250000
8.55,0.01,4000,"sd","11:20:16",249900
8.55,0.01,100,"bu","11:14:56",245900
8.54,0,3000,"sd","11:09:10",245800
8.54,0,300,"sd","11:08:49",242800
8.54,0,400,"sd","11:07:43",242500
8.54,0,200,"sd","11:06:30",242100
8.55,0.01,300,"sd","11:06:30",241900
8.55,0.01,100,"sd","11:05:49",241600
8.55,0.01,100,"bu","11:05:40",241500
8.55,0.01,1900,"sd","11:05:36",241400
8.55,0.01,500,"sd","11:05:08",239500
8.55,0.01,500,"sd","11:04:40",239000
8.55,0.01,1500,"sd","11:03:27",238500
8.55,0.01,2000,"sd","10:57:44",237000
8.56,0.02,100,"bu","10:53:56",235000
8.56,0.02,400,"bu","10:53:50",234900
8.56,0.02,1500,"bu","10:53:45",234500
8.56,0.02,5000,"bu","10:53:44",233000
8.55,0.01,200,"sd","10:52:10",228000
8.56,0.02,200,"bu","10:52:06",227800
8.56,0.02,900,"bu","10:52:03",227600
8.56,0.02,200,"bu","10:47:55",226700
8.56,0.02,700,"bu","10:47:50",226500
8.56,0.02,2500,"bu","10:47:49",225800
8.55,0.01,300,"sd","10:47:43",223300
8.56,0.02,100,"bu","10:44:32",223000
8.56,0.02,200,"bu","10:42:43",222900
8.55,0.01,3300,"bu","10:39:06",222700
8.55,0.01,300,"bu","10:39:06",219400
8.55,0.01,1000,"bu","10:39:04",219100
8.55,0.01,300,"bu","10:38:45",218100
8.55,0.01,1000,"bu","10:38:42",217800
8.55,0.01,100,"bu","10:38:35",216800
8.55,0.01,400,"bu","10:38:30",216700
8.55,0.01,1000,"bu","10:38:28",216300
8.55,0.01,600,"bu","10:38:26",215300
8.55,0.01,2000,"sd","10:38:21",214700
8.55,0.01,2800,"bu","10:36:03",212700
8.54,0,500,"sd","10:35:54",209900
8.54,0,500,"bu","10:35:20",209400
8.54,0,3000,"bu","10:35:18",208900
8.53,-0.01,1000,"sd","10:33:12",205900
8.54,0,100,"bu","10:30:25",204900
8.54,0,500,"bu","10:30:22",204800
8.52,-0.02,300,"sd","10:29:17",204300
8.53,-0.01,4000,"sd","10:29:17",204000
8.54,0,200,"bu","10:29:08",200000
8.54,0,300,"bu","10:27:51",199800
8.54,0,1000,"bu","10:27:48",199500
8.54,0,100,"bu","10:22:44",198500
8.54,0,100,"bu","10:22:03",198400
8.53,-0.01,4000,"sd","10:21:15",198300
8.53,-0.01,20000,"sd","10:21:06",194300
8.53,-0.01,1000,"sd","10:18:13",174300
8.53,-0.01,900,"bu","10:17:35",173300
8.53,-0.01,7600,"sd","10:17:33",172400
8.54,0,300,"bu","10:15:50",164800
8.54,0,1200,"sd","10:15:47",164500
8.53,-0.01,4900,"sd","10:11:41",163300
8.53,-0.01,900,"bu","10:07:15",158400
8.53,-0.01,6300,"sd","10:07:13",157500
8.53,-0.01,10600,"sd","10:06:50",151200
8.54,0,5100,"sd","10:06:50",140600
8.54,0,900,"sd","10:06:49",135500
8.55,0.01,1100,"sd","10:06:49",134600
8.55,0.01,1000,"sd","10:03:13",133500
8.55,0.01,1000,"sd","10:00:37",132500
8.55,0.01,600,"bu","09:59:35",131500
8.55,0.01,7600,"sd","09:59:34",130900
8.55,0.01,1300,"sd","09:59:32",123300
8.55,0.01,500,"sd","09:55:10",122000
8.56,0.02,300,"bu","09:53:40",121500
8.56,0.02,1000,"bu","09:53:35",121200
8.56,0.02,3000,"bu","09:53:34",120200
8.55,0.01,500,"sd","09:53:32",117200
8.56,0.02,100,"bu","09:50:51",116700
8.56,0.02,600,"bu","09:50:45",116600
8.56,0.02,2000,"bu","09:50:43",116000
8.56,0.02,100,"bu","09:50:34",114000
8.56,0.02,100,"bu","09:49:50",113900
8.56,0.02,600,"sd","09:49:47",113800
8.56,0.02,500,"sd","09:49:28",113200
8.56,0.02,1000,"sd","09:49:15",112700
8.56,0.02,1000,"sd","09:47:24",111700
8.57,0.03,100,"bu","09:47:21",110700
8.57,0.03,400,"bu","09:47:16",110600
8.57,0.03,1300,"sd","09:47:12",110200
8.58,0.04,200,"sd","09:47:12",108900
8.57,0.03,100,"sd","09:45:00",108700
8.6,0.06,300,"bu","09:44:50",108600
8.6,0.06,1100,"sd","09:44:48",108300
8.6,0.06,1000,"sd","09:44:07",107200
8.6,0.06,500,"sd","09:43:28",106200
8.6,0.06,500,"sd","09:43:26",105700
8.6,0.06,2400,"bu","09:43:10",105200
8.6,0.06,100,"bu","09:42:47",102800
8.59,0.05,300,"bu","09:41:35",102700
8.59,0.05,300,"sd","09:41:25",102400
8.6,0.06,100,"bu","09:40:30",102100
8.6,0.06,400,"bu","09:40:25",102000
8.6,0.06,1400,"bu","09:40:21",101600
8.6,0.06,4900,"bu","09:40:20",100200
8.57,0.03,100,"bu","09:40:00",95300
8.56,0.02,7700,"bu","09:39:44",95200
