"price","change","match_qtty","side","time","total_vol"
72,0.3,51500,"","14:45:02",750200
71.8,0.1,200,"bu","14:29:46",698700
71.8,0.1,700,"bu","14:29:45",698500
71.8,0.1,100,"sd","14:29:43",697800
71.8,0.1,900,"bu","14:29:41",697700
71.8,0.1,600,"sd","14:28:58",696800
71.8,0.1,400,"bu","14:28:22",696200
71.7,0,1000,"sd","14:27:46",695800
71.7,0,3800,"sd","14:27:42",694800
71.8,0.1,8000,"bu","14:27:42",691000
71.7,0,400,"sd","14:27:35",683000
71.7,0,400,"sd","14:26:56",682600
71.7,0,100,"sd","14:26:46",682200
71.8,0.1,3400,"bu","14:26:46",682100
71.7,0,300,"bu","14:26:08",678700
71.6,-0.1,100,"sd","14:26:00",678400
71.7,0,700,"bu","14:25:59",678300
71.7,0,200,"bu","14:25:32",677600
71.7,0,100,"bu","14:25:30",677400
71.7,0,2000,"bu","14:25:25",677300
71.7,0,3000,"bu","14:25:00",675300
71.6,-0.1,500,"sd","14:24:45",672300
71.7,0,700,"bu","14:23:50",671800
71.7,0,200,"bu","14:23:18",671100
71.7,0,200,"bu","14:23:14",670900
71.7,0,600,"bu","14:22:45",670700
71.7,0,500,"bu","14:22:43",670100
71.7,0,500,"bu","14:22:18",669600
71.7,0,700,"bu","14:21:40",669100
71.7,0,100,"bu","14:21:35",668400
71.7,0,500,"bu","14:21:02",668300
71.7,0,100,"bu","14:20:46",667800
71.6,-0.1,100,"sd","14:20:28",667700
71.6,-0.1,700,"sd","14:20:27",667600
71.7,0,400,"sd","14:20:20",666900
71.7,0,500,"sd","14:19:50",666500
71.8,0.1,400,"bu","14:19:49",666000
71.7,0,500,"sd","14:19:34",665600
71.7,0,400,"bu","14:18:26",665100
71.7,0,300,"bu","14:18:25",664700
71.7,0,200,"bu","14:18:18",664400
71.7,0,1000,"bu","14:18:16",664200
71.7,0,500,"bu","14:17:29",663200
71.7,0,600,"bu","14:17:21",662700
71.7,0,100,"sd","14:17:18",662100
71.7,0,200,"sd","14:16:59",662000
71.7,0,400,"sd","14:16:58",661800
71.7,0,100,"sd","14:16:57",661400
71.7,0,700,"sd","14:16:55",661300
71.7,0,300,"sd","14:16:06",660600
71.7,0,2000,"sd","14:15:57",660300
71.7,0,100,"sd","14:15:54",658300
71.7,0,500,"sd","14:15:31",658200
71.7,0,3300,"sd","14:15:20",657700
71.7,0,1900,"sd","14:15:19",654400
71.7,0,2000,"sd","14:15:04",652500
71.7,0,100,"sd","14:14:56",650500
71.7,0,300,"sd","14:14:23",650400
71.8,0.1,700,"bu","14:14:07",650100
71.7,0,600,"sd","14:14:06",649400
71.8,0.1,700,"sd","14:13:30",648800
71.8,0.1,800,"sd","14:13:24",648100
71.8,0.1,500,"sd","14:13:16",647300
