"price","change","match_qtty","side","time","total_vol"
50,0.8,52800,"","14:45:06",334200
49.35,0.15,200,"bu","14:29:19",281400
49.35,0.15,3600,"sd","14:28:30",281200
49.4,0.2,9200,"sd","14:28:30",277600
49.45,0.25,1100,"bu","14:28:05",268400
49.4,0.2,600,"sd","14:27:05",267300
49.4,0.2,100,"sd","14:25:59",266700
49.5,0.3,500,"sd","14:25:47",266600
49.5,0.3,1200,"bu","14:21:53",266100
49.5,0.3,100,"bu","14:20:46",264900
49.45,0.25,100,"bu","14:19:48",264800
49.5,0.3,1000,"bu","14:14:47",264700
49.45,0.25,2500,"sd","14:13:55",263700
49.45,0.25,2000,"sd","14:13:38",261200
49.5,0.3,1100,"sd","14:12:47",259200
49.5,0.3,500,"sd","14:12:30",258100
49.5,0.3,100,"sd","14:11:47",257600
49.6,0.4,1400,"bu","14:10:33",257500
49.65,0.45,2000,"bu","14:07:26",256100
49.6,0.4,1000,"bu","14:07:26",254100
49.6,0.4,600,"bu","14:05:28",253100
49.55,0.35,500,"bu","14:05:12",252500
49.55,0.35,300,"sd","14:05:01",252000
49.55,0.35,1500,"bu","14:03:51",251700
49.5,0.3,1000,"bu","14:03:36",250200
49.45,0.25,100,"bu","14:01:39",249200
49.45,0.25,500,"bu","14:01:34",249100
49.4,0.2,700,"sd","14:01:19",248600
49.4,0.2,100,"bu","13:59:50",247900
49.35,0.15,2000,"sd","13:55:34",247800
49.4,0.2,200,"bu","13:51:42",245800
49.4,0.2,400,"bu","13:51:38",245600
49.35,0.15,4000,"sd","13:51:24",245200
49.35,0.15,100,"sd","13:50:52",241200
49.35,0.15,300,"sd","13:50:50",241100
49.35,0.15,200,"sd","13:50:40",240800
49.4,0.2,300,"sd","13:49:29",240600
49.4,0.2,100,"sd","13:48:51",240300
49.4,0.2,600,"bu","13:48:48",240200
49.35,0.15,100,"sd","13:48:13",239600
49.35,0.15,300,"bu","13:46:49",239500
49.3,0.1,900,"sd","13:45:39",239200
49.35,0.15,400,"sd","13:44:06",238300
49.35,0.15,500,"bu","13:40:23",237900
49.35,0.15,200,"bu","13:39:53",237400
49.3,0.1,300,"sd","13:39:45",237200
49.35,0.15,300,"bu","13:39:24",236900
49.35,0.15,500,"bu","13:35:44",236600
49.35,0.15,100,"sd","13:34:34",236100
49.35,0.15,200,"sd","13:34:12",236000
49.35,0.15,200,"bu","13:34:05",235800
49.35,0.15,300,"sd","13:33:36",235600
49.35,0.15,3000,"sd","13:32:57",235300
49.35,0.15,400,"sd","13:32:17",232300
49.3,0.1,1700,"sd","13:31:41",231900
49.35,0.15,100,"sd","13:30:43",230200
49.4,0.2,300,"sd","13:29:24",230100
49.4,0.2,200,"sd","13:29:03",229800
49.4,0.2,500,"sd","13:28:51",229600
49.45,0.25,500,"bu","13:26:53",229100
49.45,0.25,100,"bu","13:24:35",228600
49.35,0.15,8300,"bu","13:23:24",228500
49.3,0.1,500,"sd","13:22:41",220200
49.3,0.1,500,"sd","13:21:14",219700
49.3,0.1,100,"bu","13:19:33",219200
49.3,0.1,300,"sd","13:18:53",219100
49.3,0.1,1100,"sd","13:17:36",218800
49.3,0.1,100,"sd","13:17:35",217700
49.3,0.1,400,"bu","13:16:51",217600
49.25,0.05,300,"sd","13:16:15",217200
49.2,0,300,"sd","13:14:53",216900
49.25,0.05,1000,"sd","13:14:53",216600
49.2,0,1000,"sd","13:11:18",215600
49.2,0,1300,"sd","13:10:57",214600
49.2,0,400,"sd","13:09:46",213300
49.2,0,3600,"sd","13:09:32",212900
49.25,0.05,200,"sd","13:09:32",209300
49.3,0.1,1000,"sd","13:08:27",209100
49.35,0.15,2500,"sd","13:06:28",208100
49.4,0.2,100,"sd","13:06:28",205600
49.4,0.2,100,"sd","13:04:31",205500
49.4,0.2,100,"sd","13:02:18",205400
49.4,0.2,1000,"sd","13:02:05",205300
49.4,0.2,3000,"sd","13:00:18",204300
49.4,0.2,900,"sd","11:29:13",201300
49.4,0.2,400,"sd","11:21:04",200400
49.4,0.2,2000,"sd","11:20:44",200000
49.4,0.2,500,"sd","11:19:46",198000
49.45,0.25,800,"sd","11:06:41",197500
49.45,0.25,100,"sd","11:05:29",196700
49.45,0.25,9500,"sd","11:04:23",196600
49.5,0.3,6400,"sd","11:03:31",186600
49.55,0.35,400,"sd","11:03:31",180200
49.55,0.35,500,"sd","11:00:47",179800
49.55,0.35,1000,"sd","10:58:42",179300
49.55,0.35,1200,"sd","10:58:26",178300
49.55,0.35,500,"sd","10:56:30",177100
49.55,0.35,5000,"sd","10:54:04",176600
49.55,0.35,2000,"sd","10:53:33",171600
49.55,0.35,200,"sd","10:51:45",169600
49.55,0.35,300,"sd","10:49:32",169400
49.65,0.45,100,"sd","10:48:13",169100
49.65,0.45,500,"sd","10:46:33",169000
49.65,0.45,100,"sd","10:46:00",168500
49.65,0.45,1500,"sd","10:45:55",168400
49.65,0.45,4300,"bu","10:43:27",166900
49.65,0.45,1200,"bu","10:41:38",162600
49.65,0.45,2000,"bu","10:40:00",161400
49.55,0.35,400,"sd","10:39:45",159400
49.6,0.4,7000,"bu","10:39:45",159000
49.6,0.4,1000,"bu","10:38:58",152000
49.6,0.4,200,"bu","10:38:15",151000
49.6,0.4,100,"bu","10:38:01",150800
49.6,0.4,300,"bu","10:37:03",150700
49.6,0.4,100,"bu","10:35:11",150400
49.6,0.4,100,"bu","10:34:41",150300
49.55,0.35,400,"sd","10:32:48",150200
49.55,0.35,100,"bu","10:32:42",149800
49.55,0.35,100,"bu","10:32:29",149700
49.55,0.35,300,"bu","10:32:10",149600
49.6,0.4,100,"bu","10:31:24",149300
49.55,0.35,200,"bu","10:30:59",148400
49.5,0.3,100,"sd","10:30:41",148200
49.5,0.3,300,"sd","10:30:38",148100
49.55,0.35,1000,"bu","10:30:29",147800
49.5,0.3,500,"sd","10:30:24",146800
49.5,0.3,500,"bu","10:28:49",146300
49.5,0.3,600,"sd","10:28:33",145800
49.6,0.4,100,"bu","10:28:21",145200
49.5,0.3,100,"bu","10:28:11",145100
49.5,0.3,300,"bu","10:27:48",145000
49.5,0.3,100,"bu","10:27:47",144700
49.5,0.3,5000,"bu","10:27:33",144600
49.5,0.3,500,"bu","10:25:09",139600
49.5,0.3,2500,"sd","10:23:42",139100
49.5,0.3,1500,"sd","10:22:59",136600
49.5,0.3,1000,"bu","10:22:01",135100
49.5,0.3,4000,"sd","10:21:43",134100
49.5,0.3,200,"sd","10:21:43",130100
49.5,0.3,1600,"bu","10:21:15",129900
49.5,0.3,1000,"bu","10:21:04",128300
49.5,0.3,1500,"bu","10:20:24",127300
49.5,0.3,1000,"bu","10:17:31",125800
49.5,0.3,1000,"bu","10:16:48",124800
49.5,0.3,1300,"bu","10:16:15",123800
49.5,0.3,100,"bu","10:15:33",122500
49.5,0.3,9400,"bu","10:11:57",122400
49.3,0.1,6500,"sd","10:10:54",113000
49.4,0.2,3500,"sd","10:10:54",106500
49.45,0.25,5000,"sd","10:10:37",103000
49.45,0.25,100,"sd","10:10:14",98000
49.5,0.3,100,"bu","10:09:34",97900
49.5,0.3,100,"bu","10:09:25",97800
49.5,0.3,2500,"bu","10:08:35",97700
49.5,0.3,100,"bu","10:06:18",95200
49.45,0.25,700,"sd","10:05:32",95100
49.5,0.3,5000,"bu","10:04:11",94400
49.5,0.3,3200,"sd","10:04:02",89400
49.55,0.35,100,"sd","10:03:57",86200
49.5,0.3,400,"sd","10:03:33",86100
49.5,0.3,400,"sd","10:03:27",85700
49.5,0.3,400,"sd","10:03:15",85300
49.6,0.4,3000,"bu","10:03:15",84900
49.5,0.3,300,"sd","10:03:09",81900
49.5,0.3,300,"bu","10:02:50",81600
49.5,0.3,200,"sd","10:02:47",81300
49.5,0.3,100,"sd","10:02:36",81100
49.5,0.3,1000,"bu","10:02:14",81000
49.45,0.25,600,"bu","10:02:08",80000
49.45,0.25,1700,"bu","10:02:07",79400
49.45,0.25,1000,"bu","10:02:07",77700
49.45,0.25,2700,"bu","10:01:45",76700
49.4,0.2,4900,"bu","10:01:45",74000
49.35,0.15,2400,"bu","10:01:45",69100
49.35,0.15,100,"bu","10:01:44",66700
49.35,0.15,300,"bu","10:01:42",66600
49.35,0.15,200,"sd","10:01:27",66300
49.3,0.1,2000,"sd","10:01:08",66100
49.3,0.1,300,"sd","10:00:42",64100
49.3,0.1,500,"bu","10:00:30",63800
49.3,0.1,100,"bu","10:00:26",63300
49.3,0.1,700,"bu","10:00:02",63200
49.2,0,500,"sd","09:59:15",62500
49.3,0.1,1000,"bu","09:57:31",62000
49.3,0.1,300,"bu","09:57:11",61000
49.2,0,400,"sd","09:56:14",60700
49.3,0.1,3700,"sd","09:53:09",60300
49.35,0.15,800,"sd","09:53:09",56600
49.35,0.15,200,"bu","09:53:07",55800
49.35,0.15,400,"bu","09:52:10",55600
49.3,0.1,1000,"sd","09:50:04",55200
49.35,0.15,500,"sd","09:49:57",54200
49.35,0.15,400,"sd","09:49:24",53700
49.35,0.15,1500,"sd","09:49:20",53300
49.35,0.15,1700,"sd","09:49:05",51800
49.35,0.15,200,"sd","09:48:52",50100
