"price","change","match_qtty","side","time","total_vol"
8,0,2000,"","14:45:01",106500
8.1,0.1,400,"sd","14:24:45",104500
8,0,1800,"sd","14:21:11",104100
8.1,0.1,800,"sd","14:18:40",102300
8.1,0.1,1500,"sd","14:16:16",101500
8.2,0.2,4000,"bu","14:15:42",100000
8,0,1200,"sd","14:15:25",96000
8.1,0.1,1000,"sd","14:08:01",94800
8.1,0.1,1700,"sd","14:02:57",93800
8.1,0.1,1800,"sd","13:57:16",92100
8.1,0.1,1000,"sd","13:49:23",90300
8.1,0.1,400,"sd","13:47:37",89300
8,0,1200,"sd","13:42:35",88900
8.1,0.1,1100,"sd","13:42:29",87700
8.1,0.1,1200,"sd","13:38:06",86600
8.1,0.1,100,"sd","13:36:52",85400
8.1,0.1,1300,"bu","13:36:35",85300
8.1,0.1,1500,"sd","13:35:50",84000
8.1,0.1,1200,"sd","13:29:26",82500
8,0,1300,"sd","13:23:15",81300
8.1,0.1,1200,"sd","13:23:05",80000
8.1,0.1,1100,"sd","13:20:05",78800
8,0,1500,"sd","13:18:36",77700
8.1,0.1,500,"sd","13:18:21",76200
8.1,0.1,1600,"sd","13:14:08",75700
8,0,800,"sd","13:12:19",74100
8.1,0.1,1900,"sd","13:09:51",73300
8.1,0.1,1200,"sd","13:09:03",71400
8.1,0.1,1700,"sd","13:05:27",70200
8.1,0.1,1500,"sd","11:22:41",68500
8,0,1400,"sd","11:13:39",67000
8.1,0.1,1200,"sd","11:11:33",65600
8.1,0.1,1000,"sd","11:06:05",64400
8,0,1300,"sd","11:03:15",63400
8.1,0.1,1800,"sd","11:02:42",62100
8.1,0.1,500,"sd","10:58:57",60300
8,0,800,"sd","10:58:44",59800
8.1,0.1,700,"sd","10:58:30",59000
8.1,0.1,1500,"sd","10:57:30",58300
8.1,0.1,1300,"sd","10:56:44",56800
8,0,500,"sd","10:55:10",55500
8.1,0.1,1700,"sd","10:49:11",55000
8.1,0.1,1400,"sd","10:48:57",53300
8,0,1000,"sd","10:47:03",51900
8.1,0.1,1100,"sd","10:46:56",50900
8.1,0.1,1900,"sd","10:46:45",49800
8.1,0.1,1200,"sd","10:36:44",47900
8.1,0.1,1400,"sd","10:31:44",46700
8,0,2400,"sd","10:29:47",45300
8.1,0.1,1200,"sd","10:23:48",42900
8,0,1400,"sd","10:20:41",41700
8.1,0.1,1400,"sd","10:16:27",40300
8.1,0.1,1600,"sd","10:12:19",38900
8.1,0.1,1800,"sd","10:05:58",37300
8.1,0.1,1400,"sd","09:59:52",35500
8.1,0.1,2000,"sd","09:55:08",34100
8.1,0.1,1300,"sd","09:55:01",32100
8.1,0.1,4200,"sd","09:54:54",30800
8.1,0.1,3600,"sd","09:53:12",26600
8.1,0.1,5000,"sd","09:52:50",23000
8.1,0.1,1300,"sd","09:43:29",18000
8.1,0.1,1800,"sd","09:43:23",16700
8,0,2600,"sd","09:38:19",14900
8.1,0.1,1000,"sd","09:37:51",12300
8,0,1300,"sd","09:29:02",11300
8.1,0.1,1000,"sd","09:23:16",10000
8.1,0.1,1800,"sd","09:20:08",9000
8,0,1100,"sd","09:18:58",7200
8.1,0.1,1300,"sd","09:17:16",6100
8.1,0.1,1200,"sd","09:16:52",4800
8.1,0.1,2000,"sd","09:15:20",3600
8.1,0.1,1500,"sd","09:14:54",1600
8.1,0.1,100,"bu","09:00:01",100
