"price","change","match_qtty","side","time","total_vol"
0.6,0.1,100,"bu","15:00:02",337700
0.6,0.1,100,"bu","14:59:28",337600
0.6,0.1,100,"bu","14:58:36",337500
0.5,0,13600,"sd","14:58:15",337400
0.6,0.1,100,"bu","14:57:58",323800
0.5,0,28800,"sd","14:57:30",323700
0.5,0,100,"sd","14:55:44",294900
0.6,0.1,500,"bu","14:53:24",294800
0.6,0.1,900,"bu","14:48:21",294300
0.5,0,1000,"sd","14:37:35",293400
0.6,0.1,100,"bu","14:31:16",292400
0.6,0.1,100,"bu","14:29:14",292300
0.5,0,500,"sd","14:29:08",292200
0.6,0.1,10000,"bu","14:26:02",291700
0.6,0.1,100,"bu","14:24:25",281700
0.5,0,100,"sd","14:22:45",281600
0.6,0.1,100,"bu","14:19:53",281500
0.5,0,3100,"sd","14:10:29",281400
0.5,0,100,"sd","14:05:28",278300
0.5,0,100,"sd","14:02:27",278200
0.5,0,100,"sd","13:57:28",278100
0.5,0,100000,"sd","13:57:15",278000
0.5,0,40000,"sd","13:56:21",178000
0.5,0,100,"sd","13:53:50",138000
0.5,0,100,"sd","13:53:07",137900
0.5,0,4000,"sd","13:44:54",137800
0.5,0,60000,"sd","13:41:33",133800
0.5,0,4500,"sd","13:30:43",73800
0.5,0,2000,"sd","13:21:38",69300
0.5,0,100,"sd","13:06:49",67300
0.5,0,100,"sd","13:00:02",67200
0.5,0,1000,"sd","11:19:06",67100
0.5,0,100,"sd","11:13:04",66100
0.5,0,35400,"sd","11:11:54",66000
0.6,0.1,100,"bu","10:49:57",30600
0.6,0.1,20200,"bu","10:23:23",30500
0.6,0.1,400,"bu","10:03:47",10300
0.6,0.1,2700,"bu","09:40:19",9900
0.5,0,500,"sd","09:38:20",7200
0.5,0,4500,"sd","09:38:09",6700
0.5,0,100,"sd","09:31:29",2200
0.6,0.1,1000,"bu","09:23:39",2100
0.6,0.1,100,"bu","09:17:27",1100
0.5,0,1000,"sd","09:00:03",1000
