"price","change","match_qtty","side","time","total_vol"
5.5,0,1000,"","15:00:01",303900
5.5,0,500,"bu","14:59:50",302900
5.5,0,500,"bu","14:58:19",302400
5.5,0,1000,"bu","14:57:26",301900
5.5,0,100,"bu","14:57:08",300900
5.5,0,5000,"bu","14:53:23",300800
5.5,0,1000,"bu","14:52:54",295800
5.5,0,1000,"bu","14:52:42",294800
5.5,0,200,"bu","14:48:00",293800
5.5,0,1000,"bu","14:46:04",293600
5.4,-0.1,3800,"sd","14:44:17",292600
5.5,0,1000,"bu","14:43:34",288800
5.5,0,1000,"bu","14:43:24",287800
5.5,0,900,"bu","14:43:08",286800
5.5,0,900,"bu","14:42:31",285900
5.5,0,100,"bu","14:38:06",285000
5.5,0,500,"sd","14:27:49",284900
5.5,0,1000,"sd","14:27:33",284400
5.6,0.1,100,"bu","14:26:41",283400
5.5,0,200,"sd","14:26:28",283300
5.5,0,2000,"sd","14:25:23",283100
5.5,0,800,"sd","14:24:52",281100
5.5,0,600,"sd","14:21:21",280300
5.5,0,400,"bu","14:21:20",279700
5.5,0,100,"bu","14:21:16",279300
5.5,0,900,"bu","14:20:11",279200
5.5,0,5000,"bu","14:19:59",278300
5.5,0,1000,"bu","14:19:34",273300
5.5,0,600,"bu","14:19:33",272300
5.5,0,5000,"bu","14:18:37",271700
5.5,0,900,"bu","14:18:11",266700
5.5,0,100,"bu","14:17:27",265800
5.5,0,600,"sd","14:14:39",265700
5.5,0,400,"sd","14:14:15",265100
5.5,0,2000,"bu","14:11:44",264700
5.5,0,2000,"bu","14:10:51",262700
5.5,0,3000,"bu","14:07:00",260700
5.5,0,100,"bu","13:58:41",257700
5.5,0,1000,"","13:56:53",257600
5.5,0,5000,"bu","13:55:53",256600
5.5,0,6900,"bu","13:54:26",251600
5.5,0,100,"sd","13:53:48",244700
5.5,0,1900,"sd","13:52:31",244600
5.5,0,500,"sd","13:51:42",242700
5.5,0,200,"sd","13:46:17",242200
5.5,0,800,"sd","13:44:16",242000
5.5,0,100,"sd","13:44:01",241200
5.5,0,500,"bu","13:43:57",241100
5.5,0,100,"bu","13:43:49",240600
5.5,0,1000,"bu","13:43:43",240500
5.5,0,3000,"bu","13:43:32",239500
5.5,0,2000,"bu","13:40:46",236500
5.5,0,100,"bu","13:40:13",234500
5.5,0,1000,"bu","13:38:52",234400
5.5,0,1800,"bu","13:34:55",233400
5.5,0,300,"bu","13:32:59",231600
5.5,0,100,"bu","13:32:18",231300
5.5,0,200,"bu","13:31:38",231200
5.5,0,400,"bu","13:30:32",231000
5.5,0,400,"bu","13:29:12",230600
5.5,0,500,"bu","13:28:22",230200
5.5,0,100,"bu","13:28:05",229700
5.4,-0.1,41800,"sd","13:27:50",229600
5.4,-0.1,10000,"sd","13:26:23",187800
5.5,0,1000,"bu","13:25:56",177800
5.5,0,4000,"bu","13:25:43",176800
5.5,0,1000,"bu","13:25:13",172800
5.5,0,600,"bu","13:25:04",171800
5.5,0,100,"bu","13:23:40",171200
5.5,0,2000,"bu","13:22:05",171100
5.5,0,100,"bu","13:21:22",169100
5.5,0,100,"bu","13:17:56",169000
5.5,0,100,"bu","13:16:37",168900
5.5,0,3000,"sd","13:13:44",168800
5.5,0,900,"sd","13:13:34",165800
5.5,0,4000,"sd","13:13:09",164900
5.5,0,500,"sd","13:10:06",160900
5.5,0,12000,"sd","13:08:21",160400
5.5,0,3000,"sd","13:06:34",148400
5.5,0,200,"sd","13:00:06",145400
5.5,0,3700,"sd","13:00:03",145200
5.6,0.1,100,"bu","11:19:43",141500
5.5,0,500,"sd","11:15:31",141400
5.5,0,10000,"sd","11:14:04",140900
5.5,0,5000,"sd","11:13:41",130900
5.5,0,500,"sd","11:12:21",125900
5.5,0,7000,"sd","11:12:04",125400
5.6,0.1,200,"bu","11:03:08",118400
5.5,0,2000,"sd","10:57:29",118200
5.5,0,500,"sd","10:57:00",116200
5.5,0,40000,"sd","10:56:37",115700
5.5,0,5000,"sd","10:52:28",75700
5.6,0.1,300,"bu","10:37:11",70700
5.6,0.1,500,"bu","10:27:21",70400
5.6,0.1,1000,"bu","10:16:17",69900
5.6,0.1,300,"bu","10:15:20",68900
5.5,0,100,"sd","10:04:56",68600
5.6,0.1,2000,"bu","09:55:09",68500
5.6,0.1,1000,"bu","09:53:08",66500
5.6,0.1,3000,"bu","09:51:21",65500
5.5,0,10000,"sd","09:49:12",62500
5.6,0.1,300,"bu","09:48:09",52500
5.6,0.1,100,"bu","09:48:05",52200
5.6,0.1,500,"bu","09:47:54",52100
5.6,0.1,4700,"bu","09:47:24",51600
5.5,0,2000,"sd","09:46:18",46900
5.5,0,500,"sd","09:43:03",44900
5.5,0,6300,"sd","09:38:56",44400
5.5,0,1100,"sd","09:34:08",38100
5.6,0.1,100,"bu","09:33:19",37000
5.6,0.1,500,"bu","09:31:47",36900
5.6,0.1,200,"bu","09:27:38",36400
5.6,0.1,100,"bu","09:26:40",36200
5.7,0.2,2100,"bu","09:24:38",36100
5.6,0.1,100,"bu","09:23:57",34000
5.6,0.1,5000,"bu","09:21:04",33900
5.6,0.1,100,"bu","09:19:34",28900
5.6,0.1,100,"bu","09:15:09",28800
5.6,0.1,5000,"bu","09:11:26",28700
5.6,0.1,500,"bu","09:10:06",23700
5.6,0.1,500,"bu","09:08:57",23200
5.6,0.1,6000,"bu","09:08:14",22700
5.6,0.1,11000,"bu","09:08:06",16700
5.6,0.1,5000,"bu","09:07:20",5700
5.6,0.1,200,"bu","09:06:12",700
5.6,0.1,500,"bu","09:00:13",500
