"price","change","match_qtty","side","time","total_vol"
9.2,-0.2,14000,"","14:45:02",148200
9.3,-0.1,600,"bu","14:26:28",134200
9.3,-0.1,400,"bu","14:25:32",133600
9.3,-0.1,4000,"bu","14:25:15",133200
9.3,-0.1,4000,"","14:20:01",129200
9.3,-0.1,1000,"bu","14:19:23",125200
9.3,-0.1,400,"","14:12:29",124200
9.3,-0.1,1200,"sd","14:11:39",123800
9.3,-0.1,2600,"sd","14:10:59",122600
9.3,-0.1,800,"sd","13:50:01",120000
9.4,0,200,"bu","13:41:10",119200
9.3,-0.1,100,"sd","13:39:13",119000
9.3,-0.1,1000,"sd","13:37:54",118900
9.3,-0.1,100,"sd","13:37:52",117900
9.3,-0.1,100,"sd","13:37:14",117800
9.3,-0.1,5000,"sd","13:30:00",117700
9.3,-0.1,1800,"sd","13:21:12",112700
9.3,-0.1,100,"","13:12:21",110900
9.3,-0.1,2000,"bu","13:10:51",110800
9.3,-0.1,2000,"bu","13:07:17",108800
9.3,-0.1,100,"bu","13:03:51",106800
9.3,-0.1,1000,"bu","13:00:06",106700
9.3,-0.1,8000,"bu","13:00:03",105700
9.3,-0.1,500,"bu","11:23:11",97700
9.3,-0.1,200,"bu","11:11:36",97200
9.3,-0.1,100,"bu","11:11:07",97000
9.3,-0.1,14200,"sd","11:09:58",96900
9.3,-0.1,500,"sd","11:05:51",82700
9.3,-0.1,3100,"sd","10:58:07",82200
9.4,0,100,"bu","10:44:36",79100
9.4,0,2400,"bu","10:30:09",79000
9.4,0,500,"bu","10:29:31",76600
9.4,0,500,"bu","10:26:49",76100
9.4,0,4000,"bu","10:26:23",75600
9.4,0,2500,"bu","10:26:20",71600
9.3,-0.1,1000,"sd","10:23:19",69100
9.4,0,1500,"bu","10:16:24",68100
9.4,0,100,"bu","10:14:18",66600
9.4,0,3200,"bu","10:13:59",66500
9.4,0,10000,"bu","10:07:59",63300
9.4,0,100,"","09:58:09",53300
9.4,0,1400,"bu","09:56:51",53200
9.3,-0.1,1500,"sd","09:45:11",51800
9.5,0.1,10000,"bu","09:43:50",50300
9.4,0,4700,"bu","09:43:44",40300
9.4,0,100,"bu","09:41:15",35600
9.4,0,2700,"bu","09:39:17",35500
9.4,0,100,"sd","09:38:31",32800
9.4,0,2000,"sd","09:36:04",32700
9.4,0,1000,"sd","09:35:39",30700
9.4,0,500,"sd","09:35:29",29700
9.4,0,1000,"sd","09:34:59",28200
9.4,0,2000,"sd","09:30:31",27200
9.4,0,1000,"bu","09:29:26",25200
9.4,0,500,"bu","09:28:56",24200
9.4,0,1000,"bu","09:27:03",23700
9.4,0,1000,"sd","09:24:53",22700
9.4,0,2500,"sd","09:22:59",21700
9.4,0,1000,"sd","09:22:34",19200
9.4,0,100,"sd","09:22:23",18200
9.4,0,1000,"sd","09:20:43",18100
9.4,0,200,"sd","09:20:16",17100
9.4,0,100,"sd","09:16:31",16900
9.4,0,1000,"sd","09:16:23",16800
9.4,0,2000,"sd","09:15:29",15800
9.4,0,2000,"sd","09:12:25",13800
9.4,0,1000,"sd","09:10:55",11800
9.4,0,1000,"sd","09:09:58",10800
9.4,0,100,"bu","09:09:47",9800
9.4,0,2000,"bu","09:09:34",9700
9.4,0,1000,"sd","09:05:13",7700
9.4,0,4000,"sd","09:04:53",6700
9.5,0.1,2600,"bu","09:04:44",2700
9.5,0.1,100,"bu","09:04:38",100
