"price","change","match_qtty","side","time","total_vol"
21.55,-0.1,1000,"sd","14:27:56",28400
21.55,-0.1,1600,"sd","14:19:53",27400
21.5,-0.15,5800,"sd","13:53:34",25800
21.5,-0.15,200,"sd","13:53:34",20000
21.55,-0.1,200,"sd","13:50:26",19800
21.6,-0.05,300,"sd","13:42:51",19600
21.6,-0.05,700,"bu","13:42:44",19300
21.5,-0.15,1000,"sd","13:40:43",18600
21.5,-0.15,700,"sd","13:21:35",17600
21.6,-0.05,300,"bu","13:18:47",16900
21.6,-0.05,1000,"bu","13:11:32",16600
21.5,-0.15,1300,"sd","10:54:47",15600
21.7,0.05,700,"bu","10:43:15",14300
21.7,0.05,100,"bu","10:42:27",13600
21.65,0,100,"bu","10:42:27",13500
21.65,0,100,"bu","10:42:27",13400
21.6,-0.05,100,"sd","10:41:51",13300
21.7,0.05,500,"sd","10:32:49",13200
21.7,0.05,200,"sd","10:32:07",12700
21.7,0.05,1000,"bu","10:31:44",12500
21.65,0,300,"bu","10:31:44",11500
21.6,-0.05,200,"sd","10:31:37",11200
21.6,-0.05,200,"sd","10:30:15",11000
21.6,-0.05,200,"sd","10:29:53",10800
21.6,-0.05,300,"sd","10:26:47",10600
21.6,-0.05,300,"sd","10:24:39",10300
21.5,-0.15,200,"sd","10:18:34",10000
21.5,-0.15,4500,"sd","09:50:34",9800
21.5,-0.15,2000,"sd","09:49:26",5300
21.6,-0.05,100,"sd","09:49:26",3300
21.75,0.1,400,"sd","09:49:22",3200
21.75,0.1,500,"sd","09:46:21",2800
21.7,0.05,1000,"sd","09:41:56",2300
21.7,0.05,500,"sd","09:33:09",1300
21.7,0.05,700,"bu","09:25:31",800
21.7,0.05,100,"sd","09:17:16",100
