"price","change","match_qtty","side","time","total_vol"
28.7,-0.25,159300,"","14:45:01",2166600
28.95,0,1000,"sd","14:29:56",2007300
29,0.05,1000,"bu","14:29:52",2006300
28.95,0,5000,"sd","14:29:47",2005300
29.05,0.1,100,"bu","14:29:36",2000300
29.05,0.1,200,"bu","14:29:31",2000200
29,0.05,4000,"sd","14:29:26",2000000
29,0.05,500,"sd","14:29:25",1996000
29,0.05,100,"sd","14:29:05",1995500
29,0.05,10000,"sd","14:29:03",1995400
29,0.05,7500,"bu","14:29:02",1985400
29,0.05,1000,"bu","14:29:01",1977900
29,0.05,21000,"bu","14:29:00",1976900
29,0.05,3000,"bu","14:28:55",1955900
29,0.05,100,"bu","14:28:11",1952900
28.95,0,500,"sd","14:27:27",1952800
29,0.05,100,"bu","14:27:10",1952300
28.95,0,1000,"sd","14:26:48",1952200
28.95,0,5400,"bu","14:26:37",1951200
28.95,0,2000,"bu","14:26:35",1945800
28.9,-0.05,7100,"sd","14:26:23",1943800
28.95,0,5000,"bu","14:26:22",1936700
28.9,-0.05,200,"sd","14:26:13",1931700
28.95,0,100,"bu","14:26:04",1931500
28.95,0,100,"bu","14:26:01",1931400
28.95,0,100,"bu","14:25:48",1931300
28.9,-0.05,2300,"sd","14:25:27",1931200
28.9,-0.05,200,"bu","14:25:23",1928900
28.9,-0.05,2000,"bu","14:25:19",1928700
28.9,-0.05,100,"bu","14:25:03",1926700
28.9,-0.05,100,"bu","14:25:03",1926600
28.9,-0.05,100,"bu","14:24:55",1926500
28.9,-0.05,200,"bu","14:24:32",1926400
28.9,-0.05,1300,"bu","14:24:29",1926200
28.9,-0.05,2800,"bu","14:24:27",1924900
28.9,-0.05,500,"bu","14:24:21",1922100
28.9,-0.05,1600,"bu","14:24:16",1921600
28.9,-0.05,5500,"bu","14:24:11",1920000
28.9,-0.05,3000,"bu","14:24:04",1914500
28.9,-0.05,100,"bu","14:24:02",1911500
28.9,-0.05,1000,"bu","14:24:01",1911400
28.9,-0.05,100,"bu","14:24:00",1910400
28.9,-0.05,200,"bu","14:23:46",1910300
28.85,-0.1,1000,"bu","14:23:15",1910100
28.85,-0.1,1000,"bu","14:23:14",1909100
28.8,-0.15,2200,"bu","14:22:54",1908100
28.8,-0.15,500,"bu","14:22:51",1905900
28.8,-0.15,2000,"bu","14:22:50",1905400
28.8,-0.15,400,"bu","14:22:49",1903400
28.8,-0.15,2000,"bu","14:22:47",1903000
28.8,-0.15,2000,"bu","14:22:43",1901000
28.8,-0.15,200,"bu","14:22:40",1899000
28.8,-0.15,300,"bu","14:22:37",1898800
28.75,-0.2,2000,"sd","14:22:33",1898500
28.75,-0.2,5400,"sd","14:22:03",1896500
28.8,-0.15,2000,"bu","14:21:57",1891100
28.8,-0.15,3000,"bu","14:21:48",1889100
28.8,-0.15,200,"bu","14:21:46",1886100
28.8,-0.15,300,"bu","14:21:37",1885900
28.75,-0.2,2000,"sd","14:21:34",1885600
28.8,-0.15,3000,"bu","14:21:33",1883600
28.8,-0.15,300,"bu","14:21:32",1880600
28.75,-0.2,800,"sd","14:21:30",1880300
28.8,-0.15,100,"bu","14:21:24",1879500
28.8,-0.15,6000,"bu","14:21:22",1879400
28.75,-0.2,1000,"sd","14:21:04",1873400
28.8,-0.15,9100,"sd","14:21:02",1872400
28.8,-0.15,5500,"sd","14:20:58",1863300
28.85,-0.1,100,"bu","14:20:50",1857800
28.85,-0.1,2000,"bu","14:20:49",1857700
28.85,-0.1,2500,"bu","14:20:17",1855700
28.8,-0.15,2000,"sd","14:20:14",1853200
28.8,-0.15,9100,"sd","14:20:06",1851200
28.9,-0.05,1000,"bu","14:19:54",1842100
28.9,-0.05,1700,"bu","14:19:42",1841100
28.8,-0.15,3400,"sd","14:19:31",1839400
28.85,-0.1,11600,"sd","14:19:31",1836000
28.9,-0.05,2000,"sd","14:19:30",1824400
28.9,-0.05,1000,"bu","14:18:53",1822400
28.85,-0.1,2000,"sd","14:18:49",1821400
28.85,-0.1,20000,"sd","14:18:17",1819400
28.85,-0.1,5000,"sd","14:18:07",1799400
28.9,-0.05,1000,"bu","14:17:36",1794400
28.85,-0.1,2000,"sd","14:17:31",1793400
28.9,-0.05,500,"bu","14:17:25",1791400
28.9,-0.05,13500,"sd","14:17:07",1790900
28.9,-0.05,1000,"sd","14:16:49",1777400
28.9,-0.05,500,"sd","14:16:32",1776400
28.9,-0.05,6000,"sd","14:16:22",1775900
28.9,-0.05,500,"sd","14:16:20",1769900
28.9,-0.05,2000,"sd","14:16:19",1769400
28.9,-0.05,7000,"sd","14:16:08",1767400
28.95,0,5000,"bu","14:16:05",1760400
28.9,-0.05,2000,"sd","14:16:03",1755400
28.9,-0.05,1900,"sd","14:15:55",1753400
28.95,0,2400,"sd","14:15:40",1751500
28.95,0,36000,"sd","14:15:37",1749100
28.95,0,2500,"sd","14:15:31",1713100
28.95,0,1000,"sd","14:15:13",1710600
28.95,0,1000,"sd","14:15:04",1709600
29,0.05,500,"bu","14:14:47",1708600
29,0.05,2000,"bu","14:14:09",1708100
29,0.05,2000,"bu","14:13:57",1706100
29,0.05,15000,"bu","14:13:18",1704100
29,0.05,500,"bu","14:13:12",1689100
28.95,0,3000,"sd","14:13:01",1688600
29,0.05,20000,"bu","14:12:55",1685600
29,0.05,500,"bu","14:12:13",1665600
28.95,0,2000,"sd","14:12:08",1665100
28.95,0,1000,"sd","14:12:02",1663100
28.95,0,300,"sd","14:11:56",1662100
28.95,0,5000,"sd","14:11:52",1661800
28.95,0,2000,"sd","14:11:48",1656800
28.95,0,500,"sd","14:11:36",1654800
28.95,0,3000,"sd","14:11:35",1654300
28.95,0,100,"sd","14:10:30",1651300
28.95,0,2000,"sd","14:10:26",1651200
29,0.05,1000,"bu","14:10:14",1649200
29,0.05,300,"bu","14:10:11",1648200
29,0.05,4300,"sd","14:10:10",1647900
29,0.05,700,"sd","14:10:03",1643600
29,0.05,7000,"bu","14:09:55",1642900
29,0.05,2000,"bu","14:09:17",1635900
29,0.05,500,"bu","14:09:11",1633900
28.95,0,1700,"sd","14:08:36",1633400
28.95,0,500,"sd","14:07:44",1631700
29,0.05,200,"sd","14:07:44",1631200
29,0.05,4800,"bu","14:07:35",1631000
29,0.05,2000,"bu","14:07:34",1626200
29,0.05,5000,"bu","14:07:26",1624200
28.95,0,4500,"sd","14:07:02",1619200
29,0.05,1500,"bu","14:06:25",1614700
29,0.05,900,"bu","14:06:23",1613200
29,0.05,500,"bu","14:06:22",1612300
29,0.05,1000,"bu","14:06:20",1611800
29,0.05,2000,"bu","14:06:17",1610800
29,0.05,2700,"bu","14:05:56",1608800
29,0.05,2000,"bu","14:05:29",1606100
29,0.05,100,"bu","14:05:21",1604100
28.95,0,100,"sd","14:04:59",1604000
28.95,0,4000,"sd","14:04:38",1603900
29,0.05,400,"bu","14:04:27",1599900
29,0.05,300,"bu","14:04:18",1599500
29,0.05,1000,"bu","14:03:25",1599200
28.95,0,300,"sd","14:03:24",1598200
29,0.05,5000,"bu","14:03:13",1597900
29,0.05,2000,"bu","14:03:07",1592900
29,0.05,2400,"bu","14:02:54",1590900
29,0.05,13000,"bu","14:02:48",1588500
28.95,0,4400,"sd","14:02:41",1575500
28.95,0,100,"sd","14:02:39",1571100
28.95,0,2200,"bu","14:01:31",1571000
28.95,0,100,"bu","14:01:27",1568800
28.95,0,100,"bu","14:01:27",1568700
28.95,0,10000,"bu","14:01:19",1568600
28.95,0,9200,"bu","14:00:57",1558600
28.95,0,1000,"bu","14:00:55",1549400
28.95,0,2000,"bu","14:00:35",1548400
28.95,0,100,"bu","14:00:31",1546400
28.95,0,100,"bu","13:58:50",1546300
28.95,0,200,"bu","13:58:46",1546200
28.9,-0.05,3000,"sd","13:58:03",1546000
28.95,0,2000,"bu","13:57:47",1543000
28.95,0,200,"bu","13:57:35",1541000
28.9,-0.05,1000,"sd","13:57:27",1540800
28.9,-0.05,3400,"sd","13:57:10",1539800
28.9,-0.05,1500,"sd","13:57:03",1536400
28.9,-0.05,1000,"sd","13:56:37",1534900
28.95,0,100,"bu","13:56:27",1533900
28.9,-0.05,100,"sd","13:56:09",1533800
28.9,-0.05,100,"sd","13:55:56",1533700
28.9,-0.05,3000,"sd","13:55:54",1533600
28.9,-0.05,100,"sd","13:54:44",1530600
28.95,0,200,"bu","13:53:53",1530500
28.9,-0.05,5000,"sd","13:53:51",1530300
28.95,0,2000,"bu","13:53:46",1525300
28.95,0,500,"bu","13:53:18",1523300
28.95,0,2200,"bu","13:53:00",1522800
28.9,-0.05,1800,"bu","13:53:00",1520600
28.9,-0.05,13200,"sd","13:52:52",1518800
28.95,0,500,"bu","13:52:45",1505600
28.95,0,2000,"bu","13:51:58",1505100
28.95,0,600,"sd","13:51:51",1503100
28.95,0,200,"bu","13:50:40",1502500
28.95,0,2000,"bu","13:50:32",1502300
28.95,0,500,"sd","13:50:26",1500300
28.95,0,4000,"bu","13:49:54",1499800
28.95,0,900,"sd","13:49:42",1495800
29,0.05,10000,"bu","13:49:30",1494900
29,0.05,9000,"bu","13:49:12",1484900
28.95,0,2600,"sd","13:49:03",1475900
29,0.05,100,"bu","13:48:45",1473300
28.95,0,5000,"sd","13:48:44",1473200
28.95,0,8200,"sd","13:48:38",1468200
28.95,0,200,"sd","13:48:32",1460000
28.95,0,5000,"sd","13:48:08",1459800
28.95,0,200,"sd","13:47:36",1454800
28.95,0,500,"sd","13:47:20",1454600
28.95,0,600,"bu","13:46:51",1454100
28.95,0,100,"bu","13:46:48",1453500
28.95,0,1000,"sd","13:46:46",1453400
28.95,0,2400,"bu","13:46:44",1452400
28.95,0,5000,"bu","13:46:42",1450000
28.95,0,100,"bu","13:46:41",1445000
28.95,0,6000,"bu","13:46:37",1444900
28.9,-0.05,200,"sd","13:46:30",1436200
28.95,0,5000,"bu","13:46:15",1436000
28.9,-0.05,2000,"sd","13:45:25",1431000
28.95,0,900,"bu","13:45:16",1429000
28.9,-0.05,1000,"sd","13:44:55",1428100
28.9,-0.05,200,"sd","13:44:41",1427100
28.9,-0.05,1000,"sd","13:44:23",1426900
28.9,-0.05,1800,"sd","13:44:16",1425900
28.9,-0.05,500,"sd","13:43:32",1424100
28.9,-0.05,100,"sd","13:43:22",1423600
28.9,-0.05,6700,"sd","13:42:13",1423500
28.95,0,100,"bu","13:42:00",1416800
28.9,-0.05,500,"sd","13:41:40",1416700
28.95,0,1600,"sd","13:41:38",1416200
28.95,0,500,"bu","13:40:33",1414600
28.95,0,500,"bu","13:40:22",1414100
28.9,-0.05,8500,"sd","13:40:19",1413600
28.95,0,2500,"bu","13:40:04",1405100
28.95,0,3000,"bu","13:39:09",1402600
28.95,0,11500,"sd","13:39:01",1399600
28.95,0,1000,"sd","13:38:58",1388100
28.95,0,400,"sd","13:38:46",1387100
28.95,0,100,"sd","13:38:40",1386700
28.95,0,10000,"sd","13:38:28",1386600
28.95,0,2300,"sd","13:38:23",1376600
28.95,0,7700,"sd","13:38:22",1374300
28.95,0,4000,"sd","13:38:04",1366600
28.95,0,300,"sd","13:37:56",1362600
28.95,0,3000,"sd","13:37:49",1362300
28.95,0,2000,"sd","13:37:28",1359300
28.95,0,13300,"sd","13:37:27",1357300
28.95,0,1500,"sd","13:36:05",1344000
28.95,0,1500,"sd","13:35:25",1342500
29,0.05,2000,"bu","13:35:18",1341000
28.95,0,2000,"sd","13:34:48",1339000
28.95,0,1000,"sd","13:33:45",1337000
29,0.05,2500,"bu","13:33:39",1336000
29,0.05,6000,"sd","13:32:53",1333500
29,0.05,1000,"sd","13:32:46",1327500
29,0.05,300,"sd","13:32:42",1326500
29,0.05,5000,"sd","13:32:28",1326200
29,0.05,2600,"sd","13:32:21",1321200
29,0.05,100,"sd","13:32:03",1318600
29,0.05,500,"bu","13:31:52",1318500
29,0.05,1500,"sd","13:31:44",1318000
29,0.05,200,"sd","13:31:44",1316500
29,0.05,600,"sd","13:31:43",1316300
29,0.05,900,"sd","13:31:41",1315700
29,0.05,3400,"bu","13:31:24",1314800
29,0.05,1000,"bu","13:31:15",1311400
29,0.05,2600,"sd","13:31:08",1310400
29,0.05,2500,"sd","13:31:07",1307800
29,0.05,15300,"bu","13:31:04",1305300
29,0.05,500,"bu","13:30:54",1290000
29,0.05,500,"bu","13:30:49",1289500
28.95,0,5000,"sd","13:30:45",1289000
28.95,0,100,"sd","13:30:17",1284000
28.95,0,9300,"bu","13:30:07",1283900
28.95,0,10000,"bu","13:29:58",1274600
28.95,0,500,"bu","13:29:21",1264600
28.95,0,500,"bu","13:29:03",1264100
28.95,0,500,"bu","13:29:03",1263600
28.95,0,2000,"bu","13:28:53",1263100
28.9,-0.05,7400,"bu","13:28:12",1261100
28.9,-0.05,500,"bu","13:28:09",1253700
28.9,-0.05,500,"bu","13:28:07",1253200
28.9,-0.05,100,"bu","13:28:06",1252700
28.9,-0.05,100,"bu","13:28:05",1252600
28.9,-0.05,200,"bu","13:28:00",1252500
28.9,-0.05,3300,"sd","13:27:44",1252300
28.9,-0.05,100,"bu","13:27:34",1249000
28.9,-0.05,1000,"bu","13:27:34",1248900
28.9,-0.05,200,"bu","13:27:32",1247900
28.9,-0.05,1000,"bu","13:27:29",1247700
28.9,-0.05,100,"bu","13:27:27",1246700
28.9,-0.05,2000,"bu","13:27:26",1246600
28.9,-0.05,500,"bu","13:27:22",1244600
28.9,-0.05,1500,"bu","13:27:16",1244100
28.9,-0.05,1000,"bu","13:26:49",1242600
28.9,-0.05,1300,"bu","13:26:37",1241600
28.9,-0.05,2600,"sd","13:26:35",1240300
28.9,-0.05,5000,"sd","13:26:32",1237700
28.9,-0.05,3800,"bu","13:26:02",1232700
28.9,-0.05,5000,"bu","13:25:51",1228900
28.9,-0.05,1100,"bu","13:25:48",1223900
28.85,-0.1,1500,"sd","13:25:38",1222800
28.85,-0.1,8000,"bu","13:25:21",1221300
28.8,-0.15,2700,"sd","13:25:05",1213300
28.8,-0.15,1200,"bu","13:24:59",1210600
28.8,-0.15,100,"sd","13:24:55",1209400
28.8,-0.15,200,"sd","13:24:54",1209300
28.8,-0.15,400,"sd","13:24:53",1209100
28.8,-0.15,100,"sd","13:24:48",1208700
28.8,-0.15,500,"bu","13:24:42",1208600
28.8,-0.15,1500,"sd","13:24:38",1208100
28.8,-0.15,1500,"bu","13:24:31",1206600
28.8,-0.15,18700,"sd","13:24:29",1205100
28.85,-0.1,500,"bu","13:24:18",1186400
28.85,-0.1,25000,"sd","13:24:12",1185900
28.85,-0.1,6900,"sd","13:24:11",1160900
28.9,-0.05,10000,"bu","13:24:10",1154000
28.9,-0.05,100,"bu","13:24:07",1144000
28.9,-0.05,5000,"bu","13:24:05",1143900
28.9,-0.05,10000,"bu","13:24:00",1138900
28.9,-0.05,1000,"bu","13:23:38",1128900
28.9,-0.05,11600,"sd","13:23:34",1127900
28.9,-0.05,2000,"sd","13:23:23",1116300
28.9,-0.05,8100,"bu","13:23:16",1114300
28.9,-0.05,11900,"sd","13:22:50",1106200
