"price","change","match_qtty","side","time","total_vol"
28,-0.6,1021600,"","14:45:03",14453300
27.8,-0.8,1000,"sd","14:29:54",13431700
27.8,-0.8,10000,"sd","14:29:49",13430700
27.85,-0.75,100,"bu","14:29:48",13420700
27.8,-0.8,1000,"sd","14:29:47",13420600
27.8,-0.8,20000,"sd","14:29:45",13419600
27.8,-0.8,4000,"sd","14:29:44",13399600
27.8,-0.8,100,"sd","14:29:42",13395600
27.85,-0.75,4700,"bu","14:29:39",13395500
27.8,-0.8,500,"sd","14:29:37",13390800
27.85,-0.75,200,"bu","14:29:37",13390300
27.85,-0.75,29700,"sd","14:29:35",13390100
27.85,-0.75,200,"sd","14:29:32",13360400
27.85,-0.75,100,"sd","14:29:31",13360200
27.85,-0.75,1000,"sd","14:29:30",13360100
27.85,-0.75,4200,"sd","14:29:29",13359100
27.85,-0.75,1500,"sd","14:29:26",13354900
27.85,-0.75,1000,"sd","14:29:25",13353400
27.85,-0.75,600,"sd","14:29:24",13352400
27.85,-0.75,10700,"bu","14:29:23",13351800
27.8,-0.8,1000,"sd","14:29:23",13341100
27.85,-0.75,1000,"bu","14:29:19",13340100
27.85,-0.75,10000,"bu","14:29:15",13339100
27.8,-0.8,1800,"sd","14:29:14",13329100
27.85,-0.75,1000,"bu","14:29:11",13327300
27.85,-0.75,100,"bu","14:29:05",13326300
27.85,-0.75,14100,"sd","14:29:05",13326200
27.85,-0.75,100,"sd","14:29:03",13312100
27.85,-0.75,3000,"sd","14:29:02",13312000
27.85,-0.75,2000,"sd","14:28:59",13309000
27.85,-0.75,1000,"sd","14:28:52",13307000
27.85,-0.75,100,"sd","14:28:51",13306000
27.85,-0.75,3000,"sd","14:28:47",13305900
27.85,-0.75,200,"sd","14:28:45",13302900
27.85,-0.75,300,"bu","14:28:32",13302700
27.85,-0.75,2700,"sd","14:28:30",13302400
27.85,-0.75,11600,"sd","14:28:27",13299700
27.85,-0.75,10000,"sd","14:28:26",13288100
27.85,-0.75,500,"sd","14:28:24",13278100
27.85,-0.75,1000,"sd","14:28:23",13277600
27.85,-0.75,2000,"sd","14:28:22",13276600
27.85,-0.75,22300,"bu","14:28:18",13274600
27.85,-0.75,3000,"bu","14:28:09",13252300
27.85,-0.75,500,"bu","14:28:07",13249300
27.85,-0.75,5200,"bu","14:28:05",13248800
27.85,-0.75,40000,"bu","14:28:01",13243600
27.8,-0.8,1000,"sd","14:27:59",13203600
27.85,-0.75,2000,"bu","14:27:57",13202600
27.8,-0.8,200,"sd","14:27:54",13200600
27.85,-0.75,200,"bu","14:27:52",13200400
27.85,-0.75,1000,"bu","14:27:50",13200200
27.85,-0.75,500,"bu","14:27:40",13199200
27.8,-0.8,3000,"sd","14:27:36",13198700
27.8,-0.8,5000,"sd","14:27:31",13195700
27.85,-0.75,1000,"bu","14:27:28",13190700
27.85,-0.75,3500,"bu","14:27:27",13189700
27.8,-0.8,1000,"sd","14:27:23",13186200
27.85,-0.75,2000,"bu","14:27:21",13185200
27.8,-0.8,900,"sd","14:27:17",13183200
27.85,-0.75,1000,"bu","14:27:15",13182300
27.85,-0.75,400,"bu","14:27:12",13181300
27.8,-0.8,1100,"sd","14:27:07",13180900
27.85,-0.75,20000,"bu","14:27:05",13179800
27.85,-0.75,400,"bu","14:26:59",13159800
27.8,-0.8,800,"sd","14:26:55",13159400
27.85,-0.75,200,"sd","14:26:50",13158600
27.85,-0.75,1800,"sd","14:26:49",13158400
27.85,-0.75,10000,"sd","14:26:48",13156600
27.9,-0.7,500,"bu","14:26:47",13146600
27.9,-0.7,10000,"bu","14:26:44",13146100
27.9,-0.7,10000,"bu","14:26:44",13136100
27.85,-0.75,1000,"sd","14:26:37",13126100
27.85,-0.75,200,"sd","14:26:30",13125100
27.85,-0.75,13500,"bu","14:26:29",13124900
27.85,-0.75,2000,"bu","14:26:27",13111400
27.85,-0.75,100,"bu","14:26:26",13109400
