"price","change","match_qtty","side","time","total_vol"
66.1,-0.3,4900,"","14:45:02",62500
66.1,-0.3,600,"sd","14:11:32",57600
66.1,-0.3,700,"sd","14:09:52",57000
66,-0.4,100,"sd","14:01:36",56300
66,-0.4,100,"sd","13:56:27",56200
66,-0.4,700,"sd","13:54:12",56100
66.1,-0.3,1100,"sd","13:53:44",55400
66.1,-0.3,800,"sd","13:53:27",54300
66,-0.4,600,"sd","13:49:40",53500
65.9,-0.5,400,"sd","13:49:04",52900
66,-0.4,600,"sd","13:47:37",52500
66.1,-0.3,1000,"sd","13:47:08",51900
66.1,-0.3,700,"sd","13:46:52",50900
66.2,-0.2,600,"bu","13:46:36",50200
66.2,-0.2,900,"bu","13:46:22",49600
66.3,-0.1,900,"bu","13:43:21",48700
66.3,-0.1,200,"bu","13:42:59",47800
66.3,-0.1,700,"bu","13:42:40",47600
66.3,-0.1,500,"bu","13:42:29",46900
66.3,-0.1,500,"bu","13:42:12",46400
66.2,-0.2,800,"bu","13:41:55",45900
66.2,-0.2,1100,"bu","13:41:36",45100
66.2,-0.2,800,"bu","13:41:11",44000
66.2,-0.2,700,"bu","13:41:00",43200
66.2,-0.2,700,"bu","13:20:48",42500
66.1,-0.3,1200,"sd","13:20:33",41800
66.1,-0.3,900,"sd","13:20:20",40600
66.2,-0.2,900,"bu","13:20:16",39700
66.2,-0.2,500,"bu","13:20:04",38800
66.3,-0.1,800,"bu","13:19:47",38300
66.3,-0.1,500,"bu","13:19:35",37500
66.3,-0.1,600,"bu","13:19:24",37000
66.4,0,100,"bu","11:14:31",36400
66.4,0,800,"bu","11:14:17",36300
66.4,0,500,"bu","11:13:29",35500
66.4,0,900,"bu","11:12:34",35000
66.4,0,500,"bu","11:11:53",34100
66.3,-0.1,1000,"bu","11:11:17",33600
66.3,-0.1,500,"bu","11:11:02",32600
66.3,-0.1,600,"bu","11:10:08",32100
66.3,-0.1,600,"bu","11:06:47",31500
66.3,-0.1,600,"bu","11:06:31",30900
66.3,-0.1,500,"bu","11:06:17",30300
66.3,-0.1,400,"bu","11:06:05",29800
66.3,-0.1,500,"bu","11:05:52",29400
66.2,-0.2,700,"bu","11:05:37",28900
66.2,-0.2,900,"bu","11:05:24",28200
66.2,-0.2,600,"bu","11:04:38",27300
66.1,-0.3,800,"sd","10:41:51",26700
66.1,-0.3,800,"sd","10:41:31",25900
66.1,-0.3,300,"sd","10:41:18",25100
66.2,-0.2,1000,"sd","10:41:06",24800
66.2,-0.2,900,"sd","10:40:50",23800
66.2,-0.2,400,"bu","10:39:42",22900
66.2,-0.2,400,"bu","10:38:37",22500
66.2,-0.2,1100,"sd","10:38:11",22100
66.3,-0.1,1000,"bu","10:38:05",21000
66.3,-0.1,500,"bu","10:37:58",20000
66.3,-0.1,700,"bu","10:37:48",19500
66.2,-0.2,800,"sd","10:37:41",18800
66.4,0,1000,"","10:27:13",18000
66.4,0,600,"bu","10:26:56",17000
66.4,0,600,"bu","10:26:46",16400
66.3,-0.1,1000,"bu","10:26:35",15800
66.3,-0.1,800,"bu","10:26:25",14800
66.3,-0.1,1000,"bu","10:08:27",14000
66.3,-0.1,600,"bu","10:08:17",13000
66.3,-0.1,900,"bu","10:08:07",12400
66.2,-0.2,1000,"sd","10:06:20",11500
66.3,-0.1,900,"","10:06:01",10500
66.3,-0.1,500,"sd","10:05:47",9600
66.3,-0.1,900,"sd","10:05:40",9100
66.1,-0.3,1200,"sd","09:51:25",8200
66.1,-0.3,700,"sd","09:51:08",7000
66.1,-0.3,1100,"sd","09:50:57",6300
66.2,-0.2,900,"sd","09:50:42",5200
66.2,-0.2,1000,"sd","09:50:27",4300
66.2,-0.2,600,"sd","09:38:57",3300
66.2,-0.2,1200,"sd","09:38:37",2700
66.3,-0.1,800,"sd","09:38:25",1500
66.3,-0.1,200,"sd","09:20:25",700
66.4,0,500,"","09:20:07",500
