"price","change","match_qtty","side","time","total_vol"
7.9,-0.1,1100,"","14:45:01",21000
7.9,-0.1,500,"","14:26:54",19900
7.9,-0.1,1300,"bu","14:26:30",19400
8,0,4500,"bu","14:20:50",18100
8,0,2300,"","14:07:17",13600
7.9,-0.1,1000,"","13:25:21",11300
7.9,-0.1,1800,"bu","13:21:35",10300
7.9,-0.1,100,"sd","13:13:23",8500
7.9,-0.1,200,"sd","13:12:59",8400
7.9,-0.1,200,"bu","11:09:40",8200
7.5,-0.5,4900,"sd","11:03:14",8000
7.9,-0.1,100,"sd","11:03:12",3100
8,0,200,"bu","10:58:30",3000
7.9,-0.1,100,"sd","10:56:32",2800
7.9,-0.1,1000,"sd","10:23:19",2700
7.9,-0.1,1000,"sd","10:21:02",1700
8,0,200,"bu","10:13:39",700
8,0,500,"sd","09:19:56",500
8.2,0.1,6000,"bu","09:22:09",6700
8.1,0,300,"","09:20:15",700
8.1,0,100,"bu","09:18:15",400
8.1,0,300,"sd","09:16:28",300
8.3,-0.2,500,"bu","10:14:06",42700
8.3,-0.2,200,"sd","10:10:53",42200
8.3,-0.2,1100,"sd","10:09:51",42000
8.3,-0.2,1700,"bu","10:06:57",40900
8.3,-0.2,200,"bu","10:05:31",39200
8.3,-0.2,1000,"bu","10:02:00",39000
8.3,-0.2,100,"sd","10:00:49",38000
8.3,-0.2,2900,"bu","09:59:57",37900
8.3,-0.2,100,"bu","09:59:28",35000
8.3,-0.2,1700,"sd","09:51:04",34900
8.3,-0.2,500,"sd","09:50:06",33200
8.3,-0.2,20800,"sd","09:49:44",32700
8.3,-0.2,800,"sd","09:49:27",11900
8.3,-0.2,2000,"sd","09:46:26",11100
8.5,0,2300,"bu","09:42:45",9100
8.5,0,100,"bu","09:35:20",6800
8.5,0,2000,"bu","09:34:16",6700
8.5,0,2000,"bu","09:32:44",4700
8.5,0,2500,"bu","09:32:18",2700
8.5,0,200,"sd","09:20:12",200
8.2,0.1,5000,"bu","09:42:23",23800
8.2,0.1,1400,"sd","09:27:58",15600
8.2,0.1,5700,"bu","10:12:23",42600
8.2,0.1,5000,"sd","09:25:50",14200
8.2,0.1,5000,"sd","09:22:08",6200
8.2,0.1,1200,"bu","09:14:56",1200
8.2,0.1,3000,"sd","09:24:35",9200
8.2,0.1,300,"bu","10:23:30",44000
8.4,0.3,200,"bu","11:02:40",72000
8.2,0.1,100,"bu","10:21:00",43700
8.4,0.3,300,"bu","11:02:24",71800
8.2,0.1,1000,"sd","09:50:40",34200
8.2,0.1,300,"sd","10:04:25",35300
8.2,0.1,1600,"sd","10:04:54",36900
8.2,0.1,100,"sd","10:03:35",35000
8.2,0.1,500,"sd","09:48:08",33200
7.5,-0.4,100,"bu","09:24:44",7500
7.5,-0.4,100,"sd","09:24:01",7400
7.6,-0.3,100,"bu","09:23:07",7300
7.6,-0.3,2000,"sd","09:22:26",7200
7.6,-0.3,2000,"sd","09:20:25",5200
7.7,-0.2,2200,"sd","09:14:50",3200
7.7,-0.2,1000,"sd","09:12:54",1000
11.5,0.2,300,"bu","09:40:44",34600
11.5,0.2,3000,"bu","09:40:25",34300
11.5,0.2,400,"sd","09:39:10",31300
11.5,0.2,100,"sd","09:39:05",30900
11.5,0.2,100,"sd","09:39:01",30800
11.5,0.2,100,"sd","09:38:54",30700
11.5,0.2,300,"sd","09:38:48",30600
11.5,0.2,1700,"sd","09:38:41",30300
11.5,0.2,1000,"sd","09:37:37",28600
11.5,0.2,100,"sd","09:37:10",27600
11.5,0.2,4100,"sd","09:37:00",27500
11.5,0.2,1000,"bu","09:36:28",23400
11.5,0.2,4000,"bu","09:35:01",22400
11.5,0.2,5000,"bu","09:35:00",18400
11.3,0,1200,"sd","09:31:49",13400
11.3,0,400,"sd","09:31:20",12200
11.3,0,500,"sd","09:29:46",11800
11.3,0,4100,"bu","09:28:50",11300
11.3,0,500,"bu","09:28:43",7200
11.3,0,400,"sd","09:23:58",6700
11.3,0,500,"unknown","09:14:04",6300
11.3,0,300,"sd","09:11:19",5800
11.3,0,200,"sd","09:10:57",5500
11.3,0,1000,"sd","09:10:25",5300
11.3,0,1700,"unknown","09:08:10",4300
11.4,0.1,1000,"unknown","09:07:40",2600
11.4,0.1,100,"unknown","09:05:06",1600
11.3,0,1500,"sd","09:00:11",1500
10.8,0,4500,"bu","10:51:59",312500
10.8,0,4100,"sd","10:51:43",308000
11,0.2,15500,"bu","10:50:48",303900
11.3,0.5,1800,"bu","10:50:08",288400
11.3,0.5,100,"sd","10:49:26",286600
11.3,0.5,200,"sd","10:49:17",286500
11.3,0.5,400,"sd","10:48:57",286300
11.4,0.6,2100,"sd","10:48:30",285900
11.4,0.6,600,"sd","10:47:41",283800
11.5,0.7,500,"bu","10:40:31",283200
11.5,0.7,200,"bu","10:39:07",282700
11.5,0.7,1200,"bu","10:38:01",282500
11.5,0.7,500,"bu","10:31:11",281300
11.5,0.7,5000,"bu","10:30:52",280800
11.5,0.7,100,"bu","10:27:54",275800
11.3,0.5,100,"bu","10:26:04",275700
11,0.2,500,"bu","10:25:22",275600
11,0.2,500,"bu","10:24:36",275100
11,0.2,9000,"sd","10:23:14",274600
11.5,0.7,1000,"bu","10:20:18",265600
11.1,0.3,2000,"unknown","10:20:05",264600
11.2,0.4,800,"bu","10:19:33",262600
11.3,0.5,300,"sd","10:19:09",261800
11.6,0.8,500,"bu","10:03:00",261500
11.6,0.8,800,"bu","10:01:45",261000
11.6,0.8,100,"sd","10:00:56",260200
11.6,0.8,1000,"sd","10:00:51",260100
11.6,0.8,500,"unknown","10:00:05",259100
11.7,0.9,2300,"bu","09:59:27",258600
11.6,0.8,3600,"sd","09:59:16",256300
11.5,0.7,1000,"sd","09:59:08",252700
11.5,0.7,2100,"sd","09:59:07",251700
11.4,0.6,700,"sd","09:58:56",249600
11.3,0.5,1300,"sd","09:58:49",248900
11.3,0.5,5000,"bu","09:58:36",247600
11,0.2,3500,"sd","09:57:25",242600
11,0.2,5000,"sd","09:56:56",239100
11.3,0.5,100,"bu","09:56:22",234100
11.2,0.4,1000,"sd","09:56:15",234000
11.3,0.5,4100,"bu","09:55:05",233000
11.4,0.6,1500,"sd","09:53:48",228900
