"price","change","match_qtty","side","time","total_vol"
12.8,-0.1,100,"bu","11:21:59",1400
12.5,-0.4,100,"sd","11:05:58",1300
13,0.1,100,"bu","10:58:04",1200
12.5,-0.4,1000,"sd","10:49:14",1100
13,0.1,100,"bu","10:40:13",100
11.7,0.1,800,"sd","09:18:04",2000
11.7,0.1,1000,"bu","09:17:55",1200
11.7,0.1,200,"bu","09:17:30",200
12,0.7,200,"bu","09:47:27",55600
12,0.7,1000,"unknown","09:43:13",55400
12,0.7,500,"sd","09:42:47",54400
12.1,0.8,100,"bu","09:34:10",53900
12,0.7,3500,"sd","09:32:43",53800
12,0.7,1500,"unknown","09:30:48",50300
12,0.7,200,"sd","09:30:28",48800
12,0.7,2000,"sd","09:30:25",48600
12,0.7,2400,"sd","09:28:48",46600
12.1,0.8,300,"sd","09:27:22",44200
12.1,0.8,900,"sd","09:24:38",43900
12.1,0.8,600,"bu","09:23:15",43000
12.1,0.8,900,"sd","09:23:13",42400
12.1,0.8,500,"sd","09:23:03",41500
12.1,0.8,400,"bu","09:22:51",41000
12.1,0.8,100,"bu","09:22:43",40600
12.1,0.8,500,"sd","09:22:20",40500
12,0.7,400,"sd","09:21:52",40000
12,0.7,600,"bu","09:21:16",39600
12.1,0.8,100,"sd","09:20:46",39000
12.1,0.8,500,"sd","09:19:52",38900
12.2,0.9,600,"bu","09:19:24",38400
12.2,0.9,700,"bu","09:17:38",37800
12.3,1,100,"bu","09:17:04",37100
12.3,1,600,"bu","09:16:56",37000
12.3,1,1100,"bu","09:16:20",36400
12.3,1,100,"bu","09:16:15",35300
12.3,1,5000,"bu","09:15:51",35200
12.3,1,2000,"bu","09:15:05",30200
12.3,1,200,"bu","09:14:48",28200
12.3,1,5000,"bu","09:14:36",28000
12.2,0.9,500,"sd","09:14:21",23000
12.2,0.9,1500,"bu","09:14:15",22500
12.1,0.8,500,"bu","09:13:31",21000
12.2,0.9,500,"bu","09:13:18",20500
12.1,0.8,2000,"bu","09:12:12",20000
12,0.7,1000,"sd","09:08:47",18000
12,0.7,900,"sd","09:08:33",17000
12,0.7,1200,"sd","09:07:55",16100
12,0.7,1000,"sd","09:07:44",14900
20.6,1.6,400,"sd","10:43:40",54500
20.7,1.7,500,"bu","10:43:20",54100
20.7,1.7,500,"sd","10:43:12",53600
20.8,1.8,600,"bu","10:43:09",53100
20.7,1.7,800,"sd","10:42:50",52500
20.7,1.7,300,"sd","10:42:41",51700
20.7,1.7,200,"sd","10:42:28",51400
20.7,1.7,1200,"sd","10:42:23",51200
20.6,1.6,1000,"unknown","10:41:58",50000
20.5,1.5,500,"sd","10:40:42",49000
20.5,1.5,500,"sd","10:40:38",48500
20.5,1.5,200,"bu","10:40:33",48000
20.5,1.5,100,"bu","10:40:29",47800
20.5,1.5,100,"bu","10:40:28",47700
20.5,1.5,600,"bu","10:40:22",47600
20.5,1.5,200,"bu","10:40:17",47000
20.5,1.5,300,"bu","10:40:15",46800
20.5,1.5,400,"bu","10:40:12",46500
20.5,1.5,4000,"bu","10:40:11",46100
20.5,1.5,500,"bu","10:40:06",42100
17.3,-1.2,100,"sd","09:24:17",15100
17.3,-1.2,200,"sd","09:24:16",15000
17.3,-1.2,500,"sd","09:21:50",14800
17.3,-1.2,700,"sd","09:21:43",14300
17.3,-1.2,100,"sd","09:20:27",13600
17.3,-1.2,100,"sd","09:19:50",13500
17.6,-0.9,300,"bu","09:18:30",13400
17.6,-0.9,200,"bu","09:17:38",13100
17.6,-0.9,1000,"sd","09:17:12",12900
17.7,-0.8,800,"bu","09:16:36",11900
17.8,-0.7,200,"bu","09:15:50",11100
17.8,-0.7,400,"bu","09:15:21",10900
17.7,-0.8,200,"sd","09:15:11",10500
17.7,-0.8,100,"sd","09:14:23",10300
17.7,-0.8,100,"sd","09:13:04",10200
17.7,-0.8,500,"sd","09:12:55",10100
17.7,-0.8,100,"sd","09:12:47",9600
17.8,-0.7,100,"bu","09:11:34",9500
17.8,-0.7,1100,"sd","09:11:31",9400
17.8,-0.7,200,"sd","09:10:39",8300
17.9,1.4,100,"sd","09:05:08",10000
17.9,1.4,2000,"bu","09:05:05",9900
17.9,1.4,2900,"bu","09:04:53",7900
18,1.5,1100,"bu","09:04:52",5000
17.9,1.4,1100,"sd","09:04:25",3900
17.5,1,1500,"sd","09:02:47",2800
17.5,1,200,"bu","09:01:46",1300
17.5,1,500,"unknown","09:00:48",1100
17.5,1,500,"bu","09:00:10",600
16.5,0,100,"sd","09:00:06",100
