"price","change","match_qtty","side","time","total_vol"
37.2,0.4,100,"bu","14:54:22",8400
36.8,0,1000,"sd","14:52:23",8300
37.1,0.3,100,"bu","14:46:23",7300
36.9,0.1,100,"bu","14:45:12",7200
36.6,-0.2,1200,"sd","14:22:58",7100
36.6,-0.2,500,"sd","14:21:29",5900
36.5,-0.3,300,"sd","14:18:01",5400
36.5,-0.3,500,"sd","14:16:20",5100
36.5,-0.3,400,"sd","14:16:19",4600
36.5,-0.3,600,"sd","14:16:10",4200
36.4,-0.4,100,"sd","14:11:21",3600
36.5,-0.3,1800,"sd","14:10:29",3500
36.5,-0.3,1000,"sd","14:09:28",1700
36.9,0.1,100,"bu","14:08:52",700
37.1,0.3,100,"bu","14:02:50",600
37.3,0.5,100,"bu","13:22:36",500
36.6,-0.2,300,"sd","13:15:22",400
37.9,1.1,100,"","09:23:03",100
36,0.3,100,"sd","13:53:46",5500
36.2,0.5,100,"bu","13:41:03",5400
35.7,0,2100,"sd","13:11:34",5300
36.1,0.4,100,"","13:10:44",3200
35.9,0.2,100,"sd","11:10:57",3100
35.9,0.2,100,"sd","11:02:58",3000
36,0.3,300,"bu","10:53:13",2900
36,0.3,500,"bu","10:52:40",2600
36,0.3,200,"bu","10:49:47",2100
36,0.3,400,"","09:56:21",1900
35.9,0.2,400,"","09:52:11",1500
35.7,0,1000,"","09:51:18",1100
35.7,0,100,"","09:40:31",100
36.3,-1.1,1100,"bu","11:04:58",3700
36.5,-0.9,100,"","11:03:06",2600
36.5,-0.9,200,"bu","11:01:47",2500
36.5,-0.9,300,"bu","10:57:42",2300
36.5,-0.9,300,"bu","10:51:41",2000
36.5,-0.9,100,"sd","10:51:25",1700
36.7,-0.7,100,"bu","10:36:06",1600
36.6,-0.8,100,"","10:32:01",1500
36.7,-0.7,100,"bu","10:16:45",1400
36.7,-0.7,200,"sd","10:15:35",1300
36.7,-0.7,300,"sd","10:15:14",1100
36.7,-0.7,500,"bu","10:14:43",800
36.5,-0.9,100,"","09:53:33",300
36.5,-0.9,100,"bu","09:50:44",200
36.5,-0.9,100,"sd","09:47:06",100
34.8,2.2,200,"","09:44:56",3200
34.7,2.1,200,"bu","09:44:39",3000
34.5,1.9,1200,"sd","09:44:20",2800
34.5,1.9,100,"bu","09:31:32",1600
34.5,1.9,100,"bu","09:28:18",1500
34,1.4,100,"","09:20:00",1400
34,1.4,100,"bu","09:19:32",1300
33.5,0.9,100,"bu","09:19:03",1200
33.4,0.8,100,"bu","09:18:52",1100
33,0.4,1000,"sd","09:02:54",1000
34.3,4.2,100,"sd","09:07:14",24000
34.4,4.3,2000,"bu","09:07:07",23900
34.4,4.3,100,"bu","09:06:41",21900
34.4,4.3,700,"bu","09:06:25",21800
34.4,4.3,200,"bu","09:05:42",21100
34.4,4.3,100,"bu","09:05:18",20900
34.4,4.3,1000,"bu","09:05:11",20800
34.4,4.3,500,"bu","09:04:20",19800
34.4,4.3,300,"bu","09:04:12",19300
34.4,4.3,500,"bu","09:02:39",19000
33.5,3.4,100,"bu","09:02:10",18500
33.5,3.4,100,"bu","09:02:09",18400
33.5,3.4,200,"bu","09:02:07",18300
33.5,3.4,1000,"bu","09:02:03",18100
33.5,3.4,1000,"bu","09:01:58",17100
33.5,3.4,600,"sd","09:01:54",16100
34.4,4.3,100,"bu","09:01:53",15500
34.4,4.3,10000,"bu","09:01:33",15400
34.4,4.3,2000,"bu","09:01:27",5400
34.4,4.3,3200,"bu","09:01:05",3400
34.4,4.3,200,"bu","09:00:11",200
