"price","change","match_qtty","side","time","total_vol"
4.9,-0.14,356300,"","14:45:04",7512300
4.9,-0.14,12400,"sd","14:29:46",7156000
4.91,-0.13,1000,"bu","14:29:45",7143600
4.91,-0.13,100,"bu","14:29:43",7142600
4.91,-0.13,700,"bu","14:29:41",7142500
4.91,-0.13,200,"bu","14:29:35",7141800
4.91,-0.13,400,"sd","14:29:28",7141600
4.91,-0.13,100,"sd","14:29:24",7141200
4.92,-0.12,500,"bu","14:29:20",7141100
4.9,-0.14,14000,"sd","14:29:20",7140600
4.92,-0.12,900,"bu","14:29:14",7126600
4.91,-0.13,100,"sd","14:29:13",7125700
4.92,-0.12,300,"bu","14:29:05",7125600
4.92,-0.12,3900,"bu","14:29:03",7125300
4.91,-0.13,1100,"bu","14:29:03",7121400
4.91,-0.13,100,"bu","14:29:00",7120300
4.91,-0.13,300,"sd","14:28:59",7120200
4.92,-0.12,300,"bu","14:28:58",7119900
4.9,-0.14,1800,"sd","14:28:53",7119600
4.91,-0.13,38200,"sd","14:28:53",7117800
4.92,-0.12,200,"bu","14:28:43",7079600
4.91,-0.13,1000,"sd","14:28:41",7079400
4.91,-0.13,100,"sd","14:28:39",7078400
4.92,-0.12,400,"bu","14:28:36",7078300
4.91,-0.13,200,"sd","14:28:36",7077900
4.91,-0.13,1000,"sd","14:28:18",7077700
4.92,-0.12,100,"bu","14:28:08",7076700
4.91,-0.13,2000,"sd","14:28:02",7076600
4.91,-0.13,20000,"sd","14:27:45",7074600
4.91,-0.13,1000,"sd","14:27:27",7054600
4.92,-0.12,6500,"sd","14:27:23",7053600
4.92,-0.12,2000,"sd","14:27:01",7047100
4.93,-0.11,3000,"bu","14:26:38",7045100
4.93,-0.11,16300,"bu","14:26:33",7042100
4.93,-0.11,1300,"bu","14:26:32",7025800
4.93,-0.11,1000,"bu","14:26:18",7024500
4.93,-0.11,2200,"sd","14:25:57",7023500
4.93,-0.11,300,"bu","14:25:54",7021300
4.92,-0.12,2000,"sd","14:25:53",7021000
4.92,-0.12,5000,"sd","14:25:40",7019000
4.92,-0.12,12000,"sd","14:25:33",7014000
4.93,-0.11,100,"bu","14:25:33",7002000
4.92,-0.12,100,"sd","14:25:29",7001900
4.93,-0.11,2500,"bu","14:25:28",7001800
4.92,-0.12,3700,"sd","14:25:21",6999300
4.92,-0.12,5500,"sd","14:25:19",6995600
4.92,-0.12,900,"sd","14:25:10",6990100
4.92,-0.12,100,"sd","14:24:59",6989200
4.92,-0.12,700,"sd","14:24:47",6989100
4.93,-0.11,500,"bu","14:24:23",6988400
4.93,-0.11,500,"bu","14:24:09",6987900
4.93,-0.11,500,"bu","14:24:03",6987400
4.93,-0.11,1000,"bu","14:23:51",6986900
4.93,-0.11,200,"sd","14:23:48",6985900
4.93,-0.11,11800,"bu","14:23:46",6985700
4.93,-0.11,3500,"bu","14:23:38",6973900
4.93,-0.11,500,"bu","14:23:37",6970400
4.93,-0.11,100,"bu","14:23:30",6969900
4.92,-0.12,5000,"sd","14:23:22",6969800
4.93,-0.11,1000,"bu","14:23:21",6964800
4.93,-0.11,200,"bu","14:23:16",6963800
4.93,-0.11,100,"bu","14:23:07",6963600
4.93,-0.11,400,"bu","14:23:00",6963500
4.92,-0.12,4800,"bu","14:22:57",6963100
4.92,-0.12,200,"bu","14:22:51",6958300
4.91,-0.13,5000,"sd","14:22:48",6958100
4.92,-0.12,5100,"bu","14:22:41",6953100
4.92,-0.12,2000,"bu","14:22:40",6948000
4.91,-0.13,10000,"sd","14:22:38",6946000
4.92,-0.12,4100,"bu","14:22:37",6936000
4.92,-0.12,5000,"bu","14:22:32",6931900
4.92,-0.12,100,"bu","14:22:27",6926900
4.92,-0.12,300,"bu","14:22:21",6926800
4.92,-0.12,5000,"bu","14:22:19",6926500
4.92,-0.12,1200,"bu","14:22:11",6921500
4.92,-0.12,300,"bu","14:22:05",6920300
4.91,-0.13,500,"sd","14:22:05",6920000
4.91,-0.13,4600,"sd","14:22:00",6919500
4.91,-0.13,1100,"sd","14:21:54",6914900
4.91,-0.13,300,"bu","14:21:44",6913800
4.91,-0.13,100,"bu","14:21:42",6913500
4.91,-0.13,1500,"bu","14:21:41",6913400
4.91,-0.13,4000,"bu","14:21:39",6911900
4.91,-0.13,10000,"bu","14:21:38",6907900
4.9,-0.14,10000,"sd","14:21:32",6897900
4.91,-0.13,200,"bu","14:21:31",6887900
4.91,-0.13,1000,"bu","14:21:30",6887700
4.91,-0.13,200,"bu","14:21:23",6886700
4.9,-0.14,10500,"bu","14:21:13",6886500
4.9,-0.14,1000,"bu","14:21:12",6876000
4.9,-0.14,100,"bu","14:21:05",6875000
4.9,-0.14,9000,"bu","14:21:03",6874900
