"symbol","time","price","change","vol","total","side"
"HHS","14:45:00",7.11,-0.09,258100,3023100,
"HHS","14:29:08",7.12,-0.08,3000,2765000,"B"
"HHS","14:28:43",7.12,-0.08,3000,2762000,"S"
"HHS","14:28:40",7.11,-0.09,1000,2759000,"B"
"HHS","14:28:29",7.12,-0.08,200,2758000,"S"
"HHS","14:28:20",7.11,-0.09,5000,2757800,"B"
"HHS","14:28:07",7.11,-0.09,1000,2752800,"B"
"HHS","14:27:51",7.11,-0.09,3000,2751800,"B"
"HHS","14:27:37",7.12,-0.08,2000,2748800,"S"
"HHS","14:27:23",7.12,-0.08,19800,2746800,"B"
"HHS","14:27:16",7.12,-0.08,300,2727000,"B"
"HHS","14:27:10",7.12,-0.08,1000,2726700,"B"
"HHS","14:26:59",7.12,-0.08,1600,2725700,"B"
"HHS","14:26:47",7.12,-0.08,2900,2724100,"B"
"HHS","14:26:32",7.12,-0.08,3000,2721200,"B"
"HHS","14:26:27",7.12,-0.08,100,2718200,"B"
"HHS","14:26:22",7.12,-0.08,2000,2718100,"B"
"HHS","14:26:08",7.12,-0.08,3000,2716100,"B"
"HHS","14:26:00",7.12,-0.08,900,2713100,"B"
"HHS","14:25:43",7.12,-0.08,2000,2712200,"B"
"HHS","14:25:17",7.12,-0.08,6000,2710200,"B"
"HHS","14:25:11",7.12,-0.08,10000,2704200,"B"
"HHS","14:24:31",7.13,-0.07,1400,2694200,"S"
"HHS","14:24:14",7.12,-0.08,2500,2692800,"B"
"HHS","14:24:08",7.12,-0.08,1000,2690300,"B"
"HHS","14:24:07",7.12,-0.08,3800,2689300,"B"
"HHS","14:24:01",7.12,-0.08,2000,2685500,"B"
"HHS","14:23:56",7.12,-0.08,2000,2683500,"B"
"HHS","14:23:22",7.13,-0.07,45600,2681500,"B"
"HHS","14:23:11",7.13,-0.07,3000,2635900,"B"
"HHS","14:23:07",7.13,-0.07,10000,2632900,"B"
"HHS","14:22:40",7.13,-0.07,900,2622900,"B"
"HHS","14:21:59",7.14,-0.06,1400,2622000,"B"
"HHS","14:21:28",7.14,-0.06,800,2620600,"B"
"HHS","14:21:22",7.14,-0.06,5900,2619800,"S"
"HHS","14:21:07",7.14,-0.06,8000,2613900,"S"
"HHS","14:20:37",7.15,-0.05,4100,2605900,"S"
"HHS","14:20:35",7.13,-0.07,22000,2601800,"B"
"HHS","14:19:54",7.13,-0.07,200,2579800,"B"
"HHS","14:17:38",7.13,-0.07,1000,2579600,"B"
"HHS","14:17:25",7.13,-0.07,100,2578600,"B"
"HHS","14:17:23",7.13,-0.07,100,2578500,"S"
"HHS","14:17:22",7.13,-0.07,100,2578400,"S"
"HHS","14:17:16",7.13,-0.07,900,2578300,"S"
"HHS","14:16:58",7.12,-0.08,800,2577400,"B"
"HHS","14:16:56",7.13,-0.07,5000,2576600,"S"
"HHS","14:16:47",7.13,-0.07,3000,2571600,"S"
"HHS","14:16:37",7.13,-0.07,1300,2568600,"S"
"HHS","14:15:41",7.12,-0.08,23000,2567300,"B"
