"symbol","time","price","change","vol","total","side"
"C47","14:45:00",7.08,-0.04,5700,116500,
"C47","14:28:49",7.04,-0.08,2600,110800,"B"
"C47","14:28:32",7.04,-0.08,2000,108200,"B"
"C47","14:27:53",7.04,-0.08,5300,106200,"B"
"C47","14:20:52",7.04,-0.08,8400,100900,"B"
"C47","14:20:17",7.05,-0.07,2000,92500,"B"
"C47","14:14:24",7.05,-0.07,2000,90500,"S"
"C47","14:13:56",7.05,-0.07,3200,88500,"B"
"C47","14:11:32",7.05,-0.07,200,85300,"S"
"C47","14:10:34",7.04,-0.08,500,85100,"B"
"C47","14:10:05",7.05,-0.07,300,84600,"S"
"C47","14:09:46",7.05,-0.07,300,84300,"S"
"C47","14:09:44",7.05,-0.07,4000,84000,"S"
"C47","14:08:50",7.05,-0.07,100,80000,"S"
"C47","14:08:26",7.05,-0.07,100,79900,"B"
"C47","14:07:57",7.05,-0.07,1400,79800,"S"
"C47","14:07:43",7.05,-0.07,500,78400,"S"
"C47","14:06:53",7.05,-0.07,4100,77900,"B"
"C47","14:03:26",7.05,-0.07,100,73800,"B"
"C47","14:02:37",7.05,-0.07,4800,73700,"B"
"C47","13:55:18",7.06,-0.06,200,68900,"S"
"C47","13:53:53",7.05,-0.07,5000,68700,"B"
"C47","13:47:39",7.05,-0.07,200,63700,"B"
"C47","13:45:54",7.05,-0.07,100,63500,"B"
"C47","13:44:22",7.05,-0.07,200,63400,"B"
"C47","13:39:29",7.05,-0.07,5000,63200,"B"
"C47","13:34:03",7.06,-0.06,300,58200,"B"
"C47","13:24:54",7.06,-0.06,700,57900,"S"
"C47","13:24:25",7.06,-0.06,100,57200,"S"
"C47","13:20:42",7.06,-0.06,2300,57100,"B"
"C47","13:14:39",7.06,-0.06,100,54800,"B"
"C47","13:14:30",7.06,-0.06,100,54700,"B"
"C47","13:13:55",7.06,-0.06,100,54600,"B"
"C47","13:13:45",7.06,-0.06,1400,54500,"B"
"C47","13:09:31",7.06,-0.06,1000,53100,"B"
"C47","13:08:27",7.06,-0.06,1100,52100,"B"
"C47","13:07:56",7.07,-0.05,200,51000,"B"
"C47","13:07:10",7.07,-0.05,600,50800,"B"
"C47","13:06:32",7.07,-0.05,500,50200,"B"
"C47","13:02:17",7.08,-0.04,400,49700,"B"
"C47","13:00:20",7.09,-0.03,600,49300,"S"
"C47","13:00:08",7.07,-0.05,12500,48700,"B"
"C47","13:00:08",7.08,-0.04,1300,36200,"B"
"C47","11:17:04",7.08,-0.04,2300,34900,"S"
"C47","11:16:48",7.06,-0.06,200,32600,"B"
"C47","11:15:11",7.06,-0.06,2500,32400,"B"
"C47","11:09:53",7.07,-0.05,1600,29900,"S"
"C47","11:07:09",7.07,-0.05,100,28300,"S"
"C47","11:02:51",7.06,-0.06,200,28200,"B"
"C47","11:01:00",7.06,-0.06,100,28000,"B"
"C47","10:59:15",7.07,-0.05,700,27900,"B"
"C47","10:52:00",7.07,-0.05,1000,27200,"B"
"C47","10:49:44",7.07,-0.05,2200,26200,"B"
"C47","10:43:44",7.08,-0.04,500,24000,"S"
"C47","10:43:41",7.07,-0.05,1100,23500,"B"
"C47","10:42:21",7.08,-0.04,100,22400,"S"
"C47","10:41:32",7.08,-0.04,200,22300,"B"
"C47","10:40:10",7.08,-0.04,100,22100,"S"
"C47","10:37:04",7.08,-0.04,1000,22000,"S"
"C47","10:25:55",7.09,-0.03,100,21000,"S"
"C47","10:23:49",7.06,-0.06,5000,20900,"B"
"C47","10:22:26",7.09,-0.03,300,15900,"S"
"C47","10:12:53",7.09,-0.03,100,15600,"S"
"C47","10:05:47",7.09,-0.03,200,15500,"S"
"C47","10:03:34",7.09,-0.03,200,15300,"S"
"C47","10:02:37",7.09,-0.03,100,15100,"B"
"C47","10:01:42",7.09,-0.03,200,15000,"S"
"C47","09:58:55",7.09,-0.03,300,14800,"B"
"C47","09:53:45",7.1,-0.02,1000,14500,"S"
"C47","09:52:22",7.1,-0.02,8800,13500,"B"
"C47","09:51:57",7.1,-0.02,100,4700,"B"
"C47","09:49:25",7.1,-0.02,500,4600,"B"
"C47","09:47:01",7.1,-0.02,2000,4100,"B"
"C47","09:32:19",7.1,-0.02,1200,2100,"B"
"C47","09:27:12",7.12,0,500,900,"S"
"C47","09:18:31",7.12,0,100,400,"S"
"C47","09:18:12",7.1,-0.02,300,300,"S"
