"symbol","time","price","change","vol","total","side"
"CAP","14:45:00",78.4,0,600,53200,
"CAP","14:28:26",78.3,-0.1,10000,52600,
"CAP","14:27:10",78.4,0,100,42600,
"CAP","14:25:11",78.3,-0.1,200,42500,
"CAP","14:16:23",78.3,-0.1,700,42300,
"CAP","14:06:51",78.3,-0.1,200,41600,
"CAP","13:50:23",78.2,-0.2,2200,41400,
"CAP","13:22:03",78.2,-0.2,100,39200,
"CAP","13:20:53",78.3,-0.1,1500,39100,
"CAP","13:16:40",78.3,-0.1,1000,37600,
"CAP","13:09:33",78.3,-0.1,100,36600,
"CAP","13:09:04",78.3,-0.1,2000,36500,
"CAP","13:03:45",78.3,-0.1,2000,34500,
"CAP","13:00:04",78.3,-0.1,400,32500,
"CAP","11:19:40",78.2,-0.2,1000,32100,
"CAP","10:53:38",78.2,-0.2,2500,31100,
"CAP","10:47:45",78.4,0,600,28600,
"CAP","10:47:25",78.4,0,1400,28000,
"CAP","10:47:24",78.4,0,400,26600,
"CAP","10:47:21",78.4,0,200,26200,
"CAP","10:46:22",78.4,0,2000,26000,
"CAP","10:39:05",78.4,0,2000,24000,
"CAP","10:37:31",78.4,0,2400,22000,
"CAP","10:36:52",78.6,0.2,100,19600,
"CAP","10:36:26",78.6,0.2,3900,19500,
"CAP","10:28:56",78.4,0,2400,15600,
"CAP","10:26:57",78.4,0,100,13200,
"CAP","10:03:13",78.3,-0.1,100,13100,
"CAP","10:01:18",78.3,-0.1,3100,13000,
"CAP","10:00:55",78.4,0,3900,9900,
"CAP","09:58:59",78.5,0.1,200,6000,
"CAP","09:57:23",78.4,0,100,5800,
"CAP","09:47:36",78.4,0,100,5700,
"CAP","09:46:42",78.4,0,3000,5600,
"CAP","09:38:59",78.4,0,100,2600,
"CAP","09:26:32",78.4,0,100,2500,
"CAP","09:25:56",78.3,-0.1,100,2400,
"CAP","09:25:00",78.4,0,200,2300,
"CAP","09:21:37",78.4,0,200,2100,
"CAP","09:20:48",78.4,0,100,1900,
"CAP","09:18:05",78.3,-0.1,200,1800,
"CAP","09:16:52",78.4,0,1000,1600,
"CAP","09:04:32",78.4,0,100,600,
"CAP","09:03:57",78.4,0,500,500,
