"symbol","time","price","change","vol","total","side"
"CDC","14:45:00",20,-0.05,800,707800,
"CDC","14:27:29",20.1,0.05,100,707000,"S"
"CDC","14:26:20",20.05,0,900,706800,"S"
"CDC","14:25:42",20.05,0,700,705900,"B"
"CDC","14:24:54",20.05,0,1600,705200,"S"
"CDC","14:24:36",20.05,0,1500,703600,"S"
"CDC","14:23:52",20.05,0,1100,702100,"S"
"CDC","14:23:22",20.05,0,1900,701000,"S"
"CDC","14:23:01",20.05,0,300,699100,"S"
"CDC","14:23:01",20,-0.05,1900,698800,"S"
"CDC","14:22:32",20,-0.05,1700,696900,"S"
"CDC","14:22:17",20.05,0,1900,695200,"S"
"CDC","14:22:04",20.05,0,100,693300,"S"
"CDC","14:22:04",20,-0.05,2100,693200,"S"
"CDC","14:21:58",20,-0.05,1300,691100,"B"
"CDC","14:21:34",20.05,0,500,689800,"B"
"CDC","14:21:24",20.05,0,600,689300,"S"
"CDC","14:21:11",20.05,0,2400,688700,"S"
"CDC","14:20:56",20.05,0,200,686300,"B"
"CDC","14:20:18",20.05,0,2400,686100,"S"
"CDC","14:19:57",20.05,0,1100,683700,"S"
"CDC","14:19:15",20.05,0,1600,682600,"S"
"CDC","14:19:05",20.05,0,200,681000,"B"
"CDC","14:18:59",20.05,0,1900,680800,"S"
"CDC","14:18:19",20.05,0,1400,678900,"S"
"CDC","14:17:56",20.05,0,2000,677500,"S"
"CDC","14:17:41",20.05,0,1100,675500,"S"
"CDC","14:17:41",20,-0.05,1600,674400,"S"
"CDC","14:17:27",20,-0.05,1400,672800,"S"
"CDC","14:17:00",20.05,0,600,671400,"B"
"CDC","14:16:59",20.05,0,400,670800,"S"
"CDC","14:16:59",20,-0.05,600,670400,"S"
"CDC","14:16:38",20,-0.05,1200,669800,"B"
"CDC","14:16:35",20.05,0,2300,668600,"S"
"CDC","14:16:02",20.05,0,1400,666300,"S"
"CDC","14:15:45",20.05,0,1000,664900,"S"
"CDC","14:15:45",20,-0.05,1300,663900,"S"
"CDC","14:15:24",20,-0.05,1900,662600,"S"
"CDC","14:15:13",20.05,0,2300,660700,"S"
"CDC","14:15:13",20,-0.05,400,658400,"S"
"CDC","14:15:03",20,-0.05,2100,658000,"S"
"CDC","14:14:31",20,-0.05,700,655900,"B"
"CDC","14:14:31",20.05,0,1600,655200,"S"
"CDC","14:14:17",20.05,0,1700,653600,"S"
"CDC","14:13:50",20,-0.05,1200,651900,"S"
"CDC","14:13:40",20,-0.05,1800,650700,"S"
"CDC","14:13:30",20,-0.05,200,648900,"B"
"CDC","14:13:16",20,-0.05,1000,648700,"B"
"CDC","14:12:46",20.05,0,1400,647700,"S"
"CDC","14:12:31",20.05,0,2400,646300,"S"
