"symbol","time","price","change","vol","total","side"
"LTG","14:59:48",25.8,0.5,100,233600,
"LTG","14:59:05",25.7,0.4,1000,233500,
"LTG","14:57:04",25.7,0.4,1300,232500,
"LTG","14:53:31",25.8,0.5,2500,231200,
"LTG","14:47:59",25.8,0.5,100,228700,
"LTG","14:47:49",25.7,0.4,100,228600,
"LTG","14:47:06",25.7,0.4,2500,228500,
"LTG","14:46:26",25.7,0.4,10000,226000,
"LTG","14:44:13",25.7,0.4,100,216000,
"LTG","14:44:01",25.6,0.3,200,215900,
"LTG","14:41:53",25.7,0.4,100,215700,
"LTG","14:41:00",25.6,0.3,5000,215600,
"LTG","14:40:31",25.6,0.3,100,210600,
"LTG","14:39:22",25.7,0.4,2000,210500,
"LTG","14:36:43",25.7,0.4,300,208500,
"LTG","14:34:08",25.7,0.4,100,208200,
"LTG","14:33:14",25.6,0.3,3700,208100,
"LTG","14:31:14",25.6,0.3,200,204400,
"LTG","14:30:10",25.6,0.3,100,204200,
"LTG","14:29:53",25.6,0.3,100,204100,
"LTG","14:29:32",25.6,0.3,100,204000,
"LTG","14:28:08",25.6,0.3,100,203900,
"LTG","14:27:27",25.6,0.3,200,203800,
"LTG","14:27:01",25.6,0.3,200,203600,
"LTG","14:26:17",25.6,0.3,100,203400,
"LTG","14:24:28",25.6,0.3,200,203300,
"LTG","14:23:11",25.7,0.4,200,203100,
"LTG","14:23:02",25.7,0.4,100,202900,
"LTG","14:22:36",25.6,0.3,100,202800,
"LTG","14:22:13",25.7,0.4,100,202700,
"LTG","14:21:42",25.6,0.3,900,202600,
"LTG","14:20:42",25.5,0.2,200,201700,
"LTG","14:19:48",25.5,0.2,500,201500,
"LTG","14:19:37",25.5,0.2,1300,201000,
"LTG","14:19:27",25.5,0.2,200,199700,
"LTG","14:19:26",25.5,0.2,600,199500,
"LTG","14:18:37",25.5,0.2,500,198900,
"LTG","14:18:24",25.5,0.2,1000,198400,
"LTG","14:18:21",25.5,0.2,4700,197400,
"LTG","14:17:56",25.5,0.2,400,192700,
"LTG","14:17:20",25.6,0.3,200,192300,
"LTG","14:16:53",25.6,0.3,100,192100,
"LTG","14:16:42",25.6,0.3,4000,192000,
"LTG","14:16:30",25.6,0.3,500,188000,
"LTG","14:16:22",25.6,0.3,200,187500,
"LTG","14:16:19",25.6,0.3,200,187300,
"LTG","14:15:09",25.7,0.4,200,187100,
"LTG","14:11:10",25.7,0.4,100,186900,
"LTG","14:11:02",25.6,0.3,2100,186800,
"LTG","14:09:44",25.5,0.2,200,184700,
"LTG","14:07:09",25.6,0.3,100,184500,
"LTG","14:06:53",25.5,0.2,200,184400,
"LTG","14:04:47",25.6,0.3,1000,184200,
"LTG","14:01:38",25.6,0.3,100,183200,
"LTG","14:01:17",25.6,0.3,400,183100,
"LTG","13:59:11",25.6,0.3,200,182700,
"LTG","13:58:07",25.6,0.3,200,182500,
"LTG","13:57:12",25.6,0.3,400,182300,
"LTG","13:56:42",25.6,0.3,200,181900,
"LTG","13:53:05",25.6,0.3,100,181700,
"LTG","13:53:03",25.6,0.3,1000,181600,
"LTG","13:48:26",25.6,0.3,1300,180600,
"LTG","13:48:11",25.6,0.3,200,179300,
"LTG","13:46:02",25.6,0.3,1000,179100,
"LTG","13:42:28",25.6,0.3,100,178100,
"LTG","13:42:21",25.6,0.3,500,178000,
"LTG","13:37:34",25.6,0.3,400,177500,
"LTG","13:34:21",25.7,0.4,200,177100,
"LTG","13:32:58",25.7,0.4,500,176900,
"LTG","13:32:23",25.7,0.4,2000,176400,
"LTG","13:32:01",25.7,0.4,100,174400,
"LTG","13:31:31",25.6,0.3,3400,174300,
"LTG","13:30:43",25.6,0.3,2700,170900,
"LTG","13:30:25",25.6,0.3,200,168200,
"LTG","13:29:54",25.6,0.3,400,168000,
"LTG","13:25:24",25.7,0.4,8000,167600,
"LTG","13:24:16",25.7,0.4,300,159600,
"LTG","13:20:18",25.7,0.4,1600,159300,
"LTG","13:12:02",25.6,0.3,600,157700,
"LTG","13:11:26",25.7,0.4,1000,157100,
"LTG","13:10:39",25.6,0.3,200,156100,
"LTG","13:10:02",25.7,0.4,1600,155900,
"LTG","13:09:34",25.7,0.4,1700,154300,
"LTG","13:07:25",25.7,0.4,100,152600,
"LTG","13:07:16",25.7,0.4,1000,152500,
"LTG","13:06:59",25.7,0.4,5600,151500,
"LTG","13:05:42",25.6,0.3,100,145900,
"LTG","13:02:40",25.7,0.4,10000,145800,
"LTG","13:02:33",25.5,0.2,10800,135800,
"LTG","13:02:23",25.6,0.3,10000,125000,
"LTG","13:01:46",25.6,0.3,800,115000,
"LTG","13:00:40",25.7,0.4,900,114200,
"LTG","13:00:33",25.7,0.4,2000,113300,
"LTG","13:00:06",25.8,0.5,1000,111300,
"LTG","13:00:05",25.8,0.5,100,110300,
"LTG","13:00:03",25.8,0.5,1500,110200,
"LTG","13:00:02",25.8,0.5,1000,108700,
"LTG","11:26:52",25.8,0.5,200,107700,
"LTG","11:25:33",25.8,0.5,3300,107500,
"LTG","11:21:51",25.8,0.5,1200,104200,
"LTG","11:19:52",25.9,0.6,100,103000,
"LTG","11:16:47",25.8,0.5,100,102900,
"LTG","11:12:23",25.8,0.5,1000,102800,
"LTG","11:11:52",25.7,0.4,500,101800,
"LTG","11:09:09",25.7,0.4,100,101300,
"LTG","11:08:06",25.7,0.4,100,101200,
"LTG","11:07:55",25.9,0.6,100,101100,
"LTG","11:03:55",25.9,0.6,1000,101000,
"LTG","11:03:33",25.9,0.6,1200,100000,
"LTG","11:00:39",25.9,0.6,900,98800,
"LTG","11:00:20",25.9,0.6,100,97900,
"LTG","10:59:37",25.9,0.6,1000,97800,
"LTG","10:59:14",25.9,0.6,200,96800,
"LTG","10:59:02",26,0.7,600,96600,
"LTG","10:58:58",26,0.7,100,96000,
"LTG","10:58:52",26,0.7,100,95900,
"LTG","10:58:43",26,0.7,100,95800,
"LTG","10:58:42",25.9,0.6,13000,95700,
"LTG","10:58:36",25.8,0.5,6100,82700,
"LTG","10:58:10",25.7,0.4,200,76600,
"LTG","10:56:39",25.8,0.5,100,76400,
"LTG","10:56:22",25.7,0.4,5500,76300,
"LTG","10:54:23",25.7,0.4,100,70800,
"LTG","10:53:02",25.6,0.3,600,70700,
"LTG","10:49:30",25.7,0.4,200,70100,
"LTG","10:48:36",25.6,0.3,100,69900,
"LTG","10:48:24",25.6,0.3,300,69800,
"LTG","10:47:34",25.6,0.3,300,69500,
"LTG","10:47:33",25.7,0.4,100,69200,
"LTG","10:47:29",25.6,0.3,2000,69100,
"LTG","10:47:06",25.6,0.3,2200,67100,
"LTG","10:46:39",25.6,0.3,100,64900,
"LTG","10:44:16",25.7,0.4,100,64800,
"LTG","10:44:09",25.6,0.3,500,64700,
"LTG","10:43:51",25.6,0.3,100,64200,
"LTG","10:43:35",25.5,0.2,800,64100,
"LTG","10:42:58",25.6,0.3,200,63300,
"LTG","10:42:08",25.6,0.3,100,63100,
"LTG","10:41:13",25.6,0.3,200,63000,
"LTG","10:41:11",25.6,0.3,100,62800,
"LTG","10:40:45",25.5,0.2,100,62700,
"LTG","10:39:52",25.5,0.2,100,62600,
"LTG","10:39:36",25.5,0.2,3500,62500,
"LTG","10:37:59",25.4,0.1,100,59000,
"LTG","10:35:54",25.4,0.1,100,58900,
"LTG","10:33:39",25.4,0.1,1000,58800,
"LTG","10:31:36",25.4,0.1,100,57800,
"LTG","10:30:02",25.4,0.1,200,57700,
"LTG","10:29:15",25.4,0.1,400,57500,
"LTG","10:29:10",25.4,0.1,10000,57100,
"LTG","10:23:40",25.3,0,500,47100,
"LTG","10:22:12",25.3,0,200,46600,
"LTG","10:21:17",25.3,0,100,46400,
"LTG","10:17:37",25.3,0,700,46300,
"LTG","10:15:17",25.3,0,1000,45600,
"LTG","10:14:14",25.3,0,100,44600,
"LTG","10:11:54",25.3,0,200,44500,
"LTG","10:10:50",25.3,0,2200,44300,
"LTG","10:10:17",25.2,-0.1,1300,42100,
"LTG","10:09:49",25.2,-0.1,400,40800,
"LTG","10:08:07",25.2,-0.1,2000,40400,
"LTG","10:07:13",25.2,-0.1,100,38400,
"LTG","10:04:45",25.2,-0.1,100,38300,
"LTG","10:02:36",25.2,-0.1,200,38200,
"LTG","10:00:30",25.2,-0.1,200,38000,
"LTG","09:59:30",25.2,-0.1,3300,37800,
"LTG","09:58:20",25.2,-0.1,1700,34500,
"LTG","09:58:01",25.2,-0.1,200,32800,
"LTG","09:55:09",25.2,-0.1,100,32600,
"LTG","09:54:35",25.2,-0.1,400,32500,
"LTG","09:53:47",25.2,-0.1,200,32100,
"LTG","09:51:25",25.2,-0.1,1200,31900,
"LTG","09:48:03",25.2,-0.1,200,30700,
"LTG","09:47:17",25.2,-0.1,2400,30500,
"LTG","09:47:14",25.1,-0.2,700,28100,
"LTG","09:47:04",25.1,-0.2,600,27400,
"LTG","09:46:36",25.2,-0.1,6600,26800,
"LTG","09:45:41",25.2,-0.1,500,20200,
"LTG","09:44:28",25.3,0,1300,19700,
"LTG","09:41:36",25.3,0,200,18400,
"LTG","09:38:23",25.3,0,2500,18200,
"LTG","09:35:51",25.3,0,1800,15700,
"LTG","09:34:56",25.3,0,200,13900,
"LTG","09:34:44",25.2,-0.1,100,13700,
"LTG","09:31:39",25.2,-0.1,200,13600,
"LTG","09:31:28",25.2,-0.1,1500,13400,
"LTG","09:30:32",25.3,0,2000,11900,
"LTG","09:28:52",25.2,-0.1,1600,9900,
"LTG","09:26:30",25.3,0,100,8300,
"LTG","09:26:24",25.3,0,300,8200,
"LTG","09:24:59",25.3,0,500,7900,
"LTG","09:24:54",25.2,-0.1,1000,7400,
"LTG","09:24:46",25.2,-0.1,200,6400,
"LTG","09:24:33",25.2,-0.1,500,6200,
"LTG","09:23:30",25.2,-0.1,200,5700,
