"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
162444173,"BWE","1704267888","unknown","100","40800","137700","2024-01-03T07:45:02.751Z","2024-01-03T07:45:02.751Z"
162433150,"BWE","1704266823","b","800","40700","137600","2024-01-03T07:27:16.742Z","2024-01-03T07:27:16.742Z"
162433064,"BWE","1704266821","b","700","40700","136100","2024-01-03T07:27:14.739Z","2024-01-03T07:27:14.739Z"
162430454,"BWE","1704266759","b","100","40700","136000","2024-01-03T07:26:12.764Z","2024-01-03T07:26:12.764Z"
162428958,"BWE","1704266730","s","300","40700","135600","2024-01-03T07:25:43.730Z","2024-01-03T07:25:43.730Z"
162428957,"BWE","1704266730","s","100","40700","135600","2024-01-03T07:25:43.730Z","2024-01-03T07:25:43.730Z"
162421241,"BWE","1704266526","s","8500","40650","125600","2024-01-03T07:22:19.756Z","2024-01-03T07:22:19.756Z"
162421240,"BWE","1704266526","s","200","40650","125600","2024-01-03T07:22:19.756Z","2024-01-03T07:22:19.756Z"
162421239,"BWE","1704266526","s","1300","40700","125600","2024-01-03T07:22:19.756Z","2024-01-03T07:22:19.756Z"
162420251,"BWE","1704266495","b","100","40750","125500","2024-01-03T07:21:48.724Z","2024-01-03T07:21:48.724Z"
162419780,"BWE","1704266478","b","700","40700","124800","2024-01-03T07:21:31.727Z","2024-01-03T07:21:31.727Z"
162419583,"BWE","1704266472","s","100","40700","124500","2024-01-03T07:21:26.726Z","2024-01-03T07:21:26.726Z"
162419582,"BWE","1704266472","s","200","40700","124500","2024-01-03T07:21:26.726Z","2024-01-03T07:21:26.726Z"
162418487,"BWE","1704266428","b","200","40700","124500","2024-01-03T07:20:41.723Z","2024-01-03T07:20:41.723Z"
162418159,"BWE","1704266416","b","1000","40700","124300","2024-01-03T07:20:29.722Z","2024-01-03T07:20:29.722Z"
162416282,"BWE","1704266352","s","500","40700","116900","2024-01-03T07:19:25.765Z","2024-01-03T07:19:25.765Z"
162416281,"BWE","1704266352","s","2000","40700","116900","2024-01-03T07:19:25.765Z","2024-01-03T07:19:25.765Z"
162416280,"BWE","1704266352","s","1000","40700","116900","2024-01-03T07:19:25.765Z","2024-01-03T07:19:25.765Z"
162416279,"BWE","1704266352","s","100","40700","116900","2024-01-03T07:19:25.765Z","2024-01-03T07:19:25.765Z"
162416278,"BWE","1704266352","s","2000","40700","116900","2024-01-03T07:19:25.765Z","2024-01-03T07:19:25.765Z"
162416277,"BWE","1704266352","s","500","40700","116900","2024-01-03T07:19:25.765Z","2024-01-03T07:19:25.765Z"
162416276,"BWE","1704266352","s","300","40700","116900","2024-01-03T07:19:25.765Z","2024-01-03T07:19:25.765Z"
162413034,"BWE","1704266258","b","100","40750","116900","2024-01-03T07:17:51.724Z","2024-01-03T07:17:51.724Z"
162411424,"BWE","1704266207","b","3000","40750","116800","2024-01-03T07:17:00.722Z","2024-01-03T07:17:00.722Z"
162409248,"BWE","1704266138","b","100","40750","113800","2024-01-03T07:15:51.880Z","2024-01-03T07:15:51.880Z"
162404344,"BWE","1704266006","s","500","40700","113700","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404343,"BWE","1704266006","s","100","40700","113700","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404342,"BWE","1704266006","s","100","40700","113700","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404341,"BWE","1704266006","s","400","40700","113700","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404340,"BWE","1704266006","s","100","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404339,"BWE","1704266006","s","400","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404338,"BWE","1704266006","s","200","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404337,"BWE","1704266006","s","100","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404336,"BWE","1704266006","s","300","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404335,"BWE","1704266006","s","100","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404334,"BWE","1704266006","s","2000","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404333,"BWE","1704266006","s","500","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404332,"BWE","1704266006","s","500","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404331,"BWE","1704266006","s","100","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404330,"BWE","1704266006","s","200","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404329,"BWE","1704266006","s","2000","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404328,"BWE","1704266006","s","800","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404327,"BWE","1704266006","s","1600","40700","112500","2024-01-03T07:13:39.743Z","2024-01-03T07:13:39.743Z"
162404240,"BWE","1704266003","b","100","40750","103600","2024-01-03T07:13:36.721Z","2024-01-03T07:13:36.721Z"
162403804,"BWE","1704265986","b","100","40750","103600","2024-01-03T07:13:19.727Z","2024-01-03T07:13:19.727Z"
162402125,"BWE","1704265931","s","200","40700","103500","2024-01-03T07:12:24.722Z","2024-01-03T07:12:24.722Z"
162402124,"BWE","1704265931","s","200","40750","103500","2024-01-03T07:12:24.722Z","2024-01-03T07:12:24.722Z"
162402123,"BWE","1704265931","s","100","40750","103500","2024-01-03T07:12:24.722Z","2024-01-03T07:12:24.722Z"
162402122,"BWE","1704265931","s","300","40750","103500","2024-01-03T07:12:24.722Z","2024-01-03T07:12:24.722Z"
162402121,"BWE","1704265931","s","100","40750","103500","2024-01-03T07:12:24.722Z","2024-01-03T07:12:24.722Z"
162402120,"BWE","1704265931","s","100","40750","103500","2024-01-03T07:12:24.722Z","2024-01-03T07:12:24.722Z"
162401056,"BWE","1704265896","s","100","40750","102500","2024-01-03T07:11:49.768Z","2024-01-03T07:11:49.768Z"
162398853,"BWE","1704265843","s","300","40750","102400","2024-01-03T07:10:56.728Z","2024-01-03T07:10:56.728Z"
162398852,"BWE","1704265843","s","100","40750","102400","2024-01-03T07:10:56.728Z","2024-01-03T07:10:56.728Z"
162398851,"BWE","1704265843","s","500","40750","102400","2024-01-03T07:10:56.728Z","2024-01-03T07:10:56.728Z"
162398850,"BWE","1704265843","s","100","40750","102400","2024-01-03T07:10:56.728Z","2024-01-03T07:10:56.728Z"
162396649,"BWE","1704265785","b","300","40800","101400","2024-01-03T07:09:58.724Z","2024-01-03T07:09:58.724Z"
162396467,"BWE","1704265779","b","200","40800","101100","2024-01-03T07:09:53.729Z","2024-01-03T07:09:53.729Z"
162393113,"BWE","1704265691","b","400","40800","100500","2024-01-03T07:08:24.725Z","2024-01-03T07:08:24.725Z"
162390588,"BWE","1704265622","b","1000","40800","99500","2024-01-03T07:07:15.740Z","2024-01-03T07:07:15.740Z"
162385839,"BWE","1704265482","b","2000","40800","97500","2024-01-03T07:04:54.711Z","2024-01-03T07:04:54.711Z"
162382852,"BWE","1704265375","b","1800","40800","95700","2024-01-03T07:03:09.719Z","2024-01-03T07:03:09.719Z"
162381820,"BWE","1704265340","s","100","40750","95600","2024-01-03T07:02:33.716Z","2024-01-03T07:02:33.716Z"
162374592,"BWE","1704265097","s","100","40750","95600","2024-01-03T06:58:30.706Z","2024-01-03T06:58:30.706Z"
162365765,"BWE","1704264777","s","1000","40800","94300","2024-01-03T06:53:10.702Z","2024-01-03T06:53:10.702Z"
162365764,"BWE","1704264777","s","200","40800","94300","2024-01-03T06:53:10.702Z","2024-01-03T06:53:10.702Z"
162358927,"BWE","1704264589","b","3000","40800","89300","2024-01-03T06:50:02.734Z","2024-01-03T06:50:02.734Z"
162358926,"BWE","1704264589","b","2000","40800","89300","2024-01-03T06:50:02.734Z","2024-01-03T06:50:02.734Z"
162349841,"BWE","1704264339","s","1700","40750","89300","2024-01-03T06:45:52.711Z","2024-01-03T06:45:52.711Z"
162349840,"BWE","1704264339","s","600","40750","89300","2024-01-03T06:45:52.711Z","2024-01-03T06:45:52.711Z"
