"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
162444399,"TCB","1704267893","unknown","378000","32600","5232600","2024-01-03T07:45:06.754Z","2024-01-03T07:45:06.754Z"
162443338,"TCB","1704266989","b","200","32500","5229900","2024-01-03T07:30:02.726Z","2024-01-03T07:30:02.726Z"
162443337,"TCB","1704266989","b","300","32500","5229900","2024-01-03T07:30:02.726Z","2024-01-03T07:30:02.726Z"
162443336,"TCB","1704266989","b","100","32500","5229900","2024-01-03T07:30:02.726Z","2024-01-03T07:30:02.726Z"
162443335,"TCB","1704266989","b","300","32500","5229900","2024-01-03T07:30:02.726Z","2024-01-03T07:30:02.726Z"
162443334,"TCB","1704266989","b","1000","32500","5229900","2024-01-03T07:30:02.726Z","2024-01-03T07:30:02.726Z"
162443333,"TCB","1704266989","b","400","32500","5229900","2024-01-03T07:30:02.726Z","2024-01-03T07:30:02.726Z"
162443332,"TCB","1704266989","b","400","32500","5229900","2024-01-03T07:30:02.726Z","2024-01-03T07:30:02.726Z"
162442726,"TCB","1704266981","b","4200","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442725,"TCB","1704266981","b","100","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442724,"TCB","1704266981","b","100","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442723,"TCB","1704266981","b","500","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442722,"TCB","1704266981","b","500","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442721,"TCB","1704266981","b","100","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442720,"TCB","1704266981","b","500","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442719,"TCB","1704266981","b","500","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442718,"TCB","1704266981","b","100","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442717,"TCB","1704266981","b","3400","32500","5219900","2024-01-03T07:29:54.758Z","2024-01-03T07:29:54.758Z"
162442151,"TCB","1704266974","b","3300","32450","5216600","2024-01-03T07:29:48.741Z","2024-01-03T07:29:48.741Z"
162442017,"TCB","1704266972","b","500","32450","5216100","2024-01-03T07:29:45.871Z","2024-01-03T07:29:45.871Z"
162441667,"TCB","1704266969","b","15000","32450","5201100","2024-01-03T07:29:42.761Z","2024-01-03T07:29:42.761Z"
162441191,"TCB","1704266963","s","700","32400","5200400","2024-01-03T07:29:37.739Z","2024-01-03T07:29:37.739Z"
162441150,"TCB","1704266962","s","5700","32400","5200400","2024-01-03T07:29:36.783Z","2024-01-03T07:29:36.783Z"
162441085,"TCB","1704266961","s","31200","32450","5158500","2024-01-03T07:29:35.741Z","2024-01-03T07:29:35.741Z"
162441084,"TCB","1704266961","s","4500","32450","5158500","2024-01-03T07:29:35.741Z","2024-01-03T07:29:35.741Z"
162441083,"TCB","1704266961","s","500","32450","5158500","2024-01-03T07:29:35.741Z","2024-01-03T07:29:35.741Z"
162440504,"TCB","1704266952","b","6600","32500","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440503,"TCB","1704266952","b","100","32500","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440502,"TCB","1704266952","b","3000","32500","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440501,"TCB","1704266952","b","5000","32500","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440500,"TCB","1704266952","b","500","32500","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440499,"TCB","1704266952","b","100","32500","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440498,"TCB","1704266952","b","100","32500","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440497,"TCB","1704266952","b","1800","32500","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440494,"TCB","1704266952","b","15300","32450","5126000","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440483,"TCB","1704266952","s","1000","32450","5091300","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440482,"TCB","1704266952","s","15200","32450","5091300","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440481,"TCB","1704266952","s","5300","32450","5091300","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440480,"TCB","1704266952","s","7400","32450","5091300","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440479,"TCB","1704266952","s","5800","32450","5091300","2024-01-03T07:29:25.763Z","2024-01-03T07:29:25.763Z"
162440325,"TCB","1704266950","b","200","32500","5083900","2024-01-03T07:29:23.783Z","2024-01-03T07:29:23.783Z"
162440324,"TCB","1704266950","b","5000","32500","5083900","2024-01-03T07:29:23.783Z","2024-01-03T07:29:23.783Z"
162440323,"TCB","1704266950","b","500","32500","5083900","2024-01-03T07:29:23.783Z","2024-01-03T07:29:23.783Z"
162440322,"TCB","1704266950","b","100","32500","5083900","2024-01-03T07:29:23.783Z","2024-01-03T07:29:23.783Z"
162440321,"TCB","1704266950","b","200","32500","5083900","2024-01-03T07:29:23.783Z","2024-01-03T07:29:23.783Z"
162440320,"TCB","1704266950","b","1000","32500","5083900","2024-01-03T07:29:23.783Z","2024-01-03T07:29:23.783Z"
162440319,"TCB","1704266950","b","200","32500","5083900","2024-01-03T07:29:23.783Z","2024-01-03T07:29:23.783Z"
162440318,"TCB","1704266950","b","200","32500","5083900","2024-01-03T07:29:23.783Z","2024-01-03T07:29:23.783Z"
162440274,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440273,"TCB","1704266950","b","500","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440272,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440271,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440270,"TCB","1704266950","b","2100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440269,"TCB","1704266950","b","500","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440268,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440267,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440266,"TCB","1704266950","b","7000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440265,"TCB","1704266950","b","4100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440264,"TCB","1704266950","b","500","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440263,"TCB","1704266950","b","3000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440262,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440261,"TCB","1704266950","b","3000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440260,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440259,"TCB","1704266950","b","500","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440258,"TCB","1704266950","b","200","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440257,"TCB","1704266950","b","5200","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440256,"TCB","1704266950","b","4800","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440255,"TCB","1704266950","b","600","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440254,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440253,"TCB","1704266950","b","300","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440252,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440251,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440250,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440249,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440248,"TCB","1704266950","b","2000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440247,"TCB","1704266950","b","400","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440246,"TCB","1704266950","b","500","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440245,"TCB","1704266950","b","300","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440244,"TCB","1704266950","b","2000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440243,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440242,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440241,"TCB","1704266950","b","300","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440240,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440239,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440238,"TCB","1704266950","b","300","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440237,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440236,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440235,"TCB","1704266950","b","400","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440234,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440233,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440232,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440231,"TCB","1704266950","b","200","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440230,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440229,"TCB","1704266950","b","4000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440228,"TCB","1704266950","b","100","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440227,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440226,"TCB","1704266950","b","2000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440225,"TCB","1704266950","b","1000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440224,"TCB","1704266950","b","4000","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
162440223,"TCB","1704266950","b","200","32500","5082400","2024-01-03T07:29:22.814Z","2024-01-03T07:29:22.814Z"
