"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
164258958,"MWG","1704786290","unknown","263500","42700","9017100","2024-01-09T07:45:05.008Z","2024-01-09T07:45:05.008Z"
164257842,"MWG","1704785381","s","800","42450","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257841,"MWG","1704785381","s","100","42450","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257840,"MWG","1704785381","s","4300","42450","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257839,"MWG","1704785381","s","5000","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257838,"MWG","1704785381","s","500","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257837,"MWG","1704785381","s","100","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257836,"MWG","1704785381","s","300","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257835,"MWG","1704785381","s","300","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257834,"MWG","1704785381","s","500","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257833,"MWG","1704785381","s","1000","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257832,"MWG","1704785381","s","400","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257831,"MWG","1704785381","s","300","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257830,"MWG","1704785381","s","1000","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257829,"MWG","1704785381","s","100","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257828,"MWG","1704785381","s","100","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257827,"MWG","1704785381","s","300","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
164257826,"MWG","1704785381","s","100","42500","8753600","2024-01-09T07:29:54.956Z","2024-01-09T07:29:54.956Z"
