"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
164258925,"PPC","1704786290","unknown","63800","15500","498900","2024-01-09T07:45:05.008Z","2024-01-09T07:45:05.008Z"
164255892,"PPC","1704785349","b","600","15500","498300","2024-01-09T07:29:23.955Z","2024-01-09T07:29:23.955Z"
164251664,"PPC","1704785273","s","2000","15450","495800","2024-01-09T07:28:07.923Z","2024-01-09T07:28:07.923Z"
164251663,"PPC","1704785273","s","500","15450","495800","2024-01-09T07:28:07.923Z","2024-01-09T07:28:07.923Z"
164247548,"PPC","1704785190","b","100","15500","495700","2024-01-09T07:26:44.918Z","2024-01-09T07:26:44.918Z"
164245223,"PPC","1704785138","s","100","15450","495600","2024-01-09T07:25:52.926Z","2024-01-09T07:25:52.926Z"
164241121,"PPC","1704785063","s","200","15450","495400","2024-01-09T07:24:37.913Z","2024-01-09T07:24:37.913Z"
164237601,"PPC","1704784979","s","300","15450","495100","2024-01-09T07:23:13.918Z","2024-01-09T07:23:13.918Z"
164236447,"PPC","1704784949","b","2000","15500","493100","2024-01-09T07:22:43.953Z","2024-01-09T07:22:43.953Z"
164236293,"PPC","1704784945","s","900","15450","492100","2024-01-09T07:22:39.928Z","2024-01-09T07:22:39.928Z"
164236292,"PPC","1704784945","s","100","15450","492100","2024-01-09T07:22:39.928Z","2024-01-09T07:22:39.928Z"
164235933,"PPC","1704784933","b","8200","15500","492100","2024-01-09T07:22:27.915Z","2024-01-09T07:22:27.915Z"
164235608,"PPC","1704784925","b","900","15500","483000","2024-01-09T07:22:19.924Z","2024-01-09T07:22:19.924Z"
164227662,"PPC","1704784706","b","300","15500","483000","2024-01-09T07:18:40.908Z","2024-01-09T07:18:40.908Z"
164227178,"PPC","1704784694","b","300","15500","482400","2024-01-09T07:18:28.911Z","2024-01-09T07:18:28.911Z"
164223663,"PPC","1704784589","s","500","15450","481900","2024-01-09T07:16:43.919Z","2024-01-09T07:16:43.919Z"
164222341,"PPC","1704784550","s","100","15450","481800","2024-01-09T07:16:04.912Z","2024-01-09T07:16:04.912Z"
164221282,"PPC","1704784525","s","100","15450","481700","2024-01-09T07:15:39.907Z","2024-01-09T07:15:39.907Z"
164218426,"PPC","1704784456","s","100","15450","481600","2024-01-09T07:14:30.914Z","2024-01-09T07:14:30.914Z"
164217089,"PPC","1704784426","s","500","15450","481600","2024-01-09T07:14:00.910Z","2024-01-09T07:14:00.910Z"
164213096,"PPC","1704784347","s","300","15450","480800","2024-01-09T07:12:41.903Z","2024-01-09T07:12:41.903Z"
164206206,"PPC","1704784218","s","200","15450","480600","2024-01-09T07:10:32.921Z","2024-01-09T07:10:32.921Z"
164197540,"PPC","1704784049","s","100","15450","480600","2024-01-09T07:07:43.905Z","2024-01-09T07:07:43.905Z"
164197539,"PPC","1704784049","s","200","15450","480600","2024-01-09T07:07:43.905Z","2024-01-09T07:07:43.905Z"
164196366,"PPC","1704784032","s","500","15450","480300","2024-01-09T07:07:26.913Z","2024-01-09T07:07:26.913Z"
164194693,"PPC","1704783990","s","200","15450","479800","2024-01-09T07:06:44.898Z","2024-01-09T07:06:44.898Z"
164193461,"PPC","1704783960","s","100","15450","479400","2024-01-09T07:06:14.924Z","2024-01-09T07:06:14.924Z"
164193460,"PPC","1704783960","s","100","15450","479400","2024-01-09T07:06:14.924Z","2024-01-09T07:06:14.924Z"
164193245,"PPC","1704783954","s","100","15450","479400","2024-01-09T07:06:08.917Z","2024-01-09T07:06:08.917Z"
164193244,"PPC","1704783954","s","200","15450","479400","2024-01-09T07:06:08.917Z","2024-01-09T07:06:08.917Z"
164193243,"PPC","1704783954","s","100","15450","479400","2024-01-09T07:06:08.917Z","2024-01-09T07:06:08.917Z"
164193242,"PPC","1704783954","s","600","15450","479400","2024-01-09T07:06:08.917Z","2024-01-09T07:06:08.917Z"
164193241,"PPC","1704783954","s","300","15450","479400","2024-01-09T07:06:08.917Z","2024-01-09T07:06:08.917Z"
164193240,"PPC","1704783954","s","3700","15450","479400","2024-01-09T07:06:08.917Z","2024-01-09T07:06:08.917Z"
164192047,"PPC","1704783935","s","200","15450","474400","2024-01-09T07:05:48.900Z","2024-01-09T07:05:48.900Z"
164191600,"PPC","1704783919","s","100","15450","472200","2024-01-09T07:05:33.902Z","2024-01-09T07:05:33.902Z"
164191599,"PPC","1704783919","s","1900","15450","472200","2024-01-09T07:05:33.902Z","2024-01-09T07:05:33.902Z"
164190749,"PPC","1704783899","s","100","15450","472100","2024-01-09T07:05:13.939Z","2024-01-09T07:05:13.939Z"
164189860,"PPC","1704783871","s","200","15450","471900","2024-01-09T07:04:45.895Z","2024-01-09T07:04:45.895Z"
164188386,"PPC","1704783832","s","100","15450","471800","2024-01-09T07:04:06.911Z","2024-01-09T07:04:06.911Z"
