"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"HMC",144627,"/Date(1704354301000)/",11750,5000,33100,386000000,250,false,2.17
"HMC",133718,"/Date(1704350238000)/",11700,100,28100,328000000,200,true,1.74
"HMC",133349,"/Date(1704350030000)/",11750,100,28000,326000000,250,true,2.17
"HMC",133220,"/Date(1704349945000)/",11750,200,27900,325000000,250,true,2.17
"HMC",131742,"/Date(1704349066000)/",11750,700,27700,323000000,250,true,2.17
"HMC",131742,"/Date(1704349066000)/",11800,800,27000,315000000,300,true,2.61
"HMC",130922,"/Date(1704348560000)/",11800,100,26200,305000000,300,true,2.61
"HMC",130439,"/Date(1704348277000)/",11800,100,26100,304000000,300,true,2.61
"HMC",130020,"/Date(1704348001000)/",11550,100,26000,303000000,50,true,0.43
"HMC",112958,"/Date(1704342595000)/",11800,300,25900,302000000,300,false,2.61
"HMC",112958,"/Date(1704342595000)/",11800,100,25600,298000000,300,false,2.61
"HMC",112958,"/Date(1704342595000)/",11800,200,25500,297000000,300,false,2.61
"HMC",112958,"/Date(1704342595000)/",11800,300,25300,295000000,300,false,2.61
"HMC",111512,"/Date(1704341709000)/",11800,600,25000,291000000,300,false,2.61
"HMC",111512,"/Date(1704341709000)/",11800,100,24400,284000000,300,false,2.61
"HMC",111512,"/Date(1704341709000)/",11750,500,24300,283000000,250,false,2.17
"HMC",111512,"/Date(1704341709000)/",11750,2500,23800,277000000,250,false,2.17
"HMC",111512,"/Date(1704341709000)/",11700,1000,21300,247000000,200,false,1.74
"HMC",111512,"/Date(1704341709000)/",11600,300,20300,236000000,100,false,0.87
"HMC",110241,"/Date(1704340958000)/",11700,1700,20000,232000000,200,false,1.74
"HMC",110241,"/Date(1704340958000)/",11700,1000,18300,212000000,200,false,1.74
"HMC",110241,"/Date(1704340958000)/",11700,100,17300,201000000,200,false,1.74
"HMC",105949,"/Date(1704340786000)/",11650,100,17200,200000000,150,false,1.3
"HMC",105949,"/Date(1704340786000)/",11650,500,17100,198000000,150,false,1.3
"HMC",105933,"/Date(1704340769000)/",11550,300,16600,193000000,50,false,0.43
"HMC",104332,"/Date(1704339811000)/",11600,2000,16300,189000000,100,false,0.87
"HMC",104319,"/Date(1704339797000)/",11600,1000,14300,166000000,100,true,0.87
"HMC",104306,"/Date(1704339786000)/",11600,5000,13300,154000000,100,false,0.87
"HMC",104030,"/Date(1704339627000)/",11500,100,8300,96000000,0,false,0
"HMC",104030,"/Date(1704339627000)/",11500,100,8200,95000000,0,false,0
"HMC",104030,"/Date(1704339627000)/",11500,300,8100,94000000,0,false,0
"HMC",102215,"/Date(1704338534000)/",11500,400,7800,91000000,0,true,0
"HMC",102215,"/Date(1704338534000)/",11500,100,7400,86000000,0,true,0
"HMC",102146,"/Date(1704338505000)/",11500,100,7300,85000000,0,true,0
"HMC",102017,"/Date(1704338414000)/",11500,200,7200,84000000,0,true,0
"HMC",95634,"/Date(1704336994000)/",11500,200,7000,81000000,0,true,0
"HMC",94719,"/Date(1704336439000)/",11700,1000,6800,79000000,200,false,1.74
"HMC",94719,"/Date(1704336439000)/",11700,700,5800,67000000,200,false,1.74
"HMC",94704,"/Date(1704336421000)/",11600,100,5100,59000000,100,false,0.87
"HMC",93746,"/Date(1704335862000)/",11700,200,5000,58000000,200,false,1.74
"HMC",93655,"/Date(1704335814000)/",11700,1000,4800,56000000,200,true,1.74
"HMC",93610,"/Date(1704335767000)/",11700,200,3800,44000000,200,true,1.74
"HMC",93425,"/Date(1704335663000)/",11700,2000,3600,42000000,200,true,1.74
"HMC",93305,"/Date(1704335584000)/",11700,1000,1600,18000000,200,true,1.74
"HMC",93305,"/Date(1704335584000)/",11700,100,600,7000000,200,true,1.74
"HMC",93305,"/Date(1704335584000)/",11700,500,500,5000000,200,true,1.74
