"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"SZC",144609,"/Date(1704440701000)/",36600,77800,1793700,66146000000,1150,true,3.24
"SZC",143054,"/Date(1704439791000)/",36750,1000,1715900,63299000000,1300,true,3.67
"SZC",143050,"/Date(1704439786000)/",36750,500,1714900,63262000000,1300,false,3.67
"SZC",143044,"/Date(1704439779000)/",36700,500,1714400,63244000000,1250,true,3.53
"SZC",143038,"/Date(1704439774000)/",36700,800,1713900,63225000000,1250,true,3.53
"SZC",143038,"/Date(1704439774000)/",36700,100,1713100,63196000000,1250,true,3.53
"SZC",143038,"/Date(1704439774000)/",36700,1000,1713000,63192000000,1250,true,3.53
"SZC",143038,"/Date(1704439774000)/",36700,100,1712000,63156000000,1250,true,3.53
"SZC",143038,"/Date(1704439774000)/",36700,2000,1711900,63152000000,1250,true,3.53
"SZC",143038,"/Date(1704439774000)/",36700,1000,1709900,63079000000,1250,true,3.53
"SZC",143038,"/Date(1704439774000)/",36700,300,1708900,63042000000,1250,true,3.53
"SZC",143034,"/Date(1704439771000)/",36700,1000,1708600,63031000000,1250,true,3.53
"SZC",143018,"/Date(1704439753000)/",36700,200,1707600,62994000000,1250,true,3.53
"SZC",143018,"/Date(1704439753000)/",36700,800,1707400,62987000000,1250,true,3.53
"SZC",143006,"/Date(1704439743000)/",36700,100,1706600,62957000000,1250,true,3.53
"SZC",143006,"/Date(1704439742000)/",36750,500,1706500,62954000000,1300,false,3.67
"SZC",143006,"/Date(1704439742000)/",36750,100,1706000,62935000000,1300,false,3.67
"SZC",142946,"/Date(1704439721000)/",36700,100,1705900,62932000000,1250,true,3.53
"SZC",142946,"/Date(1704439721000)/",36700,600,1705800,62928000000,1250,true,3.53
"SZC",142940,"/Date(1704439715000)/",36700,200,1705200,62906000000,1250,true,3.53
"SZC",142924,"/Date(1704439700000)/",36700,18200,1705000,62899000000,1250,true,3.53
"SZC",142924,"/Date(1704439699000)/",36750,200,1686800,62231000000,1300,false,3.67
"SZC",142924,"/Date(1704439699000)/",36700,100,1686600,62223000000,1250,true,3.53
"SZC",142905,"/Date(1704439680000)/",36700,800,1686500,62220000000,1250,true,3.53
"SZC",142839,"/Date(1704439654000)/",36700,100,1685700,62190000000,1250,true,3.53
