"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"NXT",141331,"/Date(1704698040000)/",11300,2000,12700,143410000,-100,false,-0.88
"NXT",132048,"/Date(1704694860000)/",11300,1200,10700,120810000,-100,true,-0.88
"NXT",132022,"/Date(1704694800000)/",11300,800,9500,107250000,-100,false,-0.88
"NXT",131037,"/Date(1704694260000)/",11300,1000,8700,98210000,-100,false,-0.88
"NXT",130945,"/Date(1704694200000)/",11300,1700,7700,86910000,-100,true,-0.88
"NXT",130907,"/Date(1704694140000)/",11300,300,6000,67700000,-100,true,-0.88
"NXT",130321,"/Date(1704693780000)/",11200,1900,5700,64310000,-200,false,-1.75
"NXT",100851,"/Date(1704683340000)/",11200,100,3800,43030000,-200,true,-1.75
"NXT",92439,"/Date(1704680700000)/",11200,1000,3700,41910000,-200,true,-1.75
"NXT",90411,"/Date(1704679440000)/",11300,700,2700,30710000,-100,true,-0.88
"NXT",90244,"/Date(1704679380000)/",11400,2000,2000,22800000,0,false,0
