"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"FCN",144409,"/Date(1704872701000)/",14700,82900,2631000,38925000000,-50,false,-0.34
"FCN",142904,"/Date(1704871797000)/",14700,400,2548100,37706000000,-50,false,-0.34
"FCN",142904,"/Date(1704871797000)/",14700,300,2547700,37700000000,-50,false,-0.34
"FCN",142901,"/Date(1704871795000)/",14650,1500,2547400,37696000000,-100,true,-0.68
"FCN",142858,"/Date(1704871791000)/",14700,1200,2545900,37674000000,-50,false,-0.34
"FCN",142858,"/Date(1704871791000)/",14700,100,2544700,37656000000,-50,false,-0.34
"FCN",142858,"/Date(1704871791000)/",14700,500,2544600,37655000000,-50,false,-0.34
"FCN",142858,"/Date(1704871791000)/",14700,700,2544100,37648000000,-50,false,-0.34
"FCN",142858,"/Date(1704871791000)/",14700,200,2543400,37637000000,-50,false,-0.34
"FCN",142858,"/Date(1704871791000)/",14700,100,2543200,37634000000,-50,false,-0.34
"FCN",142829,"/Date(1704871762000)/",14650,2000,2543100,37633000000,-100,true,-0.68
"FCN",142829,"/Date(1704871761000)/",14650,5000,2541100,37604000000,-100,true,-0.68
"FCN",142741,"/Date(1704871713000)/",14650,7500,2536100,37530000000,-100,true,-0.68
"FCN",142741,"/Date(1704871713000)/",14650,400,2528600,37421000000,-100,true,-0.68
"FCN",142741,"/Date(1704871713000)/",14650,1100,2528200,37415000000,-100,true,-0.68
"FCN",142731,"/Date(1704871706000)/",14700,100,2527100,37399000000,-50,false,-0.34
"FCN",142702,"/Date(1704871677000)/",14700,500,2527000,37397000000,-50,false,-0.34
"FCN",142659,"/Date(1704871674000)/",14700,200,2526500,37390000000,-50,false,-0.34
"FCN",142643,"/Date(1704871655000)/",14700,100,2526300,37387000000,-50,false,-0.34
"FCN",142643,"/Date(1704871655000)/",14650,18900,2526200,37385000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,2500,2507300,37108000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,100,2504800,37072000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,300,2504700,37070000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,1000,2504400,37066000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,100,2503400,37051000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,5000,2503300,37050000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,5000,2498300,36977000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,500,2493300,36903000000,-100,true,-0.68
"FCN",142643,"/Date(1704871655000)/",14650,1600,2492800,36896000000,-100,true,-0.68
"FCN",142630,"/Date(1704871645000)/",14700,5000,2491200,36873000000,-50,false,-0.34
"FCN",142630,"/Date(1704871644000)/",14700,100,2486200,36799000000,-50,false,-0.34
"FCN",142627,"/Date(1704871641000)/",14700,3000,2486100,36798000000,-50,false,-0.34
"FCN",142624,"/Date(1704871637000)/",14700,700,2483100,36753000000,-50,false,-0.34
"FCN",142611,"/Date(1704871623000)/",14700,200,2482400,36743000000,-50,false,-0.34
"FCN",142611,"/Date(1704871623000)/",14700,400,2482200,36740000000,-50,false,-0.34
"FCN",142611,"/Date(1704871623000)/",14700,4400,2481800,36734000000,-50,false,-0.34
"FCN",142608,"/Date(1704871622000)/",14650,300,2477400,36670000000,-100,true,-0.68
"FCN",142558,"/Date(1704871611000)/",14700,200,2477100,36665000000,-50,false,-0.34
"FCN",142422,"/Date(1704871515000)/",14650,700,2476900,36662000000,-100,true,-0.68
"FCN",142403,"/Date(1704871495000)/",14700,100,2476200,36652000000,-50,false,-0.34
"FCN",142403,"/Date(1704871495000)/",14700,100,2476100,36651000000,-50,false,-0.34
"FCN",142400,"/Date(1704871492000)/",14700,200,2476000,36649000000,-50,false,-0.34
"FCN",142344,"/Date(1704871478000)/",14700,10000,2475800,36646000000,-50,false,-0.34
"FCN",142344,"/Date(1704871478000)/",14700,12000,2465800,36499000000,-50,false,-0.34
"FCN",142344,"/Date(1704871478000)/",14700,5000,2453800,36323000000,-50,false,-0.34
"FCN",142344,"/Date(1704871478000)/",14700,3000,2448800,36249000000,-50,false,-0.34
"FCN",142312,"/Date(1704871446000)/",14650,200,2445800,36205000000,-100,false,-0.68
"FCN",142312,"/Date(1704871446000)/",14650,200,2445600,36202000000,-100,false,-0.68
"FCN",142312,"/Date(1704871446000)/",14650,2000,2445400,36199000000,-100,false,-0.68
"FCN",142309,"/Date(1704871442000)/",14650,800,2443400,36170000000,-100,false,-0.68
