"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"MPC",144205,"/Date(1704872520000)/",17000,100,90191,1534988200,-100,false,-0.58
"MPC",143841,"/Date(1704872340000)/",17000,400,90091,1533288200,-100,false,-0.58
"MPC",143555,"/Date(1704872160000)/",17000,700,89691,1526488200,-100,false,-0.58
"MPC",143347,"/Date(1704872040000)/",17000,800,88991,1514588200,-100,false,-0.58
"MPC",143306,"/Date(1704871980000)/",17000,10,88191,1500988200,-100,true,-0.58
"MPC",142907,"/Date(1704871740000)/",17000,200,88181,1500816200,-100,true,-0.58
"MPC",142735,"/Date(1704871680000)/",17000,300,87981,1497416200,-100,false,-0.58
"MPC",142627,"/Date(1704871560000)/",17000,7500,87681,1492316200,-100,true,-0.58
"MPC",142553,"/Date(1704871560000)/",17000,2000,80181,1364816200,-100,true,-0.58
"MPC",142442,"/Date(1704871500000)/",17000,1000,78181,1330816200,-100,true,-0.58
"MPC",141449,"/Date(1704870900000)/",17000,600,77181,1313816200,-100,true,-0.58
"MPC",134818,"/Date(1704869280000)/",17000,600,76581,1303616200,-100,true,-0.58
"MPC",134811,"/Date(1704869280000)/",17000,100,75981,1293416200,-100,false,-0.58
"MPC",134013,"/Date(1704868800000)/",17000,100,75881,1291716200,-100,false,-0.58
"MPC",133933,"/Date(1704868800000)/",17000,600,75781,1290016200,-100,false,-0.58
"MPC",133922,"/Date(1704868740000)/",17000,1300,75181,1279816200,-100,false,-0.58
"MPC",133738,"/Date(1704868680000)/",17000,200,73881,1257716200,-100,false,-0.58
"MPC",132913,"/Date(1704868140000)/",17000,50,73681,1254316200,-100,false,-0.58
"MPC",132756,"/Date(1704868080000)/",17000,2500,73631,1253465200,-100,false,-0.58
"MPC",132735,"/Date(1704868080000)/",17000,2500,71131,1210965200,-100,false,-0.58
"MPC",131554,"/Date(1704867360000)/",17000,100,68631,1168465200,-100,false,-0.58
"MPC",130809,"/Date(1704866880000)/",17000,100,68531,1166765200,-100,false,-0.58
"MPC",130801,"/Date(1704866880000)/",17000,2000,68431,1165065200,-100,false,-0.58
"MPC",130725,"/Date(1704866820000)/",17000,100,66431,1131065200,-100,false,-0.58
"MPC",130024,"/Date(1704866400000)/",17000,200,66331,1129365200,-100,false,-0.58
"MPC",112130,"/Date(1704860460000)/",17000,9900,66131,1125965200,-100,false,-0.58
"MPC",111906,"/Date(1704860340000)/",17000,3900,56231,957665200,-100,true,-0.58
"MPC",111644,"/Date(1704860220000)/",17000,6100,52331,891365200,-100,false,-0.58
"MPC",111632,"/Date(1704860220000)/",16900,20,46231,787665200,-200,true,-1.17
"MPC",111452,"/Date(1704860100000)/",16900,5600,46211,787319200,-200,true,-1.17
"MPC",111320,"/Date(1704859980000)/",17000,11,40611,692599200,-100,true,-0.58
"MPC",111129,"/Date(1704859860000)/",17000,100,40600,692410000,-100,false,-0.58
"MPC",111126,"/Date(1704859860000)/",17000,500,40500,690710000,-100,false,-0.58
"MPC",111122,"/Date(1704859860000)/",17000,500,40000,682210000,-100,false,-0.58
"MPC",111120,"/Date(1704859860000)/",17000,500,39500,673710000,-100,false,-0.58
"MPC",111116,"/Date(1704859860000)/",17000,200,39000,665210000,-100,false,-0.58
"MPC",111113,"/Date(1704859860000)/",17000,200,38800,661810000,-100,false,-0.58
"MPC",111104,"/Date(1704859860000)/",17000,3000,38600,658410000,-100,false,-0.58
"MPC",111024,"/Date(1704859800000)/",17000,15000,35600,607410000,-100,false,-0.58
"MPC",110343,"/Date(1704859440000)/",17100,200,20600,352410000,0,false,0
"MPC",110100,"/Date(1704859260000)/",17100,100,20400,348990000,0,false,0
"MPC",110001,"/Date(1704859200000)/",17100,100,20300,347280000,0,false,0
"MPC",105659,"/Date(1704859020000)/",17100,100,20200,345570000,0,false,0
"MPC",105457,"/Date(1704858900000)/",17100,200,20100,343860000,0,false,0
"MPC",104204,"/Date(1704858120000)/",17100,200,19900,340440000,0,false,0
"MPC",104106,"/Date(1704858060000)/",17100,100,19700,337020000,0,false,0
"MPC",103156,"/Date(1704857520000)/",17000,4000,19600,335310000,-100,true,-0.58
"MPC",102028,"/Date(1704856800000)/",17000,300,15600,267310000,-100,true,-0.58
"MPC",101236,"/Date(1704856380000)/",17100,300,15300,262210000,0,false,0
"MPC",101150,"/Date(1704856320000)/",17100,200,15000,257080000,0,false,0
"MPC",101135,"/Date(1704856320000)/",17100,500,14800,253660000,0,false,0
"MPC",101024,"/Date(1704856200000)/",17100,100,14300,245110000,0,false,0
"MPC",101007,"/Date(1704856200000)/",17100,100,14200,243400000,0,false,0
"MPC",100943,"/Date(1704856200000)/",17100,100,14100,241690000,0,false,0
"MPC",100901,"/Date(1704856140000)/",17100,8700,14000,239980000,0,false,0
"MPC",95450,"/Date(1704855300000)/",17100,600,5300,91210000,0,true,0
"MPC",95427,"/Date(1704855240000)/",17100,100,4700,80950000,0,true,0
"MPC",95409,"/Date(1704855240000)/",17300,2000,4600,79240000,200,false,1.17
"MPC",95301,"/Date(1704855180000)/",17100,400,2600,44680000,0,true,0
"MPC",92137,"/Date(1704853320000)/",17200,200,2200,37840000,100,true,0.58
"MPC",92115,"/Date(1704853260000)/",17200,800,2000,34400000,100,true,0.58
"MPC",91722,"/Date(1704853020000)/",17200,1000,1200,20640000,100,false,0.58
"MPC",91223,"/Date(1704852720000)/",17200,200,200,3440000,100,true,0.58
