"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"TVS",144416,"/Date(1704872701000)/",21300,100,12100,256000000,0,false,0
"TVS",142425,"/Date(1704871519000)/",21150,600,12000,254000000,-150,true,-0.7
"TVS",142425,"/Date(1704871519000)/",21200,1500,11400,241000000,-100,false,-0.47
"TVS",141934,"/Date(1704871226000)/",21150,500,9900,209000000,-150,true,-0.7
"TVS",141858,"/Date(1704871193000)/",21150,300,9400,199000000,-150,true,-0.7
"TVS",141858,"/Date(1704871193000)/",21150,100,9100,192000000,-150,true,-0.7
"TVS",141817,"/Date(1704871150000)/",21150,100,9000,190000000,-150,true,-0.7
"TVS",132503,"/Date(1704867957000)/",21150,100,8900,188000000,-150,true,-0.7
"TVS",132135,"/Date(1704867747000)/",21150,100,8800,186000000,-150,true,-0.7
"TVS",131209,"/Date(1704867181000)/",21250,100,8700,184000000,-50,false,-0.23
"TVS",125951,"/Date(1704866426000)/",21150,200,8600,182000000,-150,true,-0.7
"TVS",125951,"/Date(1704866426000)/",21150,100,8400,178000000,-150,true,-0.7
"TVS",125919,"/Date(1704866400000)/",21350,200,8300,176000000,50,false,0.23
"TVS",112306,"/Date(1704860588000)/",21150,100,8100,171000000,-150,false,-0.7
"TVS",112037,"/Date(1704860438000)/",21150,100,8000,169000000,-150,false,-0.7
"TVS",111459,"/Date(1704860106000)/",21150,100,7900,167000000,-150,false,-0.7
"TVS",111037,"/Date(1704859843000)/",21150,800,7800,165000000,-150,false,-0.7
"TVS",111037,"/Date(1704859843000)/",21150,200,7000,148000000,-150,false,-0.7
"TVS",110700,"/Date(1704859627000)/",21150,100,6800,144000000,-150,false,-0.7
"TVS",110123,"/Date(1704859288000)/",21150,2500,6700,142000000,-150,false,-0.7
"TVS",110123,"/Date(1704859288000)/",21150,100,4200,89000000,-150,false,-0.7
"TVS",105758,"/Date(1704859076000)/",21250,100,4100,87000000,-50,false,-0.23
"TVS",104259,"/Date(1704858193000)/",21250,1000,4000,85000000,-50,false,-0.23
"TVS",104259,"/Date(1704858193000)/",21250,1000,3000,63000000,-50,false,-0.23
"TVS",103121,"/Date(1704857477000)/",21250,1000,2000,42000000,-50,true,-0.23
"TVS",101525,"/Date(1704856522000)/",21350,100,1000,21000000,50,true,0.23
"TVS",101450,"/Date(1704856488000)/",21350,100,900,19000000,50,false,0.23
"TVS",94927,"/Date(1704854964000)/",21300,500,800,17000000,0,false,0
"TVS",94218,"/Date(1704854534000)/",21300,100,300,6000000,0,false,0
"TVS",94218,"/Date(1704854534000)/",21300,200,200,4000000,0,false,0
