"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"VHE",144524,"/Date(1704872703000)/",2900,14000,208200,611010000,-200,false,-6.45
"VHE",141439,"/Date(1704870880000)/",3000,100,194200,570410000,-100,false,-3.23
"VHE",141359,"/Date(1704870839000)/",2900,100,194100,570110000,-200,true,-6.45
"VHE",140435,"/Date(1704870275000)/",3000,300,194000,569820000,-100,false,-3.23
"VHE",140328,"/Date(1704870208000)/",3000,1000,193700,568920000,-100,false,-3.23
"VHE",140237,"/Date(1704870157000)/",3000,5000,192700,565920000,-100,false,-3.23
"VHE",140214,"/Date(1704870134000)/",3000,5000,187700,550920000,-100,false,-3.23
"VHE",133726,"/Date(1704868646000)/",3000,100,182700,535920000,-100,false,-3.23
"VHE",133703,"/Date(1704868623000)/",2900,100,182600,535620000,-200,true,-6.45
"VHE",133603,"/Date(1704868563000)/",2900,16500,182500,535330000,-200,true,-6.45
"VHE",132410,"/Date(1704867850000)/",2900,20000,166000,487480000,-200,true,-6.45
"VHE",132040,"/Date(1704867640000)/",2900,19500,146000,429480000,-200,true,-6.45
"VHE",131517,"/Date(1704867317000)/",2900,65000,126500,372930000,-200,true,-6.45
"VHE",131113,"/Date(1704867073000)/",3000,100,61500,184430000,-100,false,-3.23
"VHE",112919,"/Date(1704860959000)/",2900,100,61400,184130000,-200,true,-6.45
"VHE",112247,"/Date(1704860567000)/",3000,100,61300,183840000,-100,false,-3.23
"VHE",112217,"/Date(1704860537000)/",2900,100,61200,183540000,-200,true,-6.45
"VHE",111558,"/Date(1704860157000)/",3000,2000,61100,183250000,-100,false,-3.23
"VHE",111300,"/Date(1704859980000)/",3000,200,59100,177250000,-100,false,-3.23
"VHE",110028,"/Date(1704859228000)/",3000,200,58900,176650000,-100,false,-3.23
"VHE",104952,"/Date(1704858592000)/",3000,1000,58700,176050000,-100,false,-3.23
"VHE",103846,"/Date(1704857926000)/",3000,1000,57700,173050000,-100,false,-3.23
"VHE",103756,"/Date(1704857876000)/",3000,2400,56700,170050000,-100,false,-3.23
"VHE",103525,"/Date(1704857725000)/",2900,100,54300,162850000,-200,true,-6.45
"VHE",102909,"/Date(1704857349000)/",3000,200,54200,162560000,-100,false,-3.23
"VHE",102239,"/Date(1704856959000)/",3000,1000,54000,161960000,-100,false,-3.23
"VHE",102129,"/Date(1704856889000)/",3000,400,53000,158960000,-100,false,-3.23
"VHE",102106,"/Date(1704856866000)/",3000,500,52600,157760000,-100,false,-3.23
"VHE",102056,"/Date(1704856856000)/",3000,1000,52100,156260000,-100,false,-3.23
"VHE",102049,"/Date(1704856849000)/",3000,1000,51100,153260000,-100,false,-3.23
"VHE",102036,"/Date(1704856836000)/",3000,100,50100,150260000,-100,false,-3.23
"VHE",102029,"/Date(1704856829000)/",3000,1000,50000,149960000,-100,false,-3.23
"VHE",102016,"/Date(1704856816000)/",3000,11000,49000,146960000,-100,false,-3.23
"VHE",101958,"/Date(1704856798000)/",3000,3900,38000,113960000,-100,false,-3.23
"VHE",101900,"/Date(1704856740000)/",3000,9700,34100,102260000,-100,false,-3.23
"VHE",101856,"/Date(1704856736000)/",3000,1000,24400,73160000,-100,false,-3.23
"VHE",101837,"/Date(1704856717000)/",3000,10000,23400,70160000,-100,false,-3.23
"VHE",100837,"/Date(1704856117000)/",2900,100,13400,40160000,-200,true,-6.45
"VHE",100708,"/Date(1704856028000)/",3000,6500,13300,39870000,-100,false,-3.23
"VHE",100551,"/Date(1704855951000)/",3000,1000,6800,20370000,-100,false,-3.23
"VHE",95941,"/Date(1704855581000)/",3000,200,5800,17370000,-100,false,-3.23
"VHE",95345,"/Date(1704855225000)/",3000,3000,5600,16770000,-100,false,-3.23
"VHE",95306,"/Date(1704855186000)/",3000,300,2600,7770000,-100,false,-3.23
"VHE",95112,"/Date(1704855072000)/",3000,200,2300,6870000,-100,false,-3.23
"VHE",94609,"/Date(1704854769000)/",3000,100,2100,6270000,-100,false,-3.23
"VHE",94513,"/Date(1704854713000)/",3000,1000,2000,5970000,-100,false,-3.23
"VHE",93803,"/Date(1704854283000)/",3000,100,1000,2970000,-100,false,-3.23
"VHE",93729,"/Date(1704854249000)/",2900,100,900,2670000,-200,true,-6.45
"VHE",92303,"/Date(1704853383000)/",3000,100,800,2380000,-100,false,-3.23
"VHE",92002,"/Date(1704853202000)/",2900,100,700,2080000,-200,true,-6.45
"VHE",91331,"/Date(1704852811000)/",3000,200,600,1790000,-100,false,-3.23
"VHE",91320,"/Date(1704852800000)/",2900,100,400,1190000,-200,true,-6.45
"VHE",91246,"/Date(1704852766000)/",3000,300,300,900000,-100,false,-3.23
